 	w	a	a	d	í	l	a	d	z	ó	o	w	á	á	b	á	a	t	i	á	l	a	w	a	w	a	a	d	í	o	k	a	a	l	a	k	a	á	</S>
il	0.159899	0.135589	0.159484	0.135555	0.183616	0.0582856	0.0553069	0.00896032	0.00715599	0.00323635	0.00155129	0.00279826	0.00317722	0.00323278	0.0062253	0.00500413	0.00551354	0.00566309	0.00594779	0.0042295	0.00207288	0.0016289	0.00290061	0.000967109	0.00159083	0.00158011	0.00218532	0.00128653	0.00311258	0.00320087	0.00307846	0.00369376	0.00274526	0.00379336	0.00339462	0.00393141	0.00368176	0.00296755	0.00175693
se	0.0342742	0.0138153	0.0128822	0.0160512	0.0197437	0.020755	0.039479	0.0751828	0.0919601	0.0785697	0.082951	0.0977436	0.0676521	0.0669098	0.0180406	0.0162081	0.0203649	0.0195773	0.0123776	0.0103047	0.0138852	0.00668318	0.00303135	0.00309639	0.00213579	0.00151978	0.00172711	0.00371791	0.00279958	0.0062677	0.0076129	0.0128064	0.00908908	0.00526353	0.0208787	0.0166276	0.0306833	0.0222693	0.0150621
renferme	0.020391	0.0174771	0.0195402	0.0206837	0.0207958	0.0213251	0.0267353	0.0457271	0.0400526	0.0294738	0.0347916	0.0105657	0.0182694	0.00451019	0.0174532	0.0124158	0.0139023	0.0148919	0.0124343	0.0162218	0.0226697	0.0530088	0.0781642	0.0602215	0.052611	0.0607162	0.0364797	0.0354499	0.0132348	0.00963704	0.0111239	0.0304285	0.0142163	0.0125507	0.0219308	0.0122762	0.0178234	0.0192991	0.0205006
sur	0.00758905	0.00904555	0.0113334	0.0129605	0.00960415	0.00760433	0.0083473	0.00675115	0.0091187	0.00701656	0.0105418	0.0240577	0.0206859	0.0154174	0.0226969	0.0261387	0.0457601	0.0364137	0.0469606	0.0555826	0.0884368	0.101881	0.0315679	0.0317006	0.0830293	0.035042	0.0263826	0.0406607	0.0163153	0.0303086	0.0189685	0.0095318	0.00829895	0.00697904	0.00687609	0.00987371	0.00922969	0.0222881	0.0290033
soi-même	0.0277742	0.0144092	0.0147401	0.0113326	0.00832479	0.00899791	0.009161	0.00854397	0.00823946	0.0135306	0.0138929	0.00989392	0.0196878	0.0170094	0.0220539	0.0162074	0.0168692	0.018758	0.0167152	0.0211319	0.0334101	0.0270836	0.0265562	0.0187942	0.0177589	0.00573518	0.0121602	0.0166511	0.0198622	0.0277979	0.0486095	0.0362349	0.102181	0.0660104	0.0489425	0.0550536	0.0622093	0.0467087	0.0309664
quand	0.0411562	0.0320151	0.0286983	0.0292148	0.0267957	0.0319836	0.0330919	0.0189767	0.013482	0.0171903	0.0151773	0.0122544	0.0150572	0.0112166	0.0278859	0.0101159	0.0139206	0.0199493	0.0158882	0.0182457	0.0214458	0.0154463	0.0120715	0.00849701	0.00668994	0.00436544	0.00852636	0.00915441	0.0110797	0.0303697	0.0409917	0.0412012	0.0285252	0.0173432	0.0456768	0.0460602	0.0580644	0.0792716	0.0829037
on	0.0400255	0.0271415	0.0192729	0.0170679	0.0188716	0.037256	0.0379086	0.0292679	0.0225335	0.0343124	0.0281035	0.0136485	0.0301599	0.0107652	0.0223282	0.0102974	0.013053	0.0117494	0.0121534	0.0165674	0.0204227	0.0274903	0.0197339	0.025414	0.0168582	0.0121887	0.00719266	0.00775063	0.00828931	0.0225552	0.0279729	0.0341821	0.0279647	0.0212086	0.0425792	0.0490985	0.0573888	0.0546969	0.0645295
lui	0.0241998	0.0195418	0.0148276	0.0257971	0.0370259	0.0426072	0.0371087	0.0266126	0.0203921	0.0153392	0.0127249	0.00938188	0.0200569	0.012115	0.0134382	0.0139852	0.0172285	0.0188225	0.0158641	0.0297099	0.0360265	0.0580458	0.0470598	0.0361032	0.0315819	0.0164786	0.021169	0.0258335	0.0206865	0.0212156	0.021049	0.0135925	0.0144124	0.0136881	0.0218439	0.023287	0.0290326	0.0472836	0.0748314
parle	0.0326451	0.0332471	0.02081	0.0263381	0.0315937	0.0323081	0.0297359	0.0249106	0.0184019	0.0178075	0.0168425	0.0155561	0.0198418	0.0164345	0.0183593	0.022067	0.0276855	0.0300696	0.0270617	0.0347119	0.0352195	0.073386	0.055347	0.0396132	0.0345913	0.024818	0.0278169	0.037789	0.0243976	0.0121909	0.0119561	0.0109358	0.00751199	0.00801823	0.0114328	0.0119042	0.0129387	0.0136149	0.0500901
il	0.0350775	0.0381433	0.0233878	0.0259357	0.0286944	0.0294787	0.0271426	0.0220171	0.0159399	0.0135672	0.0145896	0.0146286	0.0135808	0.0198321	0.0160466	0.0226775	0.0270728	0.0290017	0.0296786	0.0382207	0.0317591	0.0625384	0.0482408	0.0324953	0.0391896	0.0281661	0.0277078	0.0514501	0.0317368	0.0126022	0.0123631	0.0111493	0.00846858	0.0065198	0.0109904	0.0119013	0.0132231	0.0147062	0.0600786
