 	w	a	á	p	f	ú	s	u	i	k	í	é	l	í	í	k	a	n	g	í	b	á	a	m	b	ó	s	i	</S>
ii	0.064125	0.111209	0.143789	0.254437	0.146038	0.0800089	0.0663433	0.055815	0.0390968	0.0164502	0.00817611	0.00204404	0.0014252	0.000886459	0.000796104	0.000776345	0.000720868	0.00077027	0.000792651	0.000798542	0.000693752	0.00110981	0.00099362	0.000679011	0.000411638	0.000582909	0.000378624	0.000352605	0.000299681
a	0.0386194	0.0240769	0.0379894	0.0195875	0.0303074	0.0463795	0.0345013	0.134475	0.0805007	0.0684473	0.059302	0.0746415	0.052184	0.0226126	0.00665437	0.00722717	0.00332573	0.00333076	0.0140399	0.0294716	0.0349482	0.0311681	0.0467205	0.0321179	0.021114	0.0122894	0.0103034	0.0133024	0.0103616
dénoué	0.0176739	0.0214348	0.0186747	0.0188604	0.027353	0.0420733	0.0293658	0.0315089	0.0416262	0.0517751	0.047277	0.05866	0.032081	0.0371363	0.053507	0.0681704	0.0748593	0.0891627	0.0354049	0.0208911	0.0318756	0.0148801	0.0182723	0.0205887	0.0133832	0.017717	0.0201236	0.0184359	0.0272279
la	0.020234	0.032454	0.031886	0.0384203	0.0327412	0.0336039	0.02332	0.0346172	0.0199997	0.0139376	0.0101644	0.0107535	0.00958991	0.0217269	0.0343788	0.0412792	0.0618545	0.0397801	0.02897	0.0353009	0.0357709	0.0484507	0.0488997	0.0362321	0.0384415	0.056659	0.0523049	0.0482657	0.0599634
corde	0.0294263	0.0399762	0.0406479	0.0333373	0.0322872	0.0274497	0.0197957	0.0318726	0.0203603	0.0238754	0.0363951	0.0213373	0.0131233	0.00977402	0.0201418	0.0271385	0.0233472	0.0295652	0.0287193	0.0402944	0.0518306	0.0923742	0.0660064	0.0498818	0.0423192	0.0378381	0.0365093	0.0282452	0.0461305
avec	0.0302633	0.037209	0.0396039	0.0362597	0.0264192	0.0237814	0.016489	0.0140647	0.0133998	0.0192118	0.0230616	0.0269416	0.0234366	0.0217154	0.023181	0.0246971	0.0207515	0.0194634	0.0174779	0.0145523	0.0302765	0.0341671	0.0442836	0.0533918	0.0524105	0.0645629	0.0781942	0.0743082	0.0964249
laquelle	0.0257497	0.0355686	0.0240369	0.0228162	0.0272591	0.0209536	0.0175188	0.0136484	0.0148542	0.0147273	0.0137575	0.0136384	0.013526	0.0120553	0.0171502	0.0224263	0.0413255	0.0472316	0.0316542	0.0206477	0.0353627	0.0298754	0.0413358	0.0658752	0.0668866	0.0888713	0.0915782	0.0726559	0.0570133
on	0.0177113	0.0229502	0.0173404	0.0204096	0.0313136	0.0269525	0.0165508	0.0245429	0.029387	0.0295113	0.0234326	0.0232354	0.0205916	0.0176921	0.0228585	0.0248592	0.0330658	0.0391715	0.0336228	0.025215	0.0390313	0.0381006	0.0422498	0.0679389	0.0795821	0.0653879	0.0515727	0.0451907	0.0705319
avait	0.013213	0.0125738	0.0109614	0.0116033	0.0169034	0.0177513	0.012272	0.018976	0.0179477	0.0177012	0.0168198	0.0166462	0.0160916	0.0196744	0.0276179	0.0286625	0.0330935	0.0556929	0.0562673	0.0624539	0.047465	0.0595796	0.0695853	0.077868	0.0496671	0.0528708	0.0494303	0.0437712	0.0668395
attaché	0.0118094	0.00919752	0.00760274	0.0106145	0.0105652	0.0116414	0.00686942	0.0102959	0.0101132	0.0110123	0.00930143	0.00898446	0.00982771	0.0122249	0.0254106	0.0307195	0.0381643	0.028879	0.0239073	0.0233397	0.0317381	0.0323118	0.0471638	0.0599989	0.0678485	0.114343	0.123951	0.108556	0.103609
le	0.021831	0.0174248	0.0138278	0.0172931	0.0145434	0.0163112	0.0107649	0.0149921	0.0149271	0.0133372	0.0107116	0.0117549	0.0118543	0.0110843	0.021792	0.029174	0.0326038	0.0196459	0.0251835	0.0415323	0.0515258	0.0526792	0.0563004	0.0629782	0.0760354	0.0768285	0.0793437	0.0797285	0.0939911
cabri	0.0330673	0.0242906	0.0184918	0.023799	0.018948	0.0205979	0.0124514	0.0145632	0.0144281	0.0126104	0.00997391	0.00879663	0.00620238	0.012364	0.0243473	0.0229999	0.0133813	0.0201822	0.024032	0.0296817	0.0321013	0.0342556	0.0514341	0.0726265	0.0790867	0.0811353	0.0903586	0.103193	0.0905997
</S>	0.029903	0.024378	0.0242677	0.0212762	0.015365	0.0192329	0.0233831	0.026877	0.0253731	0.0285197	0.0268151	0.0244812	0.025617	0.0230019	0.0329537	0.0450728	0.0310713	0.0187322	0.0220552	0.025734	0.0316009	0.0300448	0.0326004	0.032862	0.0344357	0.044859	0.0603892	0.0622081	0.15689
