 	i	k	ω	n	í	l	á	m	w	á	s	í	y	a	w	a	í	y	í	n	i	s	i	w	a	m	í	b	y	é	m	b	o	</S>
la	0.0303537	0.0105977	0.0116723	0.00887129	0.0110866	0.0261703	0.0182591	0.0550848	0.0229262	0.0492959	0.0496271	0.0614167	0.0311066	0.0344212	0.0395065	0.0217714	0.0306759	0.0271508	0.0252907	0.0243525	0.0530588	0.0348608	0.0533732	0.0275101	0.0212184	0.0346705	0.0231182	0.026002	0.032171	0.0223271	0.0208435	0.0309107	0.0126965	0.017602
maladie	0.0679177	0.198339	0.233736	0.130885	0.129982	0.0485155	0.0227273	0.0183026	0.00631431	0.00367252	0.00285082	0.00189993	0.00211662	0.00245249	0.00262869	0.00505326	0.00510768	0.0133367	0.0112979	0.00848704	0.0125293	0.0140109	0.0143783	0.0084738	0.00907017	0.00427003	0.00520311	0.00488842	0.00365632	0.0038534	0.00141189	0.00172693	0.000518503	0.000384907
de	0.0438552	0.025111	0.0209386	0.013383	0.0101526	0.00567746	0.00643905	0.0189964	0.0120026	0.0190253	0.0192678	0.0173413	0.0207472	0.035265	0.017755	0.0214534	0.0392152	0.0363345	0.0487254	0.0695276	0.0218007	0.0446364	0.030966	0.049327	0.0467381	0.0577278	0.0747248	0.0280103	0.032913	0.0195565	0.0228201	0.0298811	0.0213138	0.0183707
sa	0.0104941	0.0397554	0.0384969	0.0352129	0.0315795	0.0148408	0.0174914	0.0109327	0.0386695	0.0246442	0.0185359	0.0257089	0.0156503	0.0263259	0.0325663	0.0487169	0.0269006	0.0212671	0.0272788	0.0285617	0.0646029	0.0332738	0.107698	0.0308604	0.0539171	0.0205496	0.0257474	0.0167327	0.0118118	0.00872768	0.0116832	0.0125021	0.0266198	0.0416438
femme	0.0129887	0.0100287	0.011457	0.0161973	0.0342154	0.0372375	0.0306578	0.0292364	0.0160357	0.0184621	0.0144128	0.0149655	0.00726155	0.0153054	0.014791	0.034679	0.0273411	0.038202	0.0605689	0.0454985	0.0544452	0.0529516	0.0666584	0.0426909	0.0509351	0.0448081	0.0208901	0.0413152	0.0187077	0.0205739	0.019754	0.0212703	0.0261106	0.0293465
l'	0.0133972	0.0139564	0.0147786	0.0175532	0.0236892	0.0360393	0.0323417	0.0233518	0.0186861	0.0197514	0.0209358	0.0238962	0.0202005	0.0219491	0.0169139	0.0405057	0.0231225	0.0190658	0.0196441	0.0247458	0.0386274	0.0400541	0.0538757	0.0374577	0.0344955	0.0342954	0.0448315	0.0370788	0.0407223	0.0361058	0.0384585	0.0386232	0.0391571	0.0416925
a	0.0177531	0.0317003	0.0405241	0.0651341	0.0660216	0.0678839	0.058938	0.0459609	0.0244125	0.0212783	0.0165416	0.0193628	0.0146554	0.0142494	0.00749085	0.00990033	0.0120889	0.0138667	0.0167808	0.0152001	0.0196578	0.0191103	0.0282974	0.00886284	0.0143914	0.024359	0.0145589	0.0406205	0.036751	0.0405584	0.0395083	0.0433675	0.0438371	0.0463761
plongé	0.0632746	0.0609734	0.0487919	0.0353078	0.0319095	0.0307242	0.023316	0.015002	0.0160502	0.0135678	0.0169675	0.0238596	0.0201861	0.0284252	0.0258575	0.0578746	0.0387377	0.0169161	0.0153474	0.0213513	0.0276965	0.0184327	0.0330128	0.0180907	0.0122613	0.0102103	0.0115595	0.0215376	0.0228294	0.0186027	0.0201192	0.025603	0.0429445	0.112659
dans	0.0652492	0.086341	0.102558	0.111549	0.0750612	0.0810516	0.0711505	0.0504027	0.0314602	0.01993	0.017311	0.0178549	0.016345	0.0159105	0.0105994	0.0131083	0.00617691	0.00365355	0.00384079	0.00314622	0.0219369	0.00453065	0.00955843	0.00457271	0.00773305	0.00323553	0.00415716	0.00628651	0.00637106	0.00541253	0.00733229	0.0136368	0.0153782	0.0871588
les	0.100771	0.0964895	0.0826143	0.0731448	0.0665756	0.0516594	0.0482153	0.0258655	0.0124434	0.0139657	0.0179588	0.0126073	0.0108747	0.00996245	0.0105743	0.0194038	0.0118318	0.00761013	0.0076515	0.00696335	0.0235224	0.0059366	0.0108942	0.00653958	0.0083679	0.00710016	0.00678798	0.0140292	0.016693	0.0119022	0.0190144	0.0295221	0.0294497	0.123057
dettes	0.0705954	0.122278	0.107202	0.0759945	0.0397461	0.02609	0.0252614	0.0138539	0.00902367	0.0196827	0.0145109	0.0119526	0.0075806	0.00960556	0.00915721	0.0143474	0.014354	0.0119877	0.0123497	0.0113666	0.0251674	0.0109313	0.0214932	0.00483498	0.00957663	0.0102692	0.00530403	0.0214881	0.0292022	0.0223698	0.0303447	0.037001	0.0378461	0.107231
</S>	0.0628237	0.0792875	0.0618174	0.0465224	0.0358467	0.0220878	0.0211916	0.0126615	0.00952263	0.0127196	0.0138707	0.0143684	0.0134606	0.0167928	0.0119758	0.0284686	0.0138335	0.00826668	0.00805433	0.00889297	0.031694	0.0103338	0.0321727	0.013184	0.0160813	0.0131639	0.0102597	0.0288986	0.0296704	0.0232155	0.0323662	0.0411937	0.0586402	0.156661
