 	b	a	r	e	b	á	b	ó	b	á	a	b	v	u	b	h	á	a	b	i	a	t	s	í	n	a	b	á	a	á	m	i	k	á	n	a	a	</S>
ces	0.0817656	0.0296885	0.0102527	0.00860757	0.0154671	0.0199058	0.0148628	0.0147474	0.0123619	0.0187507	0.0202441	0.0249458	0.0510579	0.0620303	0.0752413	0.0539493	0.045116	0.0310125	0.0346719	0.0353948	0.033539	0.0236106	0.0310991	0.0176284	0.0109512	0.0172592	0.0176777	0.0146802	0.0156493	0.0127508	0.0143214	0.0147124	0.0207615	0.0294969	0.028543	0.0156296	0.0109583	0.0106572
gens	0.0625307	0.102264	0.0892772	0.128395	0.0933457	0.101621	0.0425279	0.0125988	0.00682334	0.00686255	0.0044227	0.00446558	0.00441861	0.00457726	0.00607679	0.011303	0.0202946	0.0279848	0.0130777	0.0176253	0.0102886	0.0128733	0.00978779	0.0110561	0.0189218	0.0168985	0.0132558	0.0136859	0.0175505	0.0165233	0.0129547	0.012767	0.0192	0.0183867	0.0141681	0.0128649	0.00564545	0.00267852
sont	0.0667867	0.0574767	0.0937983	0.105085	0.056845	0.0419818	0.0327136	0.047122	0.0436332	0.037267	0.022468	0.0303145	0.0235453	0.014696	0.0210501	0.0133456	0.0125295	0.00586711	0.00380371	0.00578195	0.00914853	0.007109	0.00825517	0.00969815	0.0116191	0.0118049	0.011966	0.0129698	0.0117133	0.014181	0.0127518	0.020566	0.0298926	0.0319123	0.0285124	0.0137026	0.013811	0.00427512
en	0.00694018	0.015616	0.0203978	0.0244944	0.0218585	0.0270129	0.0245265	0.0244448	0.0188081	0.0220454	0.0195943	0.0302341	0.0205307	0.0153472	0.0159201	0.0149551	0.0188779	0.0256691	0.0251208	0.025775	0.038847	0.0523897	0.0495268	0.0583778	0.0548123	0.0420031	0.0420563	0.0257567	0.0405175	0.0298161	0.0270211	0.0242521	0.0129549	0.0114953	0.0179525	0.0140868	0.0193973	0.0205677
train	0.0297968	0.0276764	0.0393267	0.0283354	0.0344813	0.0263278	0.0254113	0.0341558	0.0449673	0.0417567	0.0352432	0.0325162	0.0270905	0.0330283	0.022322	0.0263808	0.0303209	0.0354881	0.0252146	0.0280686	0.0257161	0.0387183	0.027193	0.0249775	0.0257392	0.0223421	0.0233034	0.0160899	0.0263463	0.0202914	0.0235825	0.0148996	0.0106327	0.00844778	0.0149988	0.0135141	0.0169898	0.0183088
de	0.0509455	0.0397144	0.0354095	0.0306016	0.025415	0.0153651	0.0209674	0.0435166	0.0687751	0.0597896	0.040026	0.0626495	0.0551636	0.0451466	0.0542559	0.0292682	0.0207048	0.0178	0.0133533	0.0128496	0.0120078	0.0103318	0.0106764	0.00980532	0.00695111	0.00788942	0.00854455	0.00706501	0.00544999	0.00533207	0.0105479	0.0113063	0.0127587	0.0147686	0.0229655	0.0157567	0.0282402	0.0578854
s'	0.0704908	0.0331717	0.0222321	0.021992	0.0164198	0.0155486	0.0278937	0.0293406	0.0341767	0.0368783	0.0312042	0.0312244	0.024318	0.0301312	0.0231565	0.029313	0.0349761	0.0189751	0.0246128	0.0236431	0.01941	0.0323773	0.0209717	0.0300797	0.032828	0.0247919	0.0200957	0.0207332	0.0232737	0.0199098	0.017996	0.0205099	0.0109443	0.00973711	0.0152327	0.0198286	0.0255004	0.0560815
embrasser	0.0423773	0.0226795	0.0165755	0.0168527	0.0166976	0.0141152	0.00987628	0.00927884	0.0113922	0.0179787	0.0200293	0.0143929	0.0118736	0.0201179	0.0122657	0.0180834	0.0221989	0.0226962	0.0362535	0.0282214	0.0395141	0.04584	0.0493647	0.0542729	0.0401382	0.0296291	0.0298409	0.0168888	0.0263204	0.0186754	0.0211178	0.0187911	0.0190262	0.0182278	0.0206032	0.0226392	0.0341897	0.110964
car	0.0889694	0.0499223	0.0257098	0.0239169	0.0148522	0.00967244	0.0123195	0.00853616	0.0117278	0.015352	0.0161972	0.0137217	0.0111023	0.016777	0.00672168	0.00796559	0.0107742	0.00837963	0.016683	0.0117155	0.0166304	0.0245707	0.0221761	0.0321541	0.0266364	0.0237667	0.0244201	0.019084	0.0323718	0.0291753	0.0291073	0.0326105	0.033383	0.0305253	0.0339788	0.0449922	0.0712228	0.0921784
ils	0.0712041	0.0518802	0.0323094	0.0360613	0.0249254	0.0136569	0.0206718	0.0317682	0.0371686	0.0487187	0.0396554	0.0387061	0.02659	0.025389	0.0107785	0.0123677	0.01599	0.00926232	0.0142984	0.0136433	0.0158592	0.0231941	0.0179899	0.0286938	0.0167714	0.0153667	0.0215645	0.0222871	0.0227765	0.0264873	0.0199948	0.0234395	0.0163201	0.0154135	0.0165003	0.0254089	0.0304498	0.0664374
ne	0.112484	0.0391657	0.0311453	0.0273731	0.0223075	0.0134641	0.011364	0.0112597	0.014121	0.0159707	0.0142133	0.0125562	0.0092313	0.0182486	0.00987048	0.0167093	0.0197246	0.0245713	0.0428207	0.0359012	0.0417475	0.0462002	0.0428887	0.0429382	0.0300544	0.0253267	0.0275218	0.0217221	0.0153091	0.00989919	0.0102914	0.00870233	0.0090772	0.0111883	0.0150709	0.0139989	0.0244539	0.101107
se	0.0897862	0.051088	0.0380809	0.0388205	0.0341107	0.0315206	0.0257569	0.0177096	0.0206772	0.0208338	0.0141063	0.0156022	0.00763502	0.0126155	0.0049045	0.00735817	0.0085415	0.0115621	0.0225512	0.0208738	0.026648	0.0350436	0.0291967	0.0299783	0.0186213	0.0141309	0.0153303	0.0147165	0.0214624	0.0170518	0.0215186	0.0167476	0.0167548	0.019085	0.0211944	0.0185332	0.0442509	0.125601
sont	0.104084	0.0409733	0.0181465	0.0352196	0.0362638	0.0229772	0.0142286	0.0134565	0.0157076	0.0148728	0.0145136	0.00527222	0.00521486	0.00915123	0.00653169	0.0180248	0.0337872	0.0406377	0.0448069	0.0462756	0.046702	0.0480242	0.0432792	0.0436971	0.0263807	0.0218424	0.0198134	0.0107345	0.00996704	0.00470575	0.0108085	0.0087982	0.0100333	0.0123376	0.0169695	0.0147766	0.0277495	0.0832351
pas	0.0249907	0.0125199	0.0092048	0.0174793	0.0211202	0.0177795	0.0116219	0.0110869	0.00965597	0.00971469	0.00964224	0.00375697	0.00462202	0.00569507	0.0051859	0.00906724	0.0154317	0.0266784	0.0401965	0.04156	0.0566707	0.0533499	0.0630723	0.0639675	0.038492	0.0327851	0.0293574	0.0130107	0.0219767	0.00880356	0.0209162	0.0175712	0.0181973	0.01847	0.0320868	0.0329465	0.0619547	0.109362
vu	0.0280467	0.0159923	0.0100824	0.0152426	0.0197582	0.0201043	0.0196477	0.0139587	0.0110579	0.00871306	0.00941079	0.00534194	0.00605646	0.0090941	0.00610919	0.00632697	0.00788912	0.0129252	0.0191507	0.0224374	0.0241736	0.0299136	0.0385985	0.0535256	0.0249368	0.02946	0.0362893	0.0208229	0.021907	0.0142013	0.017913	0.01682	0.0209793	0.0191228	0.0434771	0.0350907	0.0934216	0.192001
depuis	0.0593118	0.0297456	0.0150912	0.020261	0.0221876	0.0178249	0.0236431	0.0216723	0.0202534	0.0199132	0.0197676	0.0134911	0.0109779	0.016845	0.0115649	0.012401	0.0142545	0.0149106	0.0115467	0.018101	0.012434	0.0141186	0.014089	0.0180327	0.0135555	0.022921	0.0205121	0.0118999	0.019869	0.0184216	0.0260723	0.0295184	0.0240377	0.0194341	0.0370928	0.0452265	0.0923798	0.166621
longtemps	0.0625623	0.0395941	0.025263	0.0418156	0.0436731	0.0305562	0.0154139	0.010528	0.00756701	0.00757443	0.00631324	0.00333615	0.00507717	0.00467098	0.00569016	0.00386114	0.00646222	0.00709727	0.00851251	0.0184415	0.0104487	0.0104066	0.0135397	0.0145355	0.00634723	0.00812275	0.0106499	0.00643671	0.00856764	0.00518625	0.020614	0.026682	0.038795	0.0377323	0.081913	0.0738441	0.104245	0.167923
</S>	0.0512129	0.0389698	0.0324723	0.0315136	0.0195285	0.011004	0.0136411	0.0238276	0.0357108	0.0428461	0.0346965	0.0337321	0.024719	0.0242882	0.0182132	0.0139304	0.0101586	0.00706997	0.00805287	0.0109027	0.0109684	0.0149264	0.0146591	0.0215091	0.0225521	0.0230874	0.0246684	0.0195925	0.0171916	0.0169981	0.0168584	0.0244232	0.0187847	0.0150063	0.0250379	0.0423068	0.0724803	0.112459
