 	b	a	r	e	k	á	a	b	á	a	p	έ	έ	a	b	ó	n	d	í	í	l	a	n	z	a	m	b	é	</S>
il	0.094847	0.0562792	0.0393719	0.0123606	0.0144155	0.00770701	0.00992667	0.00863098	0.0223792	0.0273238	0.0301271	0.0481177	0.0546639	0.0925206	0.0494804	0.0514343	0.0392694	0.040569	0.0366143	0.0392387	0.0377512	0.0310065	0.0318504	0.0269877	0.0238816	0.0209697	0.014357	0.0173567	0.0205619
faut	0.0904394	0.0986478	0.0609407	0.111421	0.0813621	0.0682775	0.0839803	0.0676608	0.034233	0.0179698	0.00433244	0.0123816	0.00938392	0.0126202	0.0116809	0.00854901	0.00787673	0.00827582	0.0142966	0.020354	0.0243057	0.0335771	0.0382949	0.0200431	0.0158055	0.00999149	0.00831026	0.0114626	0.0135253
que	0.0474128	0.0287027	0.0747533	0.0280805	0.021091	0.0336479	0.0413148	0.0470737	0.0625379	0.0569425	0.0345469	0.0546692	0.0476533	0.0455675	0.0486774	0.0303795	0.0397892	0.0402724	0.0320215	0.0325175	0.023012	0.0209102	0.0178428	0.0142332	0.0152567	0.014692	0.0154427	0.0140713	0.0168875
les	0.0217365	0.0312512	0.0237406	0.0422091	0.0399056	0.029215	0.0176883	0.0168565	0.0135755	0.0171826	0.0237131	0.0298962	0.0342708	0.0242212	0.0396698	0.067223	0.0559691	0.0519615	0.0463304	0.0364084	0.0399913	0.0283867	0.0268246	0.0315291	0.0243447	0.0428234	0.0290232	0.0497168	0.0643358
gens	0.029149	0.0249651	0.0288671	0.0294042	0.0302112	0.0367655	0.0376764	0.0343483	0.0333732	0.0275776	0.02387	0.0437396	0.030203	0.0297458	0.0288793	0.0235954	0.03487	0.0411659	0.0443908	0.0546398	0.037376	0.0353586	0.0293077	0.030379	0.0278369	0.0288356	0.0316242	0.0344619	0.0773828
offrent	0.0349357	0.0259276	0.031689	0.0407009	0.0390883	0.0482709	0.0450214	0.0444978	0.0362978	0.0299329	0.0286288	0.034261	0.0290862	0.0290003	0.0238261	0.018461	0.0266018	0.0330808	0.027613	0.0378159	0.0302932	0.0266086	0.0210571	0.0214896	0.0214389	0.0230956	0.0329365	0.0385353	0.119808
des	0.0882511	0.0433274	0.0384678	0.0453805	0.0411249	0.0489092	0.052183	0.0434258	0.0556577	0.0383369	0.0426475	0.0483685	0.0373666	0.0231316	0.0187717	0.0139088	0.0210879	0.0212502	0.0167466	0.0172241	0.0154167	0.0164154	0.0149075	0.0175332	0.0181676	0.0150146	0.0211432	0.0285366	0.0972972
sacrifices	0.192229	0.0719172	0.071883	0.0704209	0.0390032	0.0343284	0.0245728	0.0198156	0.0146419	0.0103998	0.00308128	0.0088798	0.00986066	0.0134577	0.00924633	0.0107476	0.0069984	0.00962124	0.0140968	0.0240001	0.0320731	0.0374922	0.0443084	0.0276857	0.0200947	0.017344	0.0316858	0.0434728	0.0866413
à	0.0389397	0.0309708	0.0283672	0.0292477	0.0282159	0.0277148	0.0111343	0.00717466	0.0067201	0.00414289	0.00467462	0.00692856	0.00647965	0.00800887	0.00776835	0.0148124	0.0141412	0.0177675	0.0183017	0.0310457	0.0529616	0.0357205	0.040792	0.0404872	0.0344408	0.059003	0.0718267	0.113618	0.208594
dieu	0.0386958	0.0261875	0.0233633	0.0191473	0.0149958	0.0118523	0.0108944	0.0118929	0.0113979	0.0110801	0.0104895	0.0114848	0.012386	0.0154543	0.0186658	0.0234433	0.022493	0.0273005	0.0307311	0.0337228	0.0387098	0.0415688	0.048766	0.0595518	0.0623306	0.0785751	0.0925146	0.091313	0.100992
</S>	0.030502	0.0211486	0.0250315	0.0189151	0.0165264	0.0105229	0.0077979	0.00884482	0.00766455	0.0060666	0.00539628	0.0075506	0.00855733	0.0112913	0.0129834	0.0163812	0.0132435	0.0164776	0.0212194	0.0258014	0.0447388	0.0562693	0.0793318	0.0728112	0.0741951	0.0830234	0.0767707	0.0950847	0.125852
