 	s	á	b	í	n	í	á	t	á	á	n	i	o	k	a	y	i	n	d	z	a	a	á	d	z	e	n	d	a	</S>
parmi	0.0136195	0.0115125	0.0432836	0.0324832	0.0276062	0.0263146	0.0231556	0.0263414	0.0499159	0.0446789	0.040053	0.0400238	0.0732817	0.0861488	0.0668323	0.0609236	0.0294698	0.0292394	0.0228211	0.0205078	0.0176747	0.0223766	0.0154103	0.0297398	0.0216855	0.0215313	0.0293627	0.0280895	0.0252575	0.0206595
vous	0.0589109	0.066302	0.0361665	0.031703	0.0453685	0.0466167	0.0630971	0.0636156	0.0355221	0.0226386	0.0374256	0.0339822	0.0421853	0.0316413	0.0285169	0.0318642	0.0307955	0.0349868	0.0288611	0.0333418	0.0296904	0.0249875	0.0192914	0.0172919	0.0189501	0.0125731	0.0184039	0.00782978	0.0261666	0.0212738
cinq	0.0560984	0.0424815	0.024921	0.0189761	0.0279296	0.0244484	0.0216854	0.034063	0.0430296	0.0620786	0.0363741	0.0344684	0.0445272	0.0378828	0.0203918	0.0215068	0.0222711	0.039455	0.05444	0.0481904	0.0650614	0.0517883	0.0386576	0.0249776	0.0174138	0.0179086	0.012966	0.0130955	0.0171426	0.0257696
quel	0.0447912	0.0293046	0.0226878	0.0227824	0.0201771	0.0199033	0.0201654	0.0193292	0.0148953	0.0108841	0.0183968	0.0276243	0.0299207	0.0441422	0.0375301	0.0592891	0.0398543	0.0483789	0.0390769	0.0513204	0.0339687	0.0448956	0.0273324	0.0333548	0.0361778	0.0357972	0.0370932	0.0220167	0.0448083	0.0641013
est	0.0298828	0.0250615	0.0234304	0.0179036	0.0237242	0.0288881	0.028366	0.0387509	0.0284277	0.0287903	0.0136599	0.0108817	0.00939443	0.0105893	0.00880725	0.0144056	0.0182712	0.0411996	0.0437527	0.0665136	0.0335402	0.035076	0.0393421	0.0637909	0.0480163	0.0661895	0.0475821	0.0375949	0.0454987	0.0726685
celui	0.0501183	0.0401023	0.0523141	0.032091	0.0304389	0.0391401	0.0326188	0.0428897	0.0369169	0.0304252	0.032273	0.0323668	0.0311722	0.0298504	0.0224535	0.021972	0.0190893	0.0188073	0.017287	0.0195671	0.0156657	0.0184729	0.0256834	0.0239157	0.0244564	0.0355543	0.0308597	0.0244659	0.0385395	0.130493
qui	0.0379589	0.0402865	0.0447341	0.0292115	0.037788	0.0650526	0.0441702	0.04621	0.0350528	0.029892	0.0169192	0.0151656	0.0160859	0.0218048	0.0126981	0.0181688	0.0163701	0.028874	0.026379	0.0298412	0.0172122	0.0191804	0.0222028	0.0346894	0.027586	0.0425402	0.0294623	0.0369958	0.0446315	0.112836
s'	0.0608872	0.0495476	0.0571709	0.0326033	0.0255398	0.0200894	0.0140847	0.0118546	0.0088218	0.00787707	0.0139295	0.0155815	0.015715	0.0178888	0.0164101	0.0221162	0.0232205	0.0266746	0.0237022	0.025947	0.0170807	0.0209249	0.0367812	0.0429186	0.0325955	0.0482712	0.0481445	0.052038	0.0810443	0.130539
est	0.243909	0.105558	0.0735525	0.0218698	0.0132639	0.00935295	0.00982761	0.00852242	0.00751117	0.00535955	0.0128011	0.0122641	0.0161695	0.0176036	0.0125498	0.0194125	0.0162565	0.0192003	0.0140056	0.0182763	0.0192322	0.0236165	0.0319913	0.0249194	0.0288539	0.0348593	0.039922	0.0261354	0.044556	0.0686479
plaint	0.0886412	0.0559745	0.0508102	0.0256323	0.0195761	0.0170769	0.0161099	0.0100794	0.00998365	0.00982289	0.0164298	0.0165969	0.0137286	0.0139164	0.0142796	0.0267218	0.0291393	0.0340282	0.0268499	0.0414621	0.0293079	0.0367221	0.0481729	0.0366275	0.0460079	0.0470607	0.0533927	0.0368414	0.055477	0.0735305
d'	0.121874	0.104202	0.0601755	0.0351526	0.0257396	0.0147678	0.0118073	0.0106457	0.00738836	0.00529236	0.00820775	0.00724154	0.0071098	0.00607942	0.00436804	0.00702751	0.00565613	0.0140492	0.0194168	0.0259173	0.0351549	0.0476555	0.0428062	0.043964	0.0421886	0.050125	0.0422843	0.0474728	0.0528284	0.0934021
avoir	0.339112	0.116951	0.068473	0.0196058	0.0108523	0.00637083	0.00613175	0.00575601	0.00607308	0.00483306	0.00702757	0.00666562	0.00647148	0.00762818	0.00733584	0.00921766	0.00852725	0.00890849	0.00664426	0.00873034	0.00808932	0.00855328	0.0207492	0.0148623	0.0314907	0.0354133	0.0365152	0.0263832	0.0526774	0.10395
faim	0.142743	0.0806044	0.0551098	0.0251649	0.0168058	0.00914049	0.00784384	0.00861363	0.00680872	0.00492659	0.0081412	0.00908522	0.00734418	0.00735931	0.00689651	0.0115334	0.0110451	0.0179308	0.0180171	0.0258581	0.0220505	0.0247076	0.0413235	0.0388069	0.0485146	0.0528231	0.0530892	0.0581746	0.0729967	0.106541
</S>	0.0720741	0.0651502	0.0581782	0.031652	0.0310413	0.0196082	0.0161556	0.0149731	0.00995	0.00760325	0.0109336	0.0101875	0.00951194	0.00926743	0.0086622	0.0107244	0.00915505	0.0157521	0.02396	0.0279463	0.0331695	0.0393877	0.0416182	0.0465556	0.0528585	0.0576618	0.053576	0.0561874	0.0691515	0.0873474
