 	o	b	á	t	έ	m	ε	á	l	ε	i	b	í	s	í	p	ώ	ω	y	é	é	t	έ	í	w	a	ó	e	k	y	e	m	b	é	</S>
obateme	0.00694136	0.0112117	0.0120247	0.0206854	0.0126925	0.0156958	0.0123576	0.0208528	0.0219886	0.0246241	0.0278439	0.0569713	0.0635492	0.128294	0.0760942	0.0815972	0.0637104	0.0442322	0.0232628	0.0178519	0.0165688	0.0149133	0.011342	0.013438	0.0125186	0.00997433	0.0153675	0.0223414	0.0172459	0.0213949	0.0160858	0.0273179	0.0246946	0.018397	0.0159178
nous	0.0102277	0.0220096	0.0503454	0.0435516	0.02566	0.0839204	0.0278172	0.0739407	0.0305645	0.0169922	0.0234676	0.0142371	0.0565833	0.0602678	0.0771295	0.0946183	0.0670546	0.0316696	0.0251268	0.020722	0.0188922	0.0195296	0.0124754	0.00525027	0.00166623	0.00593706	0.0137344	0.0216352	0.0127637	0.0160406	0.00620631	0.00532843	0.00246431	0.00122899	0.000941185
a	0.0610109	0.0345934	0.0277811	0.0281221	0.0417797	0.0346696	0.0504097	0.0616434	0.0347886	0.0350217	0.0174322	0.0248217	0.0294153	0.0177281	0.0301713	0.0360351	0.0422779	0.0299804	0.0440145	0.0419411	0.0411119	0.0385968	0.0222167	0.0246577	0.00814389	0.0161436	0.0271456	0.0193694	0.014242	0.0235993	0.0158026	0.010168	0.0066074	0.00571674	0.00284046
raconté	0.024015	0.0172499	0.0278723	0.0429357	0.0927132	0.0707868	0.064967	0.0521912	0.0492172	0.0331623	0.0272919	0.0246834	0.0273767	0.0297573	0.0224175	0.0281699	0.0352741	0.0256527	0.0375691	0.0337426	0.0348705	0.0341348	0.0388875	0.0158723	0.0133511	0.0144538	0.00707709	0.00704131	0.00643011	0.00815467	0.00860409	0.00879505	0.00714844	0.0119486	0.0161847
ce	0.0299812	0.0203494	0.0233823	0.0226491	0.0371169	0.0307893	0.0408662	0.0462078	0.044499	0.0462364	0.0380302	0.0265246	0.0247758	0.0220327	0.0286164	0.0295503	0.0213914	0.0202044	0.0274603	0.0334982	0.0392054	0.0383101	0.0358541	0.015596	0.0131792	0.0173461	0.0141853	0.0149747	0.0159424	0.0176193	0.0219363	0.0244235	0.0254722	0.0417166	0.0500768
qu'	0.0517	0.0310882	0.0259491	0.0247856	0.0299981	0.0391781	0.045189	0.053303	0.05916	0.0466267	0.0424483	0.0288963	0.0307518	0.0220284	0.0155092	0.0178645	0.0152415	0.0287364	0.0317622	0.0360526	0.0326391	0.0257375	0.0190329	0.00715279	0.0084068	0.0172694	0.0149383	0.0212593	0.0167233	0.0227608	0.020225	0.0225725	0.0188514	0.0313082	0.0448537
il	0.0612261	0.0288204	0.0233399	0.0267639	0.030042	0.0295285	0.044622	0.055592	0.0594152	0.0501028	0.051454	0.0481061	0.0423383	0.0329425	0.0145032	0.0176511	0.0215263	0.0412439	0.0537396	0.0497248	0.0403544	0.0271597	0.0214898	0.0116483	0.00700419	0.00528844	0.00412289	0.00474524	0.00354383	0.00602171	0.0061896	0.00735233	0.00708403	0.0175447	0.0477681
a	0.182747	0.0803223	0.0385518	0.0226725	0.0173978	0.023545	0.0237933	0.0255935	0.0279777	0.03117	0.0379798	0.0514118	0.0349351	0.0276192	0.0206008	0.0200642	0.0177289	0.018082	0.0147854	0.0167009	0.0170272	0.0176368	0.0167641	0.00788079	0.00804202	0.00660457	0.00619282	0.00976945	0.00509993	0.0105703	0.0122452	0.0199828	0.0177872	0.0375389	0.0731792
vu	0.0933138	0.0403194	0.0207522	0.0130308	0.00982753	0.0148225	0.0203846	0.0220739	0.0295417	0.0324515	0.0383553	0.0523265	0.0421384	0.0417902	0.047349	0.0386222	0.0319547	0.0189713	0.01607	0.017498	0.0143683	0.0129753	0.0126897	0.00648335	0.0118973	0.012374	0.0116597	0.016956	0.0117902	0.0208464	0.0239607	0.0371984	0.0323582	0.0563624	0.0764865
à	0.0659185	0.038722	0.0345313	0.029885	0.0258689	0.0170432	0.0143847	0.0107022	0.0117852	0.0119773	0.0127316	0.0153601	0.0107488	0.0128764	0.00824704	0.00682805	0.00887078	0.0133976	0.013747	0.0178398	0.0176737	0.0193153	0.0210754	0.0104518	0.021875	0.0248782	0.0286653	0.0419804	0.0344787	0.048597	0.0477357	0.0626175	0.0488116	0.0756145	0.114764
ekyembe	0.0565846	0.0364276	0.0348279	0.0290033	0.0244659	0.0175009	0.0130921	0.00996492	0.0102543	0.0092524	0.0082927	0.0104557	0.00778761	0.0102788	0.00782753	0.00723851	0.00869229	0.0114865	0.0125018	0.0171419	0.0166497	0.0178523	0.0188631	0.00876229	0.0197214	0.0340031	0.0414258	0.0484336	0.0441805	0.0547951	0.0533594	0.0612054	0.0526412	0.0730479	0.111982
</S>	0.220556	0.0515968	0.0401047	0.0247158	0.0285798	0.0182294	0.0175244	0.0115645	0.0120913	0.0113333	0.00873103	0.0109347	0.00643706	0.00522908	0.00448024	0.00395745	0.00509487	0.00805145	0.0132769	0.0153326	0.0251484	0.0253657	0.0379641	0.0221417	0.0253734	0.0154428	0.0126626	0.0146028	0.0191585	0.0246501	0.0280077	0.0353773	0.0363748	0.0460186	0.113891
