 	w	a	a	d	í	l	a	ω	n	g	a	n	g	a	m	á	i	p	έ	ε	l	á	a	n	y	a	m	a	p	ó	s	á	ω	y	a	a	m	ó	b	ó	y	a	</S>
il	0.0293254	0.0317409	0.0574772	0.134759	0.0740366	0.0641157	0.0851418	0.104907	0.155448	0.0781679	0.0533294	0.0207778	0.00478089	0.00122255	0.00291588	0.0017679	0.00172435	0.00225317	0.00213799	0.00247405	0.00173422	0.00231842	0.00216926	0.00190332	0.00321727	0.00199096	0.00234658	0.0027757	0.00420159	0.00402148	0.00417641	0.00506187	0.00508531	0.00474969	0.00434531	0.00523941	0.00538591	0.0047583	0.0057077	0.00579975	0.00571533	0.00495502	0.00383802
attire	0.0383387	0.0308661	0.040594	0.0192464	0.0599989	0.0332217	0.0483748	0.0407114	0.0254255	0.0216635	0.019624	0.0164672	0.0220906	0.0371148	0.0343551	0.0222551	0.0441134	0.0354424	0.0320275	0.0253395	0.0224937	0.038351	0.0315055	0.0283238	0.0217274	0.0222203	0.0184736	0.0174256	0.0213373	0.0127762	0.0126403	0.0152168	0.0109996	0.00807096	0.0101448	0.0108907	0.00978535	0.00981729	0.00525267	0.00602659	0.00518281	0.00582736	0.00823961
les	0.00648071	0.00874275	0.0327712	0.0297252	0.0207853	0.013105	0.0106958	0.00919538	0.0124518	0.00618032	0.00266802	0.00534986	0.00433759	0.00523867	0.0109675	0.0232505	0.0270032	0.030552	0.033536	0.0354977	0.0272457	0.0378021	0.0366394	0.0426526	0.0531411	0.0315241	0.0387527	0.0385107	0.0549658	0.0360581	0.0375652	0.0386266	0.0294122	0.0168424	0.0226393	0.0194441	0.0151078	0.0155636	0.0158746	0.0152594	0.0139653	0.0173242	0.0165487
animaux	0.00533937	0.0135714	0.0106143	0.0108011	0.00942513	0.0162483	0.01215	0.0206744	0.0175141	0.0190919	0.0204427	0.019084	0.0206494	0.0243648	0.0185942	0.0235935	0.0365506	0.0269125	0.0254453	0.0229476	0.0282367	0.0286838	0.0302768	0.0309929	0.0259712	0.0279131	0.0277334	0.0259448	0.0212951	0.0202107	0.0212811	0.0247567	0.0275441	0.0265165	0.0261916	0.0287116	0.0350971	0.0324841	0.0266842	0.0338667	0.0247738	0.0212981	0.0295213
au	0.0100022	0.0086943	0.0134523	0.0138642	0.00963562	0.014798	0.0116538	0.0212648	0.00863909	0.0123208	0.0122952	0.0161373	0.0183621	0.0323303	0.0351922	0.0225167	0.0186873	0.0256018	0.0277124	0.0264223	0.0327271	0.026993	0.0385599	0.036844	0.0415644	0.0556452	0.0325854	0.032042	0.0273756	0.0235634	0.0232464	0.0214959	0.0148765	0.0148956	0.0149151	0.0163482	0.0230568	0.0230235	0.0273183	0.0265451	0.0216029	0.0253532	0.0398401
piège	0.00818245	0.00452596	0.00713647	0.00532884	0.00596768	0.0093524	0.00619938	0.00766141	0.0062687	0.0059411	0.00709053	0.00566181	0.00789417	0.0157178	0.0106441	0.014131	0.0139957	0.0156113	0.0243468	0.0247287	0.0303586	0.0264143	0.0312172	0.0383259	0.0390792	0.037681	0.0321779	0.0347395	0.0330512	0.0313016	0.0356221	0.034121	0.0312737	0.0288237	0.0318769	0.0283924	0.040952	0.038066	0.0348255	0.03273	0.0250649	0.0366478	0.0608714
avec	0.00740898	0.00785832	0.00787163	0.00763563	0.00842793	0.0102422	0.00946421	0.0113525	0.0115562	0.00805554	0.00788194	0.00686517	0.00718866	0.00891496	0.00780013	0.0103943	0.0137937	0.0166405	0.0207131	0.0243532	0.0321612	0.0252624	0.0304818	0.0366792	0.0337222	0.0361783	0.0381269	0.0378577	0.0310471	0.0304603	0.0343113	0.0284015	0.0273129	0.0295535	0.0271133	0.0249465	0.0298687	0.0311817	0.0329285	0.0343625	0.0394324	0.0470214	0.0671697
un	0.00824865	0.0114179	0.0109935	0.0122569	0.0174919	0.0234642	0.0216244	0.024125	0.0231724	0.0179166	0.0147431	0.0115099	0.0128077	0.0121234	0.0123912	0.0161558	0.0206644	0.022369	0.0241576	0.0215507	0.0231116	0.0239238	0.0288226	0.0413565	0.0357756	0.043409	0.0401452	0.036666	0.0228447	0.0214905	0.0280975	0.0212094	0.0193553	0.0255648	0.0214895	0.017939	0.0189183	0.0197219	0.0203732	0.0245058	0.0228991	0.0401671	0.0630294
remède	0.0135535	0.0143893	0.012569	0.0142373	0.0146634	0.0136762	0.0140293	0.0134872	0.0131553	0.00918307	0.00638681	0.00954032	0.00840662	0.00600928	0.00722696	0.0106692	0.0116239	0.0143485	0.0163547	0.0151988	0.0184471	0.0163002	0.0195826	0.0219721	0.019931	0.028447	0.0239767	0.0248236	0.0218018	0.0232565	0.0244369	0.025014	0.0238023	0.0285414	0.0288212	0.0368587	0.0425948	0.0460811	0.050069	0.0529071	0.0536015	0.0612642	0.0687606
</S>	0.0149503	0.0224516	0.0126397	0.0176741	0.0269306	0.0130063	0.0191693	0.0161862	0.0160838	0.0123122	0.00925815	0.0102783	0.0093823	0.00552854	0.0134591	0.0217902	0.0200972	0.0198816	0.0190212	0.0134982	0.0177532	0.0196919	0.0130184	0.023159	0.0145505	0.0239773	0.0248135	0.0236632	0.0167042	0.0192968	0.0283897	0.0224022	0.0223814	0.0288085	0.0221843	0.0198388	0.0129395	0.0232189	0.0307126	0.047483	0.0577753	0.0651344	0.108505
