 	o	m	ω	n	g	ω	m	á	b	í	s	í	á	d	z	w	á	o	t	s	a	á	á	d	z	a	i	b	a	a	m	i	l	ó	y	a	a	</S>
notre	0.00765339	0.00934565	0.0104622	0.0103698	0.0106143	0.00863131	0.0143134	0.0420292	0.0653166	0.0808465	0.0629032	0.045893	0.0364385	0.0500256	0.0509994	0.0294081	0.0225998	0.0135798	0.00985665	0.010938	0.00833956	0.00883926	0.00930996	0.0108207	0.0086142	0.00723904	0.00940452	0.00741043	0.0124842	0.0166511	0.0239913	0.0347436	0.0386049	0.0520518	0.0423568	0.0454935	0.0437333	0.0276876
vie	0.060399	0.111772	0.171126	0.194958	0.0904705	0.0314814	0.0333108	0.0231302	0.0246879	0.0220259	0.0294801	0.0267671	0.0198816	0.0160075	0.00562391	0.00858343	0.0143782	0.0263778	0.0101718	0.00721994	0.00966185	0.00489008	0.00818367	0.00332512	0.00189886	0.00186974	0.00239723	0.0013378	0.00372226	0.00508565	0.00425351	0.00992608	0.00423614	0.00445611	0.00433509	0.00103773	0.0012014	0.000329174
a	0.0535865	0.0421622	0.0501287	0.0774399	0.0991569	0.0571447	0.0709044	0.110497	0.0648586	0.0689671	0.0292671	0.015021	0.00828626	0.0140882	0.0176001	0.0102719	0.00965034	0.0099399	0.00822735	0.00904726	0.00648696	0.00681813	0.00440442	0.0065367	0.00423218	0.00522307	0.00550695	0.00564682	0.00735599	0.00957649	0.0138211	0.0240961	0.0127042	0.0206933	0.0132014	0.00874821	0.0143101	0.00439302
été	0.0324187	0.0484486	0.0505309	0.0502723	0.0500236	0.0589762	0.0555883	0.0558991	0.0427467	0.0363033	0.0230591	0.0216747	0.00950028	0.0070832	0.0102605	0.0157119	0.0149012	0.0248045	0.0324457	0.0299452	0.0220855	0.0261448	0.0249344	0.0213707	0.0331832	0.0157966	0.0181465	0.0140359	0.011264	0.0158099	0.0120909	0.0151703	0.0120387	0.0092386	0.00888919	0.0115639	0.0168893	0.0407537
bouleversée	0.0219462	0.0197618	0.0227495	0.0266958	0.0335465	0.0236154	0.0256564	0.0337194	0.0223438	0.033252	0.0177653	0.0170736	0.0123404	0.0152392	0.0153679	0.0265212	0.0334686	0.057155	0.0405887	0.0362426	0.0376209	0.0323668	0.0411315	0.0218585	0.0220068	0.0107241	0.0142015	0.0101254	0.0236755	0.0279156	0.0382422	0.03848	0.0324754	0.0303317	0.0262371	0.0207879	0.0220766	0.014693
par	0.00917555	0.00948927	0.0149698	0.017096	0.0159749	0.0255817	0.0305375	0.0249131	0.0284671	0.0236146	0.0347096	0.0204461	0.0116574	0.0116163	0.0137546	0.0161264	0.0099521	0.031223	0.0415186	0.0361375	0.032314	0.0257948	0.0425674	0.0218095	0.0301904	0.0369382	0.0274572	0.0303451	0.026887	0.0286097	0.0236798	0.0384577	0.0245898	0.0371264	0.032627	0.0276184	0.0476097	0.0384167
l'	0.0288343	0.0321825	0.032718	0.035057	0.034718	0.0528529	0.0515026	0.0461165	0.0417509	0.0397262	0.0351242	0.0250678	0.0208593	0.0176398	0.0121977	0.00752979	0.00788073	0.0170751	0.0141394	0.0153768	0.0161441	0.0198983	0.0309635	0.0334919	0.0234024	0.0292774	0.0321613	0.027916	0.0306009	0.0285473	0.0248766	0.0231665	0.00926051	0.0230107	0.0219052	0.00969899	0.0204223	0.0269066
arrivée	0.0575163	0.0510241	0.0387336	0.0409637	0.0350639	0.0295639	0.0217163	0.0231141	0.021793	0.0299399	0.0312246	0.0346668	0.0349872	0.0282169	0.0234862	0.0163973	0.0281481	0.0436579	0.0347446	0.0172045	0.0356485	0.0157667	0.0346747	0.012927	0.0126197	0.022655	0.0135208	0.0136344	0.0114137	0.0106869	0.00831439	0.0144959	0.00434265	0.0128194	0.0155377	0.00928996	0.0273747	0.0821148
des	0.0385779	0.0533708	0.0350158	0.0408131	0.0297827	0.0245361	0.0157978	0.0194099	0.0117525	0.0217589	0.0117739	0.0124526	0.0130974	0.0170866	0.0207167	0.019672	0.0297337	0.0538629	0.0432417	0.0275541	0.0517933	0.0213914	0.0578852	0.0194814	0.0261476	0.0384101	0.0263294	0.0288676	0.0175927	0.0192121	0.0125316	0.0152519	0.00420834	0.0107774	0.0127492	0.00849322	0.0218985	0.0669721
blancs	0.0660167	0.0495464	0.0381424	0.0384402	0.03536	0.0186832	0.0137785	0.0149228	0.0116744	0.0138457	0.0133855	0.0126489	0.0117217	0.0149493	0.0172155	0.0168676	0.0226045	0.0321299	0.0302597	0.0233113	0.0344974	0.0249333	0.0309242	0.0228674	0.0247194	0.0370317	0.0218507	0.0232018	0.0114107	0.00943853	0.0112058	0.0220663	0.0125072	0.0298383	0.0335093	0.0225361	0.0470476	0.0849099
</S>	0.0619106	0.0370616	0.0382435	0.0237672	0.0226894	0.0316614	0.0218753	0.0274055	0.014238	0.0106717	0.00931588	0.00525831	0.00329258	0.00243689	0.00349627	0.00374718	0.0044797	0.0165889	0.0243607	0.0287366	0.0243814	0.0265055	0.0356501	0.0381791	0.0373831	0.043238	0.0501932	0.0424803	0.0363623	0.0389421	0.0259937	0.0266942	0.0172244	0.0213297	0.02238	0.0210243	0.0302284	0.0705729
