 	a	b	e	n	g	i	á	m	i	l	o	o	s	á	m	í	á	m	í	b	á	b	h	a	l	á	n	y	a	m	a	</S>
les	0.201315	0.106835	0.0438964	0.0220744	0.0365582	0.0298027	0.0508795	0.0237579	0.0334737	0.0298314	0.0350296	0.0317186	0.0178508	0.00599821	0.00540921	0.00729382	0.0103182	0.0126798	0.010175	0.0126634	0.0113704	0.0107315	0.0125381	0.0132105	0.0176234	0.028034	0.0342371	0.0381715	0.0369807	0.0243932	0.0240759	0.0210723
chasseurs	0.0501631	0.0339437	0.0443821	0.073526	0.112279	0.0633498	0.0592767	0.0349075	0.0544356	0.0414625	0.0470313	0.0675097	0.0140719	0.00906189	0.0110204	0.0237321	0.0209186	0.0161306	0.0127762	0.0274009	0.0217853	0.026386	0.0273324	0.0270234	0.0137103	0.016674	0.0150835	0.0123729	0.0112752	0.00486904	0.00332491	0.0027829
ont	0.0288487	0.0273617	0.0239654	0.0239587	0.0172861	0.0359985	0.0286302	0.0370178	0.028481	0.0296597	0.0291361	0.0505562	0.0198723	0.00791324	0.0210292	0.0426725	0.0495441	0.0538479	0.0449806	0.0470611	0.0372247	0.0458774	0.0246681	0.0208308	0.0253123	0.0303693	0.0366407	0.0282004	0.0423953	0.0217861	0.022884	0.0159899
allumé	0.0205064	0.0357551	0.0373288	0.0372265	0.0342768	0.0407796	0.0458972	0.0499696	0.0445759	0.0424606	0.0495264	0.033703	0.0190702	0.0149533	0.0149135	0.0212363	0.0285149	0.036713	0.0454128	0.0470265	0.043052	0.0290901	0.0174767	0.017504	0.02237	0.0152545	0.0153728	0.0230704	0.0230493	0.0228128	0.0231113	0.0479899
le	0.0297138	0.0267083	0.0311315	0.0343198	0.0389081	0.0336065	0.0343847	0.032372	0.0322169	0.0365646	0.0307385	0.0242081	0.0270954	0.0295105	0.0180116	0.0202338	0.0200587	0.0266564	0.0305726	0.0293712	0.0421379	0.0373187	0.0337808	0.0283536	0.0353782	0.0213104	0.0205369	0.0255411	0.0252193	0.0365866	0.0314913	0.0759624
feu	0.0109252	0.0106126	0.00835865	0.0102704	0.0103831	0.00863054	0.00927478	0.0119491	0.0136368	0.0192094	0.0229271	0.0252333	0.00954397	0.00697457	0.00859661	0.0149607	0.0197551	0.0304852	0.050852	0.0577757	0.0854992	0.0604098	0.081412	0.0752966	0.061604	0.0469634	0.0505735	0.0206783	0.0316648	0.0384481	0.0351306	0.0519646
pour	0.0228411	0.0133228	0.0118459	0.0134255	0.0125618	0.012788	0.0125334	0.0125414	0.0131773	0.01728	0.0214587	0.0341553	0.0422259	0.0363838	0.0369174	0.0394096	0.0313333	0.0416435	0.0435031	0.034524	0.0524455	0.0405061	0.0543698	0.0460432	0.0467968	0.0352344	0.0355491	0.0245891	0.0255298	0.044581	0.0443729	0.0461104
braiser	0.0227606	0.0232954	0.0316952	0.0346215	0.0351763	0.0329721	0.026444	0.0192958	0.0147738	0.0125927	0.0184711	0.012768	0.0198443	0.0332823	0.0202996	0.0249204	0.0241391	0.0433387	0.033952	0.061368	0.0458395	0.038226	0.0210857	0.0268456	0.0194625	0.0241184	0.0211624	0.0352067	0.0359594	0.0470585	0.0594301	0.0795944
la	0.0163769	0.0178209	0.0270793	0.0287777	0.0281882	0.0283362	0.0257032	0.0175206	0.0166176	0.0136241	0.0175364	0.021073	0.0275264	0.0340107	0.0244807	0.028601	0.0215949	0.0445376	0.0368961	0.0497442	0.0467608	0.0339756	0.0290157	0.0357666	0.0320941	0.0215462	0.0241337	0.0337535	0.0299347	0.0467718	0.0442241	0.0959773
viande	0.0245829	0.0278267	0.0433831	0.0287641	0.028665	0.0198414	0.016798	0.0125259	0.0118849	0.00851802	0.013436	0.0109684	0.0204759	0.0203393	0.0134591	0.017085	0.0166828	0.0221187	0.0287611	0.038096	0.0305966	0.0152311	0.0180616	0.0205637	0.0182881	0.0272568	0.0534984	0.0427522	0.0739838	0.0506175	0.0861977	0.13874
</S>	0.0340732	0.0377936	0.071259	0.0513429	0.0506001	0.0433953	0.0472777	0.0469587	0.0416416	0.0390191	0.0479142	0.0222013	0.0119567	0.0123964	0.00659343	0.0154205	0.0131505	0.027876	0.0254964	0.0296633	0.028831	0.0156536	0.0113211	0.0140852	0.0123658	0.0134678	0.0150383	0.027684	0.0188968	0.0285251	0.0273276	0.110774
