 	o	t	ó	m	b	a	á	m	i	p	f	u	m	b	ú	s	á	b	á	n	a	b	á	á	y	í	á	o	n	y	e	b	h	í	l	a	w	a	</S>
otomba	0.00648414	0.0084818	0.00751786	0.00778437	0.00951473	0.0173181	0.0199558	0.0162732	0.0310968	0.0493514	0.0474906	0.0513727	0.0416954	0.0521522	0.0469404	0.0227065	0.0711684	0.0400694	0.043927	0.0309719	0.024095	0.0222256	0.0131213	0.015877	0.0147606	0.0110201	0.0143737	0.0117514	0.00833148	0.0118247	0.0124186	0.0129918	0.0232899	0.0235153	0.0360941	0.0414842	0.0154492	0.0388008	0.0263025
a	0.0268777	0.0212739	0.020726	0.0233699	0.0270085	0.0266475	0.0193679	0.0123075	0.00864543	0.0115777	0.0148604	0.00858995	0.00979258	0.0055973	0.0153512	0.0161937	0.0362815	0.0458281	0.0383053	0.0522119	0.02761	0.0167917	0.0188709	0.0278427	0.0295228	0.043208	0.0597095	0.0781657	0.0729763	0.0452488	0.0519851	0.026927	0.0245313	0.0100075	0.00439471	0.00329779	0.00833923	0.00388982	0.00586716
chassé	0.0702836	0.043005	0.0327026	0.0294292	0.0351044	0.0383444	0.0309612	0.0200232	0.0372508	0.046081	0.0332612	0.0307622	0.0259722	0.0390043	0.0405629	0.046647	0.0284073	0.0390992	0.0252878	0.0224378	0.0467361	0.0251153	0.0430113	0.0203246	0.0127321	0.0245073	0.0173883	0.0225194	0.01301	0.00801423	0.0124463	0.00874669	0.0079418	0.00509809	0.00554016	0.00361265	0.00275879	0.00363968	0.00223017
de	0.0102304	0.00929593	0.0104733	0.00791831	0.00919587	0.0129986	0.0152758	0.00962912	0.024267	0.0243293	0.0186797	0.0178627	0.0195209	0.0178553	0.0312674	0.037076	0.0543255	0.0716078	0.0514867	0.0354892	0.0291171	0.0280816	0.0330141	0.0481688	0.0474016	0.0550928	0.0383676	0.0437876	0.0417701	0.0440417	0.0171933	0.0138795	0.00881807	0.0073611	0.00542862	0.00908999	0.00958687	0.0095871	0.0214277
chez	0.0337528	0.0244845	0.0258356	0.0193985	0.0183403	0.015318	0.0106117	0.0094132	0.00981738	0.00840748	0.00898301	0.00972876	0.0117538	0.0138547	0.0185704	0.0189443	0.0419391	0.0451186	0.0346411	0.0371617	0.018371	0.023752	0.0335934	0.0483044	0.0431451	0.0348657	0.0262329	0.0273649	0.0277862	0.0280072	0.0388623	0.0325627	0.0287773	0.0277506	0.018026	0.0218622	0.0245861	0.0296266	0.0504485
lui	0.0362108	0.034409	0.0369352	0.0311479	0.0252087	0.0181664	0.0141438	0.0165403	0.0185992	0.0194387	0.0224904	0.0232655	0.0256638	0.0267965	0.0273564	0.0308928	0.0220838	0.0289682	0.0149199	0.017183	0.0154622	0.0174978	0.0191697	0.0261262	0.0270147	0.0237377	0.0272881	0.037564	0.0346987	0.0313948	0.0336999	0.026952	0.0208139	0.0201365	0.0164687	0.0183666	0.0219698	0.0278223	0.0633957
les	0.040936	0.0320501	0.0334579	0.0178568	0.0123032	0.0104532	0.0104519	0.0123105	0.0214326	0.013344	0.0127093	0.0138656	0.0153274	0.0141507	0.0131843	0.0214163	0.0158901	0.023056	0.0213162	0.0242035	0.0270076	0.0276795	0.0270932	0.0254633	0.0238347	0.0188282	0.0164444	0.0161615	0.0175467	0.0269409	0.0240514	0.0339344	0.0261495	0.0361641	0.0440557	0.0504347	0.0497002	0.0603826	0.0684118
enfants	0.0597848	0.035411	0.0377593	0.0300884	0.0210704	0.0208907	0.0238301	0.0281282	0.036126	0.0306902	0.0297078	0.0323085	0.0346963	0.0327658	0.029807	0.044758	0.0220759	0.0424252	0.0234494	0.0238922	0.0362611	0.0287945	0.0320147	0.0351192	0.0253525	0.0244777	0.0177752	0.0170312	0.0140578	0.0150428	0.0142041	0.00935569	0.00893619	0.00840461	0.00427243	0.00807845	0.0102019	0.01996	0.0309949
qu'	0.0768994	0.0443084	0.0336125	0.022499	0.0142501	0.0124721	0.0137365	0.0152741	0.0221574	0.0177547	0.0181407	0.0210501	0.0218113	0.0180617	0.0173238	0.0224842	0.0162913	0.0242201	0.0217698	0.0233513	0.0327081	0.0235405	0.0245347	0.0245955	0.0212528	0.0231212	0.0207688	0.020321	0.0226822	0.0319219	0.0295995	0.0336766	0.0308301	0.0319154	0.0191585	0.0266206	0.0199908	0.0359231	0.04937
il	0.0867309	0.0699526	0.0515466	0.0314199	0.0199452	0.0142943	0.0139207	0.0120239	0.016329	0.0130507	0.0102148	0.0131755	0.011135	0.00871227	0.0121467	0.0164719	0.0164068	0.0137468	0.0165836	0.011246	0.0112271	0.00862492	0.0112446	0.0128068	0.0166246	0.0214771	0.0190295	0.0201226	0.0273457	0.0417865	0.03635	0.0349659	0.0264673	0.0312463	0.0207925	0.0171514	0.0460321	0.0621657	0.075486
a	0.108338	0.0390611	0.0216297	0.0150655	0.00843214	0.00847051	0.0123673	0.0110035	0.0162925	0.0156073	0.0132675	0.017439	0.0191802	0.0135097	0.0162052	0.0304463	0.0201333	0.0392458	0.036602	0.0403844	0.061271	0.0372038	0.0315833	0.0377789	0.0312	0.0284026	0.0269017	0.0210599	0.0192706	0.0202836	0.0201099	0.0144403	0.0155511	0.0200936	0.0114205	0.0148923	0.0164331	0.0290314	0.0403913
hérité	0.111093	0.0498046	0.0299792	0.0202554	0.008923	0.00780407	0.00935456	0.00878279	0.0131428	0.01626	0.0156273	0.0275374	0.0269526	0.0214099	0.0253725	0.0350203	0.0333819	0.0449822	0.0416997	0.0466602	0.0445999	0.0264878	0.0204309	0.0290549	0.0223491	0.0210467	0.0245993	0.0169457	0.0135203	0.0117787	0.0111555	0.012292	0.0135999	0.0196137	0.0163378	0.0172461	0.0199815	0.0304034	0.034513
de	0.0619005	0.0334761	0.0286397	0.0219922	0.0154033	0.0108711	0.00988181	0.0103814	0.0109931	0.0127441	0.0107728	0.0112282	0.0109253	0.0098726	0.0118124	0.0157799	0.0311306	0.0371769	0.0327294	0.0243452	0.0241603	0.016295	0.0171228	0.0291851	0.0259696	0.024423	0.0275076	0.0263071	0.0323812	0.0342602	0.0310964	0.0353212	0.0352053	0.0401918	0.0283032	0.0332691	0.0308841	0.0437551	0.0523053
son	0.133433	0.0613639	0.0409618	0.029616	0.0149677	0.0104769	0.0114459	0.0122439	0.0176904	0.0168634	0.0148171	0.0191885	0.0169643	0.0141183	0.0167014	0.0190986	0.0308643	0.0516401	0.0347684	0.0380326	0.026815	0.0116635	0.0122769	0.0294844	0.0171458	0.0134474	0.0157001	0.0131012	0.0143198	0.0123412	0.0148223	0.0126429	0.013379	0.0160667	0.00973715	0.0140706	0.0191178	0.0439963	0.0846154
frère	0.0558397	0.0187631	0.013074	0.0105374	0.0081215	0.00817183	0.00861229	0.00895253	0.0130419	0.0117926	0.0112586	0.0150434	0.0143248	0.0115525	0.0120122	0.0129287	0.0147524	0.0218464	0.0186355	0.0410217	0.0250323	0.0225624	0.0255915	0.049459	0.0312509	0.0290899	0.0296325	0.0268443	0.022164	0.0178895	0.0229386	0.0175484	0.0193591	0.0201456	0.0140354	0.0194967	0.0207586	0.0747147	0.181204
aîné	0.0676188	0.0375495	0.0282984	0.0239065	0.0201207	0.0150336	0.0115008	0.0103599	0.0105002	0.011678	0.00931595	0.00822277	0.00667423	0.0046522	0.00577026	0.00716346	0.00868038	0.00644085	0.00612156	0.0125721	0.00727719	0.00765179	0.00916294	0.0182404	0.0238295	0.0253974	0.0330384	0.0336126	0.0334566	0.0363686	0.0451954	0.0308638	0.0232382	0.0232234	0.014451	0.0180244	0.0232275	0.079315	0.202246
</S>	0.114714	0.0751151	0.047	0.0387501	0.0251608	0.0200994	0.0245041	0.0242943	0.0327492	0.0295051	0.0231601	0.0253809	0.0226849	0.016902	0.0175448	0.0246957	0.0145657	0.01771	0.0140681	0.0182064	0.0100727	0.00666369	0.00811017	0.0115638	0.0118578	0.0122235	0.0126158	0.0160615	0.0210263	0.0242297	0.0302307	0.0160615	0.0138105	0.0126254	0.00798303	0.00966993	0.0121983	0.0395332	0.0966519
