 	n	g	á	l	í	i	p	f	u	n	d	z	á	a	k	i	n	y	i	m	á	á	b	h	í	n	g	á	a	s	w	é	</S>
je	0.154054	0.337351	0.242704	0.0961354	0.0258154	0.00802897	0.0058441	0.0077161	0.00652043	0.0103515	0.00715954	0.00480599	0.00701778	0.00936954	0.00860964	0.00675891	0.00578448	0.00425615	0.00392325	0.00374355	0.00392832	0.00333245	0.00380289	0.00305232	0.0040199	0.00445864	0.00331139	0.00294216	0.00302509	0.00315268	0.00328008	0.00261563	0.00312805
chasse	0.0320053	0.0121978	0.0141829	0.0287788	0.0625876	0.0740099	0.0925894	0.0604766	0.0519269	0.0504668	0.0241438	0.0164193	0.0137359	0.0143335	0.0153376	0.0147519	0.00922702	0.00781752	0.00663128	0.00983734	0.0124306	0.0236397	0.0144222	0.0202268	0.0391414	0.0386662	0.0377485	0.0520828	0.033699	0.0171592	0.0133356	0.0363869	0.049604
les	0.0210943	0.0126849	0.0142735	0.0239752	0.0227915	0.0216198	0.0153407	0.0166194	0.0266069	0.0172936	0.032795	0.0484149	0.0524502	0.0481251	0.0644722	0.069118	0.0453371	0.0683063	0.0386921	0.0281234	0.0238016	0.0189792	0.020714	0.0251715	0.024592	0.0202171	0.0375583	0.0378492	0.02765	0.0246506	0.0207611	0.0175468	0.0123745
mouches	0.00623463	0.00484634	0.00360071	0.00533644	0.00745159	0.00931433	0.00833843	0.0076413	0.00931743	0.0124219	0.0189692	0.016256	0.0181545	0.0196237	0.0251009	0.0313723	0.0504856	0.062633	0.0753093	0.0626113	0.0485461	0.0593864	0.051418	0.0390383	0.0359978	0.0349123	0.0508409	0.0529699	0.0331326	0.0328885	0.0317449	0.0332516	0.040854
qui	0.00962799	0.00793776	0.00569006	0.00516583	0.00391508	0.00504085	0.0116348	0.0185024	0.0210113	0.0214088	0.0163823	0.0155111	0.0162319	0.0164391	0.0192359	0.0246255	0.0321785	0.030619	0.0601025	0.0367955	0.0384201	0.0392184	0.0413284	0.0389767	0.0301531	0.0361541	0.0484769	0.0514153	0.0410506	0.0548773	0.0601872	0.0665085	0.0751771
rôdent	0.0233314	0.0171303	0.0111423	0.00826684	0.00620801	0.0113594	0.0217389	0.0163507	0.0140974	0.0147956	0.00961962	0.0106962	0.0113582	0.0117721	0.0140432	0.0290975	0.0586812	0.0518877	0.0878121	0.0641499	0.0469602	0.0366508	0.031948	0.0310983	0.0277907	0.0328552	0.0390817	0.0362901	0.0283165	0.0272836	0.0383016	0.0346488	0.095236
autour	0.0270547	0.0266139	0.021305	0.0130034	0.00953714	0.010485	0.0180237	0.0153638	0.0133359	0.013853	0.00912948	0.00961369	0.0108418	0.0115175	0.0130707	0.0225272	0.0311188	0.025728	0.0606034	0.0392843	0.0364078	0.0326281	0.0317163	0.0327581	0.0327596	0.0452564	0.0557954	0.0506497	0.0430134	0.0433051	0.0539443	0.0508933	0.0888621
des	0.021364	0.019607	0.0121379	0.0159484	0.00902657	0.00698821	0.00990443	0.00983884	0.0132815	0.0178423	0.0164974	0.0198222	0.0185866	0.0184776	0.0187018	0.0266997	0.0252695	0.0189751	0.0380768	0.0349252	0.036471	0.0270449	0.0304241	0.0326388	0.0322047	0.0402981	0.0450663	0.0486792	0.0483262	0.0509004	0.061623	0.0532078	0.121144
poissons	0.0242767	0.0208112	0.0131118	0.0143991	0.0124211	0.00847489	0.00805528	0.00627543	0.00584363	0.00642597	0.00817931	0.0114236	0.00976047	0.00943748	0.00896727	0.0115815	0.0170242	0.0170165	0.0353679	0.0275659	0.0226227	0.0239152	0.0322854	0.0447352	0.0497205	0.0475731	0.0483697	0.0559923	0.0590457	0.0710048	0.0862888	0.0654418	0.116585
</S>	0.0218296	0.0182259	0.0103978	0.0143033	0.0125861	0.0126824	0.0125567	0.0125365	0.0120802	0.0131055	0.0101233	0.0129533	0.0140873	0.0132584	0.0157215	0.0244761	0.0272485	0.0313639	0.063026	0.0480809	0.0319262	0.0280767	0.0287593	0.0336147	0.0355935	0.0371204	0.0293444	0.0237899	0.0517563	0.0541868	0.0566181	0.0502781	0.138293
