 	y	á	n	ω	e	l	a	b	h	í	s	í	y	á	b	á	n	a	y	é	é	d	í	l	a	m	w	a	</S>
ta	0.0153959	0.0223265	0.0259331	0.0208517	0.0153706	0.0146997	0.0166536	0.0191626	0.0210984	0.0268174	0.0307179	0.0301131	0.0335068	0.0335976	0.0497372	0.0752314	0.0786443	0.0791342	0.0796427	0.0731426	0.0458351	0.0457734	0.0319398	0.0387325	0.0170286	0.0198419	0.0170887	0.0125318	0.00945087
manière	0.112165	0.0666416	0.0437366	0.0442531	0.0229946	0.0083694	0.00472088	0.007733	0.00695299	0.00666406	0.0110073	0.0153953	0.0124276	0.0123824	0.020571	0.0314634	0.0637549	0.0780359	0.0603528	0.0583955	0.0745836	0.0472852	0.0435772	0.0424991	0.0464572	0.0237853	0.0212336	0.00499911	0.00756282
de	0.116156	0.0588923	0.0567613	0.0474581	0.0505532	0.0649182	0.0609328	0.0203988	0.0364242	0.0279391	0.0100561	0.0144309	0.0187215	0.0261547	0.0235549	0.035568	0.0359124	0.0305876	0.0256715	0.0295421	0.0218996	0.0338037	0.026216	0.0182719	0.0231202	0.021744	0.0169834	0.0259614	0.0213668
faire	0.0480106	0.0273899	0.0197246	0.023409	0.0367417	0.054658	0.0555704	0.0420298	0.0803545	0.0842216	0.0597824	0.0460518	0.0265462	0.0299062	0.0209342	0.0283634	0.0286087	0.0237581	0.0250226	0.0140254	0.0170743	0.0133479	0.0191008	0.0216914	0.0202413	0.0311793	0.0170793	0.0171879	0.0679886
traverser	0.0498166	0.0438071	0.036631	0.0450834	0.0419637	0.0431462	0.0308746	0.0220806	0.0204168	0.0199205	0.0296383	0.0519767	0.0338799	0.0392242	0.0333242	0.0393254	0.0415448	0.0436753	0.0472366	0.0280334	0.0308261	0.0324073	0.030451	0.0261663	0.019928	0.0292727	0.0186569	0.0272801	0.0434122
les	0.0580638	0.0493144	0.0349291	0.0361669	0.0453494	0.0615727	0.0688018	0.0573561	0.0657125	0.0642177	0.0598633	0.0441274	0.0137273	0.00848173	0.00445482	0.00592397	0.00887908	0.00791858	0.0107403	0.0125481	0.0186746	0.0176087	0.0317396	0.0244928	0.0199745	0.0250995	0.0205701	0.031409	0.0922823
enfants	0.0284458	0.033585	0.0255749	0.0258784	0.0334749	0.059185	0.0932728	0.0922238	0.0876201	0.0640896	0.0455633	0.0319046	0.0145178	0.0123248	0.010028	0.00766146	0.00396272	0.00630654	0.00977611	0.00906523	0.0162619	0.0138193	0.0238511	0.0298226	0.0374331	0.0425559	0.0446524	0.0375934	0.0595493
est	0.048472	0.0256967	0.020785	0.025279	0.0318304	0.0527327	0.0908441	0.0843266	0.0745945	0.0515123	0.0589792	0.0589503	0.0164259	0.0168448	0.0147463	0.015559	0.013218	0.0148124	0.015442	0.00825533	0.0165454	0.0119885	0.0313324	0.0245522	0.0224084	0.0223915	0.0227391	0.0250224	0.0837134
épouvantable	0.052196	0.0426275	0.0449145	0.0486596	0.0437666	0.0398926	0.0255824	0.0120517	0.013673	0.0122055	0.01144	0.0123472	0.013507	0.016711	0.0112227	0.011476	0.00944334	0.00838963	0.0076233	0.00492792	0.00910176	0.0107796	0.0459126	0.0574215	0.0621227	0.0577366	0.0639233	0.0820145	0.16833
</S>	0.0403853	0.0331243	0.0328801	0.037563	0.0372134	0.0379676	0.0372913	0.0248925	0.0262566	0.0176156	0.0149509	0.00902372	0.00743716	0.0078753	0.00572057	0.00600314	0.00512464	0.00471446	0.00595104	0.00540699	0.00908189	0.00898759	0.0426592	0.0578365	0.0696403	0.074611	0.0933847	0.109025	0.137376
