 	e	p	ώ	ω	y	ó	p	f	u	n	y	ε	w	á	á	á	t	u	m	b	u	é	d	í	o	d	z	é	é	l	í	o	b	v	έ	w	a	m	é	n	d	e	</S>
la	0.00756104	0.010725	0.00989698	0.010713	0.0137215	0.0106816	0.0196875	0.0179171	0.0201819	0.0144356	0.0232048	0.0388031	0.0255573	0.0339553	0.0460471	0.0357215	0.0615283	0.0454211	0.0328126	0.0202592	0.0189592	0.0171564	0.0169024	0.0186567	0.0205929	0.0164906	0.0179639	0.0279038	0.0257756	0.0300535	0.03538	0.0277053	0.0315777	0.0237792	0.0250577	0.0154669	0.0138494	0.0105633	0.0116098	0.0157381	0.0200956	0.0276756	0.0322151
pâte	0.0271427	0.0539142	0.0424524	0.0755772	0.10972	0.0342922	0.0213593	0.0233183	0.0234013	0.0311121	0.015985	0.0154354	0.0361371	0.017131	0.0235995	0.00741509	0.0150007	0.0310797	0.0123658	0.010307	0.0131427	0.0216454	0.0241307	0.0252417	0.0236889	0.0276667	0.0235379	0.0162753	0.0154783	0.0114778	0.0208308	0.0161551	0.0134902	0.0217977	0.00795901	0.0131841	0.0145568	0.0223426	0.00998843	0.0103332	0.0103404	0.00416118	0.00582929
du	0.143821	0.0719043	0.0376219	0.0256341	0.00691949	0.00455608	0.00592729	0.00955061	0.00660663	0.0239837	0.0280228	0.0152101	0.0179798	0.013053	0.00926688	0.00829599	0.0101813	0.02693	0.0451046	0.0295632	0.0441383	0.0442124	0.0285358	0.0264154	0.0244019	0.0411428	0.0235206	0.0216603	0.0204438	0.0129847	0.0117809	0.00819308	0.0101661	0.0126875	0.00725583	0.0186073	0.0197767	0.0207604	0.0123721	0.0134477	0.0132322	0.011035	0.0130968
sésame	0.0298279	0.0553977	0.0449118	0.0495547	0.0449338	0.0327503	0.0365567	0.0278614	0.033078	0.0173224	0.0246203	0.0201374	0.0235562	0.0101811	0.0116597	0.00935841	0.00856713	0.0158723	0.0395871	0.0175981	0.0418091	0.0266059	0.0331711	0.0230983	0.028264	0.038069	0.0217393	0.0298169	0.0148563	0.0164323	0.00936441	0.0139501	0.0131447	0.0119523	0.0137172	0.0102996	0.00918029	0.0102393	0.0084477	0.0126953	0.0139879	0.0139081	0.0319185
cuite	0.0823658	0.0510435	0.0360313	0.026204	0.0222591	0.0156209	0.0113094	0.0145413	0.0114435	0.0215143	0.016098	0.0210325	0.0202289	0.0137935	0.0118752	0.0176521	0.00987012	0.0214658	0.0375023	0.0299643	0.0444783	0.0353394	0.0413601	0.0226123	0.0336405	0.0428634	0.0296094	0.0355731	0.0244868	0.0179578	0.0099803	0.0133769	0.0145799	0.0131391	0.0099748	0.0127058	0.00617404	0.00918941	0.0062545	0.00812441	0.0125411	0.0123185	0.0519045
à	0.0231514	0.0157628	0.0109249	0.0103731	0.0107187	0.0085957	0.00883937	0.00711483	0.00855836	0.00904714	0.00765295	0.00851518	0.010925	0.00774039	0.00697825	0.0117993	0.00982807	0.0213382	0.035429	0.0282304	0.0449502	0.0568662	0.0410858	0.044977	0.0386164	0.0430364	0.0389373	0.0361668	0.035004	0.0386647	0.0318838	0.0348433	0.0293294	0.0359704	0.0137244	0.0107982	0.00881411	0.0236413	0.0254544	0.0283763	0.0294967	0.0224846	0.0253556
l'	0.0294283	0.0191477	0.012578	0.0126133	0.0141291	0.0170543	0.0156417	0.0150313	0.0137834	0.0218854	0.0222767	0.021599	0.0211433	0.016435	0.0137313	0.0262504	0.0107568	0.0292146	0.0346318	0.0312472	0.0324775	0.0432017	0.0276608	0.0449412	0.0314886	0.03265	0.0243469	0.0280784	0.0242619	0.0267616	0.0277341	0.0270573	0.0243878	0.0234101	0.0185644	0.0205544	0.017577	0.0200549	0.0195925	0.020656	0.0215769	0.017786	0.0266013
étouffée	0.0460889	0.0405896	0.0412213	0.02565	0.0217763	0.0200811	0.0182437	0.0159328	0.0131492	0.0175161	0.0134798	0.0124309	0.012002	0.00855879	0.0112882	0.024451	0.0148241	0.0317183	0.0152315	0.014294	0.0196441	0.0201111	0.0156956	0.0163647	0.0157766	0.0129989	0.0192439	0.0110381	0.0122408	0.0148145	0.0181505	0.0145376	0.013375	0.0204571	0.0116892	0.0093258	0.00865693	0.0153252	0.0155464	0.0599402	0.0676315	0.0966889	0.0722194
est	0.0461221	0.0269971	0.0244951	0.0263403	0.0245877	0.0342412	0.0435667	0.0446684	0.0366631	0.0281479	0.0229293	0.0235304	0.0137255	0.0115489	0.00902864	0.0110237	0.00801121	0.0136418	0.0222146	0.0219725	0.0411753	0.0313259	0.035741	0.0285538	0.031088	0.0310652	0.0248563	0.0240545	0.0247305	0.02769	0.0207355	0.0234822	0.0236658	0.018895	0.0168517	0.00589351	0.00865979	0.00694289	0.0108706	0.00835874	0.0105691	0.0143147	0.0370241
un	0.247017	0.111982	0.0497877	0.0347291	0.0251965	0.0137384	0.0127953	0.0159287	0.0102057	0.0130485	0.00661763	0.00699325	0.00553042	0.00769098	0.00771139	0.011931	0.00685053	0.016712	0.0140516	0.00541021	0.0192969	0.00546581	0.00973643	0.00449194	0.00857697	0.00666909	0.014602	0.00409681	0.00553449	0.0041735	0.00310337	0.00403032	0.00281136	0.00525424	0.00332388	0.00250054	0.00213191	0.00726845	0.00697764	0.0323683	0.0270197	0.0700174	0.126621
mets	0.0786072	0.0454498	0.0306508	0.0256189	0.0189045	0.0138417	0.0135451	0.0183062	0.0140906	0.0207631	0.014786	0.00860509	0.0078112	0.0106253	0.01259	0.0206553	0.0122666	0.0272948	0.0173402	0.00655283	0.0195033	0.00969339	0.0103383	0.00586224	0.00866134	0.00606627	0.0142247	0.00398103	0.0049141	0.00656535	0.0054897	0.00932655	0.00481587	0.00783144	0.00430553	0.00310901	0.00376637	0.012405	0.0124251	0.0639998	0.0503981	0.110418	0.203594
succulent	0.0675517	0.0437082	0.0255424	0.0272161	0.0260507	0.0185522	0.0132968	0.0098408	0.00883936	0.0109413	0.0113274	0.012905	0.00953182	0.0150906	0.0163408	0.0142373	0.00923731	0.0130595	0.0220425	0.0165599	0.036114	0.0104105	0.0165059	0.0134491	0.0219893	0.015506	0.0217425	0.018002	0.0228629	0.0167681	0.0154483	0.0140216	0.0143396	0.0178146	0.0207249	0.0167878	0.0118035	0.0164195	0.0150806	0.0413658	0.0351153	0.0612676	0.134589
</S>	0.0437227	0.0262102	0.0179135	0.0161506	0.0168915	0.0255411	0.0190427	0.0108523	0.00729399	0.00669129	0.00559262	0.00726506	0.00600198	0.00579865	0.00660602	0.0054539	0.00727768	0.0119386	0.0210238	0.0183794	0.0447161	0.0166588	0.0264565	0.0212401	0.0380016	0.0287739	0.0363195	0.0276396	0.0410368	0.0247905	0.0314165	0.0190363	0.0246037	0.0236482	0.0219092	0.0264127	0.0184473	0.0280752	0.0223992	0.0497013	0.0379616	0.0486764	0.0564317
