 	e	f	ú	ú	n	y	ú	l	ú	y	é	é	f	ú	ú	n	y	á	w	a	t	á	á	é	d	í	l	a	m	w	a	</S>
la	0.0205953	0.0286188	0.0271961	0.0216423	0.0245095	0.0249688	0.0132801	0.0168592	0.0133052	0.018625	0.0177482	0.0267723	0.0286227	0.0374595	0.0462809	0.0678202	0.0729534	0.0394443	0.030075	0.017461	0.0110386	0.0114683	0.0178436	0.0230449	0.0180146	0.0360343	0.0504801	0.0483509	0.0458414	0.0578778	0.0440332	0.0417347
manière	0.0456059	0.0590005	0.0639033	0.0196501	0.0143079	0.0177805	0.0112448	0.0127864	0.0127103	0.0195613	0.0284136	0.116791	0.0747945	0.0875084	0.0524363	0.042899	0.020485	0.0277538	0.0159279	0.018646	0.0135609	0.0201686	0.0244242	0.0273475	0.0261072	0.0389044	0.0271253	0.0123792	0.0296215	0.0104004	0.00510449	0.00265003
dont	0.195271	0.0739952	0.0450557	0.017554	0.0156776	0.0143689	0.0205235	0.0190535	0.0107325	0.0189186	0.023501	0.0185743	0.0206324	0.0291049	0.054684	0.0309559	0.0309027	0.0222291	0.0188441	0.0233529	0.0289722	0.0352355	0.0380846	0.036971	0.0282764	0.0262438	0.0195185	0.0114221	0.0230354	0.0137482	0.0135897	0.0209711
il	0.0332841	0.0328441	0.0315261	0.0242148	0.0230684	0.022328	0.0253762	0.0296715	0.0122153	0.0183538	0.0155489	0.0118628	0.0283405	0.0306348	0.0420473	0.0626786	0.0486589	0.0647867	0.0208086	0.0121927	0.0148042	0.0195909	0.0189615	0.0171202	0.0324665	0.0398062	0.0310201	0.0326346	0.0260088	0.0299569	0.0347145	0.112473
ressemble	0.0470409	0.0352849	0.0306728	0.0324461	0.0401677	0.0422216	0.0490828	0.0368336	0.0186736	0.0249954	0.0214047	0.023493	0.0170335	0.0232143	0.0401235	0.0331357	0.0343736	0.0304479	0.0218222	0.0211887	0.0191773	0.0282708	0.0245098	0.0183204	0.0337735	0.0303204	0.0175846	0.0342672	0.0355657	0.0292663	0.0268891	0.0783981
à	0.0381436	0.0281161	0.0367746	0.0413544	0.0512386	0.0522135	0.0594954	0.0395114	0.02548	0.0328403	0.0221542	0.0425638	0.0261192	0.0257027	0.0442015	0.0224407	0.0254351	0.0417092	0.0331476	0.0165641	0.0181378	0.0187211	0.0185899	0.0215213	0.0203455	0.0216707	0.0204955	0.0238047	0.0108791	0.016788	0.0240028	0.0798376
son	0.0509126	0.0485654	0.0445955	0.0568999	0.0639919	0.0666653	0.0928317	0.0707383	0.0541764	0.0400197	0.023757	0.0239371	0.0170797	0.0163084	0.0211615	0.0160509	0.0273285	0.0312874	0.0197662	0.00295567	0.00467683	0.00861749	0.00815862	0.0085558	0.0100522	0.0117942	0.0127321	0.0254415	0.0173464	0.0241156	0.0201289	0.0593514
père	0.0678961	0.0673745	0.0849122	0.0966939	0.0796732	0.0406578	0.0389643	0.0335902	0.0308394	0.0283067	0.0223122	0.0219732	0.0162592	0.0133345	0.00846021	0.00694617	0.00521121	0.0122748	0.0063873	0.0038467	0.00269392	0.00318929	0.00301138	0.00415162	0.00339008	0.00546114	0.0146145	0.0316178	0.00854573	0.0120283	0.0335553	0.191827
est	0.125558	0.13684	0.0916161	0.0869347	0.0600143	0.0463788	0.0719701	0.0356954	0.045886	0.023857	0.0290516	0.0118968	0.0203863	0.0124201	0.0117139	0.00770451	0.00593116	0.0103545	0.00726999	0.00392549	0.00212979	0.00184577	0.00140702	0.002756	0.00271922	0.00534371	0.0117634	0.0196559	0.00396403	0.00546927	0.0162729	0.0812681
extraordinaire	0.0983812	0.0674657	0.0766194	0.0552359	0.0367634	0.0222622	0.0190139	0.0176093	0.0177751	0.0177515	0.0183019	0.0166185	0.013224	0.0114336	0.00731769	0.00695351	0.00574779	0.0206461	0.0101297	0.00798626	0.00850548	0.00706143	0.00844995	0.0106301	0.00981551	0.0127533	0.0235019	0.0448973	0.0248704	0.0238342	0.059036	0.219408
</S>	0.105528	0.0658645	0.0635197	0.0553467	0.0481767	0.0455111	0.0503615	0.0383615	0.0476308	0.0243204	0.0386333	0.013584	0.0124201	0.00831819	0.00509884	0.00334953	0.00354436	0.0108735	0.00603171	0.00350888	0.00702884	0.00623997	0.00687402	0.00941367	0.00678491	0.0134984	0.0261873	0.0462963	0.0231154	0.0241091	0.0549279	0.125541
