 	o	m	ω	ω	s	i	n	g	á	s	é	k	y	é	n	á	á	y	é	m	b	í	n	ώ	o	t	o	</S>
celui	0.00963534	0.0142297	0.0110998	0.00924197	0.00984909	0.0154687	0.0304813	0.0394296	0.0442853	0.0471348	0.0619722	0.0859578	0.0589216	0.0573232	0.0557951	0.0521066	0.0510017	0.0507889	0.0507881	0.0461842	0.0369141	0.0278711	0.0274001	0.0197431	0.0206921	0.0207835	0.0195026	0.0253984
qui	0.140602	0.0936102	0.0332155	0.0208328	0.0106849	0.00777044	0.00664489	0.0169065	0.0281338	0.0365882	0.0837238	0.116377	0.117649	0.0625971	0.0507791	0.0384097	0.0165194	0.0164166	0.0161022	0.00973561	0.00797834	0.0130499	0.00994277	0.00756666	0.00852005	0.00839023	0.00990014	0.0113534
cause	0.0818768	0.085882	0.051605	0.0398304	0.0398495	0.0941462	0.0401857	0.0213138	0.0201865	0.0116853	0.0168482	0.01579	0.011851	0.0186904	0.0275804	0.0436562	0.0471967	0.0537268	0.0421471	0.0242173	0.0150234	0.0175938	0.0157058	0.020306	0.0274041	0.0363971	0.0506479	0.0286565
avec	0.0256078	0.0241312	0.0281728	0.0356238	0.0867412	0.201125	0.0650374	0.0185364	0.0126443	0.0162297	0.0199492	0.0244482	0.0139012	0.0121491	0.0133285	0.0239205	0.0196186	0.0211026	0.0260835	0.0313257	0.0211474	0.0166306	0.0165376	0.0192538	0.0262023	0.037689	0.0726946	0.070168
moi	0.0222139	0.0264446	0.0319356	0.0428271	0.0527435	0.0465549	0.0371281	0.0417296	0.037338	0.0170785	0.0268891	0.0135999	0.0107077	0.0168491	0.0236971	0.027885	0.0329327	0.0380927	0.0432241	0.0462248	0.0303322	0.0228714	0.034856	0.0387573	0.0503292	0.0528429	0.0409628	0.0929523
dans	0.0318947	0.027449	0.0299859	0.0276434	0.0323713	0.0404879	0.0486017	0.0362301	0.0254502	0.0235383	0.0227324	0.0192846	0.0142318	0.0196994	0.0263187	0.0300048	0.0315663	0.0331373	0.0399295	0.0481477	0.0361845	0.0322452	0.0408134	0.0380526	0.0446659	0.0514431	0.065955	0.0819355
ce	0.0332786	0.0274551	0.0348355	0.0305455	0.0334623	0.0371118	0.0377803	0.0182835	0.0166522	0.0198995	0.0219524	0.0212573	0.0107765	0.0142615	0.0237594	0.0351294	0.0359751	0.0446171	0.0510419	0.0537899	0.0318604	0.0244735	0.0336612	0.0270124	0.0406663	0.0526127	0.0671412	0.120707
quartier	0.0572352	0.0412971	0.0445783	0.0330329	0.0107078	0.00568273	0.00384322	0.00499423	0.00902776	0.010632	0.0108189	0.0115796	0.0144042	0.0175016	0.0252434	0.037434	0.0443222	0.0572237	0.0491717	0.0482716	0.0398566	0.0376501	0.034566	0.0350057	0.0517837	0.0649425	0.0729196	0.126274
c'	0.0956498	0.058463	0.0449766	0.0452826	0.0624962	0.039716	0.0159025	0.0088449	0.00819987	0.011274	0.011138	0.0187939	0.0266281	0.0187351	0.0228272	0.0323009	0.0384028	0.0545939	0.0459365	0.0259251	0.0172284	0.0137314	0.0238761	0.0239629	0.035217	0.0439321	0.0577167	0.0982484
est	0.0663274	0.0432376	0.0437962	0.0316717	0.0394676	0.0322033	0.0425358	0.038435	0.0387894	0.0348133	0.0281925	0.0273793	0.0266893	0.0250862	0.0250641	0.0370087	0.0214826	0.0249747	0.0227396	0.0238462	0.025056	0.0229464	0.0204946	0.0221959	0.0331486	0.0440567	0.0517282	0.106633
toi	0.145051	0.0768584	0.0528634	0.0243372	0.0162404	0.00840451	0.00638094	0.00577457	0.00854242	0.0113124	0.00862069	0.00828502	0.00681889	0.00799765	0.00924012	0.0125515	0.0179005	0.0258741	0.0346253	0.0392736	0.0452168	0.0422125	0.0328175	0.0425778	0.0413898	0.0519299	0.0608853	0.156018
seul	0.10974	0.0693688	0.0535186	0.0326855	0.0234714	0.0108327	0.00895008	0.00557018	0.00889499	0.0105743	0.00905317	0.00729224	0.00531952	0.00675153	0.0100825	0.0172903	0.0249442	0.0302317	0.0343448	0.0372057	0.0373103	0.037138	0.0428438	0.0474654	0.0479666	0.0565575	0.0638157	0.15078
</S>	0.156554	0.0968074	0.0594646	0.0361874	0.0270093	0.0127231	0.0144263	0.00733077	0.00890307	0.0165182	0.0116228	0.0125989	0.00782036	0.00930141	0.0139043	0.0259762	0.0276241	0.0365455	0.0411129	0.0320484	0.0267802	0.028348	0.0388547	0.0379497	0.034884	0.0399746	0.0469488	0.0917807
