 	e	y	e	a	y	e	n	á	y	é	é	t	i	í	w	a	n	g	á	é	d	z	e	o	k	á	n	d	á	</S>
l'	0.0116992	0.0148919	0.0123294	0.0124546	0.0116126	0.0160841	0.0254808	0.0395996	0.0459842	0.0466555	0.0433504	0.0575756	0.0609715	0.0514491	0.0223223	0.0291544	0.0328892	0.0209017	0.0334828	0.0366523	0.0210449	0.0370934	0.0295669	0.038273	0.0353823	0.0448118	0.0534675	0.0386025	0.0435633	0.0326533
autre	0.06437	0.213296	0.209838	0.133955	0.0622603	0.0547971	0.0121072	0.00796835	0.00887586	0.00596205	0.0067937	0.0146154	0.0531153	0.033091	0.0207079	0.0120518	0.010818	0.0105779	0.00725819	0.00913038	0.00496997	0.0112094	0.00680639	0.00437818	0.00612649	0.00601726	0.00561711	0.00097153	0.00101993	0.00129479
chose	0.0848631	0.0556767	0.0570765	0.0358853	0.0501575	0.0853253	0.0530873	0.0375794	0.0263475	0.0240867	0.0377183	0.0443613	0.0631106	0.0312206	0.0189736	0.0151463	0.0440238	0.0130242	0.0184285	0.0278647	0.0196197	0.0427083	0.017066	0.0167829	0.0151987	0.00697626	0.0178855	0.00852141	0.0119814	0.0193026
qu'	0.0217015	0.0220964	0.0239394	0.0247059	0.0440255	0.0497548	0.0388128	0.0439674	0.0391192	0.0318452	0.0409057	0.0402707	0.0327719	0.0394304	0.0254079	0.0560027	0.056895	0.0625193	0.0392441	0.058686	0.0332118	0.0242048	0.0148069	0.0247256	0.0171852	0.0111971	0.0141988	0.0149661	0.0204965	0.0329055
il	0.0258098	0.0228569	0.0387284	0.0332071	0.0574214	0.0675023	0.0664295	0.0550207	0.0453135	0.0392002	0.0354335	0.0335483	0.0326009	0.0256158	0.0142045	0.0250893	0.0339276	0.0371177	0.0473624	0.0265961	0.0292794	0.0200459	0.0163381	0.0176266	0.0159081	0.0119671	0.0220809	0.02366	0.0287033	0.0514048
m'	0.0284524	0.0214271	0.0317966	0.034149	0.0434662	0.038102	0.0239186	0.0206343	0.019023	0.0247327	0.0406183	0.053931	0.0489156	0.0538146	0.0241949	0.022517	0.0214752	0.0272189	0.0228726	0.0258827	0.0250965	0.0247689	0.0228164	0.0247292	0.0201807	0.0174477	0.0369805	0.0327659	0.0484109	0.119661
a	0.117021	0.0791963	0.0692646	0.0493796	0.0276285	0.0168522	0.0160865	0.021971	0.026301	0.0324548	0.0422224	0.0674773	0.0334769	0.0158992	0.0186783	0.0084278	0.00344073	0.00544659	0.00212457	0.00247697	0.00207589	0.00842658	0.00830914	0.0057371	0.0173576	0.0130028	0.0396707	0.0471301	0.052669	0.149795
promise	0.130727	0.0663331	0.0489435	0.028056	0.0149207	0.0118671	0.0181155	0.0354923	0.0415478	0.0510581	0.0572531	0.0895355	0.0475519	0.0391603	0.0177347	0.00615458	0.00309302	0.00436947	0.00141528	0.00289975	0.00148001	0.010338	0.0155106	0.00772559	0.0163936	0.0156796	0.0396593	0.04976	0.0444754	0.0827491
c'	0.202335	0.0703171	0.0582788	0.056473	0.0462368	0.0298327	0.0266375	0.0344414	0.0408998	0.0378677	0.0358114	0.0419052	0.0284521	0.0357181	0.0220753	0.0216743	0.0082393	0.00817132	0.00552987	0.00706136	0.00305647	0.01692	0.0188107	0.00858208	0.0127874	0.0127768	0.0180119	0.0238553	0.0190553	0.0481862
était	0.049355	0.0276959	0.0299003	0.0230705	0.0374919	0.0424984	0.0417121	0.04528	0.0366552	0.0292085	0.0279778	0.0269206	0.0142884	0.019754	0.016777	0.0387281	0.0384665	0.0515941	0.0675465	0.0304849	0.0348938	0.0248943	0.0254701	0.0254206	0.0265852	0.0277025	0.0291551	0.0304337	0.0322752	0.0477638
une	0.334037	0.0885181	0.0664024	0.0386268	0.0347589	0.0298306	0.025701	0.0247427	0.0228353	0.0192775	0.016088	0.0217184	0.0133396	0.0168151	0.0134074	0.0162486	0.0131011	0.0108563	0.0173668	0.00885041	0.011067	0.0139057	0.0168609	0.0139276	0.0174479	0.0166676	0.0161642	0.0187507	0.0146931	0.0279931
chemise	0.148953	0.0497126	0.0214634	0.0142407	0.0110856	0.00994558	0.00786133	0.0105919	0.0134949	0.0123896	0.0109348	0.0191849	0.0149522	0.0222784	0.0176306	0.0159525	0.0128194	0.0129412	0.00790777	0.0109062	0.00620003	0.0174761	0.0184908	0.0123823	0.0348307	0.0556056	0.0646403	0.0921796	0.0877197	0.165229
</S>	0.123326	0.0608439	0.0553602	0.0456194	0.0383194	0.0286672	0.0103434	0.00898716	0.00818518	0.00615842	0.00572151	0.00692427	0.00977928	0.0144055	0.0125838	0.0151754	0.0117217	0.0229677	0.0103047	0.0239723	0.0132832	0.0380273	0.0457298	0.0210465	0.0492591	0.0371486	0.0580459	0.0532285	0.0527841	0.112081
