 	a	w	ú	r	a	m	á	m	b	ó	s	i	m	á	á	l	á	m	b	í	w	a	á	m	i	s	á	á	o	k	ó	r	i	r	a	</S>
la	0.0412109	0.0372793	0.0448104	0.0140305	0.0175821	0.0109307	0.0145013	0.0187934	0.0338597	0.0396283	0.0553956	0.0545767	0.0444195	0.0233769	0.0188453	0.0199083	0.0130248	0.0167499	0.0207291	0.0184566	0.021583	0.0170335	0.0289674	0.0226666	0.0225111	0.0350721	0.021623	0.015886	0.0237532	0.0319448	0.0371286	0.0440934	0.0364735	0.0317594	0.0290823	0.0223131
graisse	0.0865115	0.0998128	0.0519576	0.085371	0.0610969	0.0979926	0.0606253	0.0391192	0.0381241	0.0358607	0.017391	0.0273585	0.0232777	0.0245658	0.0216563	0.0139721	0.0145547	0.0110055	0.0249554	0.0207545	0.00957011	0.00801411	0.00763737	0.00570529	0.0203088	0.0140848	0.0121401	0.00541238	0.0082188	0.0125552	0.00621983	0.0101302	0.0095501	0.00876571	0.00297103	0.00275294
de	0.0405249	0.0242804	0.0253376	0.0265096	0.0306424	0.0345453	0.0444802	0.0428822	0.0499217	0.044226	0.0220774	0.0246876	0.0162	0.0133072	0.0149164	0.0116367	0.00812318	0.00729792	0.00863569	0.00498279	0.016401	0.00783486	0.0182824	0.0324545	0.0476246	0.0598706	0.0201252	0.0224407	0.0483527	0.0436522	0.0571699	0.0589291	0.0246411	0.0237076	0.0165372	0.00676104
cabri	0.0105868	0.0193828	0.022484	0.0226327	0.0204321	0.0281037	0.0305865	0.0273061	0.0310956	0.0319488	0.0174126	0.0140561	0.0101782	0.0122984	0.0057711	0.00707368	0.00422957	0.00516111	0.00681259	0.00587578	0.0138477	0.0143459	0.0264938	0.0473407	0.0450943	0.0384267	0.0344815	0.0444064	0.0650505	0.0541201	0.0581398	0.0711858	0.0318571	0.0344374	0.0383669	0.0489772
qu'	0.0294537	0.0278602	0.0291952	0.0262169	0.0236575	0.0206906	0.0193367	0.0169622	0.0166	0.0171445	0.0150023	0.0195638	0.0185179	0.0275021	0.0195112	0.0226783	0.0135968	0.0181628	0.0202056	0.0236495	0.0163963	0.0438573	0.0456156	0.0490325	0.0316923	0.0265598	0.0385849	0.0348013	0.0305723	0.0258676	0.0380041	0.0390362	0.0327989	0.0237539	0.0222006	0.0757189
elle	0.0373768	0.0283277	0.027761	0.0173166	0.0205427	0.0233497	0.0185134	0.0224563	0.0301582	0.039971	0.0490572	0.0540611	0.0448769	0.0880945	0.0321091	0.0569682	0.0181561	0.0293738	0.0281298	0.0291655	0.0182555	0.021932	0.0153492	0.0201241	0.0129408	0.00824544	0.0104785	0.0157601	0.0103819	0.013048	0.0116981	0.0144705	0.0149219	0.020843	0.0224612	0.0733241
a	0.0191311	0.0171928	0.0173938	0.0177059	0.0243651	0.0298593	0.0303078	0.0261471	0.0206447	0.0237456	0.0260306	0.0402368	0.0564996	0.0688939	0.0371384	0.0424675	0.022671	0.0374623	0.0273807	0.0274446	0.0444279	0.0228641	0.0208791	0.0206195	0.0213698	0.0103186	0.0126633	0.0206462	0.0176348	0.017833	0.0170215	0.0182729	0.017666	0.0236663	0.0218977	0.0795009
préparée	0.0295267	0.0199073	0.0204358	0.0203886	0.0254179	0.0290356	0.0214735	0.0158119	0.0159547	0.0226509	0.0175263	0.0401597	0.0517086	0.0669999	0.0486434	0.0460995	0.0438708	0.0377302	0.0498754	0.0574959	0.0576004	0.0203174	0.0246785	0.0101355	0.0178849	0.00689011	0.0131545	0.013664	0.0111034	0.012147	0.00897439	0.0101201	0.0131794	0.0182822	0.0174216	0.0637341
s'	0.0295759	0.0168629	0.0151452	0.0129349	0.0264354	0.0370772	0.0222823	0.0314821	0.0283174	0.0348748	0.051239	0.0501461	0.0755427	0.0485854	0.020926	0.0299126	0.0205051	0.0574497	0.0423692	0.0436845	0.0469355	0.0398086	0.0215609	0.0233643	0.01724	0.00504031	0.0101783	0.0101322	0.00803938	0.00866194	0.00920706	0.00863539	0.0083164	0.00817736	0.0167882	0.0625657
est	0.0940397	0.0425825	0.0409536	0.0260495	0.0279049	0.019786	0.0122935	0.00974257	0.010389	0.0138414	0.0100842	0.0145417	0.0158311	0.026021	0.0127817	0.0185489	0.0121932	0.0152319	0.0311467	0.0553743	0.0190817	0.0449975	0.0260813	0.0180788	0.0331877	0.0175637	0.0337395	0.0211289	0.026064	0.0239879	0.0216015	0.0219914	0.0258583	0.0282987	0.0302592	0.0987423
coagulée	0.0463555	0.0194639	0.023183	0.0206797	0.0158679	0.0136302	0.0144755	0.0142092	0.0135196	0.0136266	0.0123416	0.0175488	0.0234608	0.0323448	0.0178852	0.0290223	0.0216457	0.0269118	0.0409337	0.0538486	0.0380741	0.0403273	0.045432	0.0297233	0.0400546	0.0286021	0.0284946	0.0318204	0.0273709	0.0295605	0.0231846	0.020224	0.0201429	0.0316313	0.0256539	0.0687492
</S>	0.0441676	0.0385863	0.0383088	0.0398779	0.0375207	0.0415755	0.042153	0.0273818	0.0183446	0.0191203	0.0203485	0.0218119	0.0231524	0.0271291	0.0094909	0.0158352	0.00939415	0.018803	0.0143505	0.0237571	0.0211313	0.0213002	0.0280202	0.0190258	0.0276151	0.0152948	0.0318237	0.0190226	0.0214897	0.0226455	0.0247939	0.0249264	0.0262534	0.0291089	0.0283454	0.108094
