 	w	a	a	s	á	a	a	y	ú	r	u	o	y	é	b	h	a	k	a	á	a	s	á	a	ω	b	v	έ	ω	t	á	a	k	a	á	</S>
il	0.0957425	0.174709	0.0996	0.0908583	0.0773639	0.0574884	0.0501373	0.0239685	0.0189888	0.0111854	0.0122656	0.0223883	0.0166106	0.018149	0.011937	0.0169933	0.0116145	0.0200506	0.016041	0.0202414	0.0155598	0.00955078	0.0082963	0.00814094	0.00776018	0.00689101	0.00622272	0.00549904	0.00660515	0.00632063	0.0105492	0.00885821	0.0112232	0.00615409	0.0101079	0.00592731
n'	0.0173404	0.0199778	0.0354781	0.0463387	0.019988	0.0237959	0.0374155	0.0478665	0.0743231	0.0737005	0.0966044	0.0712166	0.0788696	0.06014	0.028333	0.0278963	0.0139317	0.0151865	0.00960282	0.0136281	0.0129495	0.00916263	0.012151	0.01015	0.0126246	0.0119659	0.00676022	0.00762283	0.00272984	0.0104924	0.0168678	0.0146101	0.0137657	0.0119729	0.020892	0.0136489
a	0.00973227	0.0159751	0.0111014	0.0127698	0.0107507	0.019085	0.0212774	0.0281521	0.0404168	0.0173313	0.0250266	0.0221787	0.0262931	0.0315967	0.0380227	0.0359274	0.0356726	0.0335273	0.0476649	0.0526461	0.0745477	0.0425888	0.0288875	0.0388321	0.0297396	0.026802	0.0175224	0.0182339	0.0182535	0.0262933	0.0309428	0.0314638	0.0235255	0.0242201	0.0176286	0.0153703
pas	0.0300458	0.0231487	0.0148906	0.01578	0.0226491	0.0212005	0.0151061	0.0127835	0.0111746	0.00834725	0.0121348	0.0119308	0.0203807	0.0138467	0.0117371	0.0113853	0.0205754	0.0254596	0.0242784	0.0497375	0.0439602	0.0581701	0.0565858	0.0554866	0.0432768	0.061196	0.0671228	0.0377346	0.0383882	0.0478347	0.0185828	0.0186248	0.0174927	0.0157006	0.0177277	0.0255234
encore	0.0150794	0.0167575	0.00755991	0.0147992	0.00757239	0.0102922	0.01087	0.0131759	0.0209878	0.0313384	0.0326486	0.0223529	0.0167072	0.0112279	0.00894294	0.00915562	0.00720613	0.00821637	0.00803248	0.0112277	0.0189288	0.0219123	0.0244081	0.0289031	0.0267304	0.0253827	0.035628	0.0345814	0.0716195	0.0595521	0.053871	0.0787738	0.0752046	0.0616557	0.0514148	0.0472833
de	0.00954754	0.0150636	0.00936441	0.0135706	0.0118636	0.0141566	0.0206244	0.0174145	0.0210396	0.0157069	0.0250756	0.0197039	0.0178995	0.024976	0.0257354	0.0220191	0.0228244	0.0296865	0.0332274	0.0363213	0.0366362	0.057642	0.0436908	0.026976	0.0278791	0.0249817	0.0262855	0.0330594	0.0484374	0.0259891	0.0337581	0.0324733	0.0279742	0.0390881	0.0321962	0.077112
femme	0.00934839	0.0152228	0.0082079	0.00933079	0.00828894	0.00999626	0.0162542	0.0153907	0.0176139	0.0164584	0.0236962	0.0229223	0.0189637	0.019819	0.0203755	0.0179806	0.0199938	0.0219821	0.0262752	0.0297689	0.0357296	0.0631521	0.0400025	0.0272456	0.0284687	0.0359799	0.0360917	0.0422002	0.0352016	0.0325261	0.0442581	0.0282015	0.0279802	0.0445722	0.0377653	0.092735
il	0.017058	0.0236911	0.0125934	0.0122298	0.0120295	0.0124554	0.0118355	0.00771723	0.00923029	0.00770201	0.0142602	0.0141014	0.0168809	0.0263976	0.0277123	0.0241862	0.0290107	0.0314292	0.0384701	0.0425134	0.0433734	0.0800376	0.0696509	0.0391434	0.0355845	0.0279563	0.0233178	0.0257932	0.0209626	0.0194058	0.0244003	0.0176759	0.0245458	0.0370389	0.0410751	0.0785346
ne	0.0206026	0.0215317	0.0247845	0.023051	0.0197166	0.023513	0.021466	0.0161891	0.0141117	0.0124405	0.014698	0.0106462	0.0131548	0.013679	0.0167653	0.0169193	0.0148862	0.021786	0.0221403	0.0209296	0.0225159	0.0294043	0.0264662	0.0307864	0.0264497	0.0225959	0.0244106	0.0252192	0.0324804	0.0263431	0.0254621	0.0351175	0.0576591	0.0631949	0.0838829	0.105
connaît	0.0364318	0.0383982	0.0378154	0.0467012	0.0370509	0.0397548	0.0181529	0.0210317	0.015656	0.0156355	0.0215651	0.0150367	0.0160561	0.0163057	0.0145724	0.013394	0.00848909	0.00858691	0.00762622	0.0093875	0.00851805	0.00908116	0.0119038	0.0168268	0.0181889	0.019163	0.0275307	0.0188122	0.0410282	0.0292774	0.0182066	0.0206861	0.0455941	0.0386499	0.0887729	0.150112
