 	w	á	á	n	ω	o	b	ó	n	d	í	í	y	a	a	m	o	r	é	w	a	l	á	a	y	a	a	</S>
si	0.165563	0.150217	0.138037	0.101911	0.0273458	0.0185039	0.0116233	0.0133116	0.00929934	0.0124676	0.0086941	0.0118684	0.0139163	0.0138169	0.0141507	0.0191656	0.0218722	0.0192723	0.0213523	0.0227792	0.0261661	0.0241292	0.0246108	0.0279135	0.025521	0.0212235	0.0215156	0.0137539
tu	0.107172	0.0549628	0.0408064	0.063434	0.11842	0.109269	0.0576593	0.0212062	0.0266035	0.0157544	0.0149756	0.0259074	0.0413524	0.0483579	0.0422849	0.0260664	0.0235237	0.0176759	0.0219145	0.0256255	0.0104614	0.0169709	0.00986429	0.00855188	0.0086477	0.00922862	0.0128089	0.0204945
attends	0.0256111	0.0168692	0.0111095	0.0206628	0.0227224	0.0400301	0.040737	0.0263474	0.0280879	0.0393659	0.0497713	0.0377985	0.0386907	0.0726801	0.101118	0.06941	0.0489379	0.0396451	0.0268125	0.0378841	0.0286279	0.023165	0.024558	0.0265843	0.0272265	0.0259684	0.025447	0.0241313
encore	0.0543025	0.0572314	0.038318	0.039695	0.0432106	0.0827974	0.0375525	0.0307091	0.0359088	0.0230275	0.0276528	0.0475434	0.0347251	0.0582124	0.080666	0.0539029	0.0311233	0.0342031	0.022122	0.0183666	0.0147114	0.016871	0.0149181	0.0128933	0.0144571	0.0168191	0.0168048	0.0412549
un	0.0128821	0.0136417	0.00927713	0.0246703	0.03005	0.0355207	0.0433779	0.0181556	0.0778507	0.0371548	0.0409627	0.0479192	0.0222258	0.0107808	0.0143706	0.0181609	0.0264169	0.0254968	0.0369199	0.0426061	0.0345033	0.0465704	0.0546686	0.061889	0.0493321	0.0689244	0.0551111	0.0405603
peu	0.0167767	0.0110715	0.00865152	0.0088596	0.0117221	0.0112761	0.0178292	0.022542	0.020887	0.0278152	0.0168421	0.0114444	0.0142781	0.0112427	0.0141936	0.0180319	0.0272911	0.0255267	0.0253652	0.0254155	0.0290257	0.0316193	0.0330376	0.0361713	0.0472751	0.0552278	0.129402	0.291179
il	0.0205611	0.0187306	0.0169349	0.0192762	0.0264676	0.0412116	0.0480113	0.0518883	0.0293042	0.0467264	0.0373838	0.0314472	0.0293204	0.0148341	0.0139782	0.0237654	0.0343837	0.0281311	0.0303498	0.0288353	0.0267731	0.0271324	0.0289738	0.0316768	0.0307334	0.0386972	0.0643266	0.160146
va	0.0316156	0.0583719	0.0432177	0.0310023	0.0294977	0.0323108	0.0357071	0.0356884	0.0225012	0.0351988	0.0227197	0.0215906	0.03605	0.0198919	0.0172187	0.017872	0.0273594	0.0242761	0.0216043	0.0210899	0.0313962	0.0289254	0.0357937	0.0357401	0.0361248	0.0328321	0.0707734	0.14363
venir	0.0488886	0.0627644	0.0454943	0.0335605	0.0293435	0.0372333	0.0339307	0.0283659	0.0141943	0.029217	0.0148155	0.0246724	0.0344932	0.0320137	0.0246418	0.0207591	0.0233732	0.0285859	0.0242444	0.0253604	0.0301584	0.0228483	0.0309942	0.0382221	0.0489619	0.0423588	0.0606071	0.109897
</S>	0.0356889	0.0263242	0.0258655	0.0285807	0.0345806	0.0333441	0.0305924	0.0216508	0.0127275	0.0198494	0.0172792	0.0303545	0.0367546	0.0402924	0.0403749	0.0380864	0.0402163	0.0408535	0.0392387	0.0412769	0.0375577	0.0362696	0.0422612	0.044764	0.049948	0.0475184	0.0464857	0.0612638
