 	t	á	á	y	a	m	w	á	n	a	w	ó	a	d	í	o	k	o	n	d	z	i	y	a	p	o	o	</S>
le	0.02121	0.07896	0.106492	0.0296124	0.0243221	0.014265	0.0200684	0.0167421	0.014433	0.0184596	0.0221099	0.0213926	0.0163691	0.0549415	0.0439468	0.0491457	0.0675369	0.0966981	0.0563907	0.0359385	0.0342711	0.0293073	0.02823	0.03167	0.0232783	0.0166612	0.0161847	0.0113623
père	0.108268	0.152273	0.0737057	0.156067	0.143049	0.11888	0.0583149	0.0572109	0.0535201	0.0415752	0.0108079	0.00293418	0.00175322	0.00144712	0.000978367	0.000244771	0.000958848	0.000647951	0.00121985	0.00223023	0.00302603	0.00286103	0.00231628	0.00322291	0.00127263	0.000588589	0.000416004	0.000210426
de	0.024148	0.0501673	0.019236	0.050454	0.0297289	0.0433271	0.108223	0.0680083	0.0525731	0.0256218	0.0303434	0.0606761	0.0661559	0.0895782	0.0564758	0.0163214	0.0166843	0.0190801	0.0195514	0.0174453	0.0228602	0.0231715	0.0265187	0.0236487	0.014244	0.0122277	0.00861607	0.00491399
cet	0.0241704	0.0210081	0.0155703	0.0281181	0.0153571	0.0106476	0.0126894	0.012683	0.0138014	0.0340457	0.0363347	0.0640525	0.0469702	0.018437	0.0245205	0.0519814	0.0631887	0.0620463	0.104886	0.14542	0.045346	0.0340588	0.0163302	0.00884881	0.0110021	0.0154891	0.0279177	0.0350788
enfant-ci	0.0342996	0.020066	0.0285465	0.0383253	0.0310699	0.0202658	0.0275191	0.02399	0.021155	0.024734	0.0217636	0.0344791	0.0469235	0.0337371	0.0344923	0.0462236	0.0419032	0.0374817	0.0669129	0.0824568	0.0628458	0.041759	0.0471418	0.0388738	0.0278357	0.025178	0.0198201	0.0202006
est	0.0550562	0.02446	0.0199893	0.0143665	0.0130705	0.0102964	0.0180941	0.0174464	0.0144969	0.0218827	0.0282046	0.0317161	0.031899	0.0354204	0.0335138	0.047159	0.0486888	0.0524874	0.0549675	0.064825	0.0372795	0.0434916	0.0369338	0.0301703	0.0385632	0.0491921	0.0569114	0.0694175
le	0.0314974	0.0168632	0.0199605	0.0111876	0.0131618	0.0120838	0.0117561	0.0122439	0.0144577	0.0160526	0.0188943	0.0636008	0.0486668	0.0286951	0.0447544	0.0403949	0.0467359	0.0578406	0.0581899	0.050288	0.0410367	0.0473697	0.0365776	0.0385823	0.0426215	0.0501767	0.0518733	0.074437
chef	0.0260827	0.0255549	0.0417514	0.0181952	0.0209275	0.0206199	0.0186138	0.0155522	0.0161336	0.0192705	0.0253813	0.0167966	0.00734637	0.00467456	0.00718062	0.0188015	0.0333908	0.0126423	0.015135	0.011542	0.0408366	0.0306361	0.0297416	0.0355147	0.0986429	0.115018	0.132974	0.141044
du	0.0535183	0.0389119	0.0142731	0.0272783	0.0159186	0.015461	0.0116036	0.0109326	0.0106028	0.0167561	0.0166313	0.0346453	0.0304781	0.0232793	0.0261537	0.0453439	0.103692	0.0686604	0.0592786	0.0374253	0.0371025	0.0401604	0.0378435	0.0353385	0.0392072	0.0397131	0.046621	0.0631694
village	0.0322568	0.0265305	0.0153888	0.022488	0.0119272	0.0130725	0.0080917	0.00680414	0.00710009	0.00702057	0.00747973	0.0148696	0.0114425	0.00281497	0.00587432	0.0203377	0.0353454	0.0228491	0.0301513	0.0347952	0.0547161	0.0500453	0.0575718	0.0683976	0.0930536	0.110762	0.111023	0.11779
</S>	0.0776267	0.0815267	0.0427716	0.0710969	0.0420489	0.0328144	0.029813	0.0235244	0.0149889	0.0156937	0.00736354	0.0259237	0.0232858	0.0166431	0.0148402	0.0183734	0.0446488	0.0320865	0.0272078	0.0249652	0.0343942	0.0433147	0.0291475	0.0185616	0.0269478	0.043722	0.0581443	0.0785246
