 	m	ú	b	h	u	á	l	a	a	l	i	o	l	ω	n	g	ώ	m	ú	ó	m	b	á	á	n	g	e	</S>
le	0.0149883	0.0138653	0.010507	0.0108846	0.00959802	0.0146919	0.0511771	0.0919418	0.0988176	0.0565757	0.103134	0.0480558	0.0295212	0.0276188	0.0230428	0.0256016	0.0277019	0.0242982	0.0185914	0.021628	0.017783	0.0326296	0.0392885	0.0381208	0.0347594	0.0400474	0.0340364	0.0410934
voleur	0.129637	0.220701	0.109508	0.0649894	0.0366332	0.0187952	0.0232151	0.0670138	0.095874	0.0656515	0.0609555	0.0389367	0.0181851	0.00580067	0.0044243	0.00276497	0.00227694	0.00242026	0.00278834	0.00408805	0.00288023	0.00327162	0.00369254	0.00508498	0.0043063	0.00367437	0.00150247	0.000928262
a	0.0409013	0.0430099	0.0479459	0.0480916	0.077218	0.162314	0.148939	0.123036	0.0782848	0.0507618	0.0274575	0.0382495	0.0309611	0.0205152	0.0154937	0.00683806	0.00340169	0.00278011	0.00480672	0.00447493	0.0040896	0.00475724	0.00356963	0.00297477	0.00220253	0.00169115	0.00271859	0.00251703
traversé	0.0486201	0.0365603	0.0290624	0.0365194	0.0396351	0.0376867	0.0416436	0.0152348	0.014444	0.0147181	0.0144063	0.0182591	0.0232887	0.0321891	0.0317455	0.0452511	0.0622881	0.0579109	0.0394757	0.0322437	0.0393309	0.0218673	0.0161137	0.0252449	0.0387471	0.0590519	0.0602598	0.0682016
cette	0.0707448	0.0415351	0.0462801	0.0429326	0.0402321	0.0317628	0.0368974	0.0229435	0.0273793	0.0189723	0.0129394	0.0112219	0.00933333	0.0111321	0.0146545	0.0147263	0.0290896	0.0287392	0.0219131	0.0245583	0.0259856	0.0301024	0.0279435	0.0427007	0.0462291	0.0701921	0.0670324	0.131827
plaine	0.0654635	0.0482665	0.0221253	0.0147846	0.0148315	0.0151146	0.0258674	0.0189232	0.0125915	0.0107886	0.00855214	0.0122658	0.0244475	0.0189466	0.0210435	0.0337913	0.041384	0.0464018	0.0494605	0.0499823	0.0497307	0.0462252	0.0440888	0.0517742	0.056358	0.0610278	0.0547283	0.081035
à	0.100546	0.0541124	0.0274682	0.0231287	0.0218889	0.0167067	0.0187538	0.0091746	0.00772505	0.00563782	0.00357031	0.0044	0.00582123	0.00946436	0.0120313	0.0299811	0.0449407	0.0377058	0.0543784	0.0600151	0.059244	0.0487455	0.0458775	0.0501725	0.0572237	0.059677	0.0516927	0.0799165
vive	0.0536571	0.0333847	0.029952	0.0225227	0.0198412	0.011449	0.00933359	0.0116431	0.00571403	0.00341427	0.00234437	0.00298786	0.00448705	0.00847431	0.0106985	0.0376806	0.0443475	0.0344691	0.0422022	0.042606	0.0606412	0.0397118	0.0592398	0.0569953	0.075563	0.0861565	0.0828315	0.107652
allure	0.0604798	0.0255577	0.0249727	0.0153974	0.0118593	0.00448463	0.00397687	0.00303773	0.00302225	0.00223626	0.00194846	0.00271217	0.00372066	0.00801491	0.00742989	0.0471169	0.0510673	0.0301576	0.0702623	0.0583726	0.0646076	0.0427937	0.0486179	0.0408278	0.0802233	0.0857002	0.0929265	0.108475
</S>	0.0754332	0.0397386	0.0464023	0.0297721	0.0240923	0.0152969	0.018516	0.0118271	0.00977852	0.00660073	0.00563181	0.0073755	0.00952114	0.0141702	0.0108875	0.0267901	0.0320439	0.0205058	0.0407201	0.0280033	0.0470533	0.026106	0.0230612	0.01907	0.0444337	0.0716303	0.0914668	0.204072
