 	w	a	l	á	a	m	a	á	a	b	v	e	m	ó	m	w	a	n	d	z	á	m	á	n	d	é	e	</S>
il	0.0755153	0.143142	0.168229	0.359093	0.144149	0.0367343	0.00716366	0.00418305	0.00369263	0.00270548	0.00245028	0.00215499	0.00168556	0.00240741	0.0043498	0.00567584	0.00590712	0.00525044	0.00372536	0.0029637	0.00325291	0.00214168	0.00223308	0.00221497	0.00238856	0.00225642	0.00272472	0.00161032
lance	0.00984427	0.00309741	0.00317163	0.0056816	0.00878864	0.0116898	0.0247847	0.0934389	0.131208	0.108224	0.11141	0.0839547	0.0508917	0.0344687	0.0469822	0.0457995	0.0421652	0.0290191	0.0318131	0.0161331	0.0241535	0.00657453	0.0176479	0.0139288	0.0115052	0.0143318	0.00978007	0.00951223
les	0.0158979	0.0165092	0.0210695	0.0267087	0.0233101	0.0371315	0.0436785	0.0460397	0.0422205	0.0307823	0.0217805	0.0191487	0.0227955	0.0294875	0.05309	0.0886597	0.0269628	0.0351221	0.0256654	0.0356359	0.0424053	0.0470671	0.0368074	0.0367889	0.0350024	0.03618	0.0380427	0.0660102
cailloux	0.0100051	0.0148104	0.0104294	0.021018	0.0235952	0.00982209	0.0109932	0.0137662	0.020957	0.0145286	0.014247	0.0294079	0.0413139	0.0346154	0.041372	0.058328	0.118203	0.0912698	0.100632	0.0829154	0.0373714	0.034352	0.0310409	0.0431983	0.0174772	0.0168861	0.0319739	0.0254699
sur	0.0055925	0.00488717	0.00511993	0.00500446	0.00516217	0.00657575	0.0105822	0.0133886	0.0212674	0.0327365	0.0271579	0.0453703	0.0690448	0.103355	0.0812662	0.0536225	0.0303056	0.0237438	0.0163803	0.0283443	0.0229464	0.040263	0.0254548	0.0337297	0.0250778	0.0367373	0.0721849	0.154699
le	0.0146613	0.020395	0.0158024	0.008455	0.0102903	0.0160141	0.0143544	0.0143268	0.0186085	0.032374	0.0236402	0.0268707	0.0272838	0.0398958	0.036181	0.0706326	0.059928	0.0673782	0.0498086	0.0629642	0.0486164	0.0367216	0.030129	0.0372472	0.0434524	0.0324209	0.0549477	0.0865996
toit	0.0123893	0.0139828	0.0108579	0.0101744	0.015613	0.0163686	0.0222006	0.0201371	0.0248622	0.0309231	0.0197185	0.0265646	0.0300261	0.0453587	0.0381872	0.0365045	0.0400769	0.0415348	0.0280804	0.0478653	0.0329447	0.0311749	0.0209521	0.0584979	0.0463472	0.0502001	0.0792602	0.149197
de	0.0103887	0.0138759	0.010727	0.0118046	0.0236906	0.0161382	0.0220069	0.0200609	0.0260443	0.0335678	0.0205926	0.0142439	0.0163606	0.0129967	0.0101922	0.0118306	0.00952658	0.0159102	0.0141387	0.0333661	0.0434758	0.0688875	0.0668561	0.0824177	0.0721308	0.0751828	0.0851074	0.158479
la	0.0117489	0.0141664	0.0128044	0.0143307	0.0190129	0.0149494	0.0183789	0.0168725	0.0176068	0.0120138	0.00621925	0.00650327	0.00662122	0.00808661	0.0104761	0.0134359	0.0142388	0.0316791	0.0256576	0.0611086	0.0662836	0.0802799	0.0777748	0.0876578	0.0865036	0.0868814	0.0879308	0.0907765
maison	0.00830858	0.00836641	0.00855024	0.00969604	0.00669026	0.00542928	0.00673546	0.00790771	0.00945153	0.00635313	0.00464082	0.00574646	0.00584409	0.00797385	0.0100585	0.015761	0.0199194	0.0349553	0.0253421	0.0545947	0.058993	0.0568004	0.0719825	0.0934951	0.130399	0.0888278	0.103454	0.133724
</S>	0.00860823	0.00729201	0.0077334	0.00811652	0.0105072	0.0108953	0.0154972	0.0164987	0.0169894	0.0126778	0.0120627	0.0143739	0.0188268	0.0192692	0.0141479	0.0207285	0.0212216	0.0243753	0.021127	0.04064	0.0355302	0.0496627	0.0660802	0.13579	0.0766444	0.0878483	0.0885103	0.138346
