 	n	g	o	o	b	o	l	á	a	s	u	m	b	u	s	á	m	w	á	n	a	</S>
la	0.10892	0.0707361	0.0127473	0.00487447	0.00394237	0.00609086	0.00561135	0.00993861	0.0201716	0.0412705	0.0425706	0.0528079	0.0889745	0.10549	0.0697518	0.0581308	0.0604464	0.0808797	0.0418735	0.0466546	0.0424379	0.0256794
mère	0.192104	0.312534	0.244468	0.0769605	0.0790336	0.0286041	0.0297749	0.011338	0.00969231	0.00262717	0.00197946	0.00086885	0.000491456	0.000846791	0.000792795	0.000727797	0.000612159	0.000899341	0.00196642	0.00193045	0.00141871	0.000329257
a	0.00946865	0.0176086	0.0577056	0.0570794	0.0760089	0.0789586	0.0887934	0.060891	0.0428854	0.0329502	0.0483668	0.0746566	0.0737304	0.0748987	0.0575671	0.0355138	0.032641	0.0247622	0.0149562	0.0160654	0.0144902	0.010002
fait	0.0126159	0.0225915	0.024238	0.0344896	0.0402547	0.0314712	0.0237844	0.0399019	0.044189	0.0409548	0.0367861	0.0341018	0.0322725	0.0377672	0.0509837	0.0715944	0.0585943	0.0616669	0.0548067	0.0821413	0.0841537	0.0806401
faire	0.0296362	0.0267539	0.0503507	0.048406	0.046117	0.0390223	0.0334569	0.021089	0.0265185	0.0288883	0.0418327	0.0456466	0.0343979	0.0387959	0.0621485	0.0482211	0.065002	0.0484955	0.0454414	0.06523	0.068283	0.0862667
caca	0.0242453	0.0226518	0.0395916	0.0372151	0.0340997	0.0288912	0.0268574	0.0163882	0.0201396	0.0252211	0.0350058	0.035706	0.032045	0.0379076	0.0594405	0.0530993	0.0778776	0.0975218	0.0676726	0.0754478	0.0716208	0.0813542
à	0.0251227	0.0213884	0.0101074	0.00879607	0.0130603	0.0197427	0.0328324	0.0328599	0.0376424	0.0488865	0.053931	0.0592114	0.0521894	0.0581795	0.0861171	0.0718382	0.075319	0.00745194	0.0562474	0.0516232	0.0705272	0.106926
l'	0.0177029	0.0192938	0.0189453	0.0207082	0.0255503	0.0245948	0.0231924	0.0149863	0.0150914	0.0183635	0.0243652	0.0287048	0.0300836	0.0361094	0.0540077	0.0557122	0.0712713	0.095511	0.0922134	0.100289	0.104908	0.108396
enfant	0.0259018	0.021996	0.021152	0.0211432	0.0209163	0.0195463	0.00923507	0.0155183	0.0113725	0.0157884	0.0234019	0.0299879	0.0429052	0.0603971	0.0773799	0.068743	0.0878008	0.0276401	0.0788509	0.0898337	0.106688	0.123802
</S>	0.0908788	0.0506411	0.0304327	0.0321516	0.0325667	0.0250631	0.0187902	0.0207846	0.0196141	0.0166424	0.0166407	0.0210901	0.0214067	0.0275229	0.0449494	0.0734847	0.0698908	0.0409968	0.0954805	0.0867426	0.0818354	0.0823939
