 	k	y	é	m	a	a	d	í	í	o	b	é	n	y	á	i	b	v	u	a	l	a	m	w	á	n	a	y	á	o	b	i	a	k	a	á	</S>
le	0.0175619	0.0116511	0.0132354	0.0147864	0.0194331	0.0307119	0.0258136	0.023825	0.0228041	0.0404238	0.0353495	0.034917	0.0662843	0.0985366	0.0492277	0.0927699	0.0829734	0.0339532	0.0308549	0.0154867	0.0174935	0.00748277	0.0147085	0.013113	0.00812393	0.00674452	0.00699625	0.00880044	0.012709	0.0248773	0.0167362	0.0160754	0.0261505	0.0114434	0.019132	0.0139089	0.0149048
singe	0.124832	0.0764339	0.117106	0.204392	0.0626743	0.0604213	0.0219457	0.026671	0.0395936	0.00934432	0.0114159	0.00681818	0.00757105	0.00696549	0.0173143	0.0160406	0.0123173	0.00873668	0.0113657	0.00986147	0.0188325	0.0210456	0.0066806	0.0157181	0.00762953	0.00789999	0.00826414	0.0113296	0.00654111	0.00743844	0.00722465	0.0036925	0.0162642	0.00342861	0.00349586	0.00122314	0.00146983
n'	0.0395615	0.0239877	0.0301987	0.0416668	0.0204707	0.0144997	0.0348516	0.0882666	0.0622081	0.0420411	0.0296791	0.0226223	0.0218039	0.0243475	0.0152507	0.00944823	0.00659786	0.00479491	0.00833461	0.00928801	0.0102174	0.0113704	0.0123201	0.011449	0.0244836	0.0205829	0.0257045	0.0340061	0.0432538	0.0656287	0.0380005	0.0455432	0.0312854	0.0266986	0.0287423	0.0155353	0.0052585
adopte	0.0151161	0.0304985	0.0257346	0.0584224	0.0427385	0.0711838	0.0507006	0.0875212	0.0815116	0.0549361	0.040455	0.0612051	0.0704536	0.0970174	0.0612415	0.0170665	0.00571387	0.00620116	0.00673318	0.00608599	0.00464114	0.00491279	0.00303137	0.00357373	0.00463962	0.00378911	0.0108593	0.00732494	0.0145415	0.0142609	0.00775248	0.00781992	0.00732439	0.00293449	0.00462241	0.0035118	0.00392336
pas	0.0437179	0.0453886	0.0343854	0.0392779	0.0339537	0.0298623	0.0303738	0.0298504	0.0217362	0.0450338	0.0435502	0.0461861	0.0445727	0.0477061	0.0401708	0.0239206	0.0221267	0.0253924	0.0144602	0.0164217	0.0236883	0.0181236	0.018844	0.0184147	0.0200827	0.0222155	0.0182609	0.0134946	0.0175751	0.00976273	0.00799454	0.00961146	0.0105139	0.0118656	0.0125982	0.0165911	0.0722753
l'	0.0369117	0.0365655	0.0295343	0.0337706	0.0319882	0.033285	0.0319727	0.0304615	0.0277716	0.0350944	0.0380474	0.0356592	0.0462506	0.0513043	0.0436431	0.0363075	0.0395839	0.0457395	0.0280636	0.0159079	0.0181387	0.0116101	0.0182887	0.0108839	0.0114215	0.0126983	0.0114763	0.013268	0.0139976	0.0166618	0.0140772	0.0134114	0.0209416	0.015423	0.0216474	0.0273966	0.0407957
enfant	0.0738029	0.0485646	0.0447478	0.0504939	0.0475062	0.0543797	0.0502462	0.0343203	0.0251167	0.0290222	0.0333193	0.0310062	0.022585	0.0239362	0.0154165	0.0157407	0.0120695	0.0138429	0.011366	0.0152763	0.0221814	0.0128216	0.0158104	0.0121016	0.0129643	0.0160333	0.00893671	0.0134003	0.00928232	0.0153753	0.0101887	0.0162045	0.0163718	0.00902612	0.0296173	0.0415018	0.0854234
de	0.0999263	0.0371478	0.0329756	0.0390754	0.049348	0.0489397	0.0391945	0.0203961	0.0167447	0.0178672	0.0161082	0.0161907	0.0226238	0.0222619	0.0234449	0.0158819	0.0126922	0.0167255	0.0156204	0.0256117	0.0242249	0.0188225	0.0142061	0.0101839	0.0112814	0.0196035	0.0174091	0.0170702	0.0189563	0.0238547	0.0178366	0.0185401	0.0273484	0.0189415	0.0264443	0.0357584	0.0907418
son	0.0449153	0.0376956	0.0372053	0.0444405	0.044072	0.0368927	0.023127	0.01546	0.0161476	0.0228101	0.0262384	0.0238859	0.0248987	0.0209173	0.0201656	0.017318	0.0139747	0.0146498	0.0146946	0.0210489	0.0233183	0.0195454	0.0199641	0.0164069	0.0168611	0.0188136	0.0158826	0.0137921	0.0122127	0.0193041	0.00998663	0.0267163	0.0308302	0.0197287	0.0370051	0.0506032	0.128471
frère	0.0623715	0.0445733	0.051563	0.0476067	0.0238549	0.0191629	0.0172784	0.0149136	0.0151682	0.0205707	0.0240568	0.0190498	0.0118863	0.00763826	0.00683242	0.00800588	0.0177004	0.022973	0.0272163	0.0374325	0.040142	0.0439005	0.0442616	0.0281508	0.0335551	0.0372568	0.0127185	0.0122485	0.0105845	0.0107838	0.00715112	0.00765674	0.00856155	0.00566212	0.0203872	0.0251915	0.151933
</S>	0.0883759	0.0740597	0.0622468	0.0464096	0.0347478	0.0245332	0.0280875	0.0160385	0.00997433	0.00774454	0.0080912	0.00630084	0.00504918	0.005723	0.0114098	0.00956839	0.00758138	0.00972499	0.0147057	0.0215033	0.0254309	0.0208868	0.0181753	0.0129225	0.015164	0.0193096	0.0206024	0.0257315	0.0468442	0.026348	0.0208609	0.027998	0.0184377	0.02372	0.0265792	0.0482496	0.110864
