 	o	l	y	e	e	m	i	n	ω	e	b	é	e	y	é	é	d	z	a	n	g	a	k	o	s	s	o	</S>
celui	0.0202903	0.0243826	0.0213902	0.0179348	0.0164587	0.0219122	0.0327891	0.0260972	0.0313642	0.0372956	0.0512568	0.0428071	0.0612481	0.0447756	0.036905	0.0417122	0.049392	0.0304494	0.0364213	0.0305689	0.0449579	0.045517	0.0530095	0.0343684	0.0270922	0.0365829	0.0349976	0.0480234
qui	0.063423	0.0543843	0.0368191	0.0322817	0.0117595	0.0193212	0.0176093	0.0203636	0.0516589	0.0687451	0.0739663	0.0955102	0.117591	0.082682	0.0670735	0.0321576	0.0204769	0.016114	0.0199619	0.0187624	0.0171881	0.0118486	0.0132317	0.013835	0.00548093	0.00584197	0.0043964	0.00751517
a	0.0403915	0.0353379	0.0232943	0.0176349	0.023604	0.0242107	0.0320665	0.0163875	0.0215286	0.0323307	0.0387297	0.040098	0.0581024	0.0928601	0.0721847	0.0522868	0.045019	0.0399182	0.0311633	0.0355362	0.0506279	0.0305183	0.0353592	0.022	0.022325	0.0250266	0.0227237	0.0187342
exigé	0.0297808	0.0356777	0.0367381	0.0638245	0.066094	0.098798	0.0770163	0.0526559	0.0499895	0.0431201	0.0413618	0.0406071	0.0297718	0.0401712	0.0407206	0.0347484	0.0256546	0.014541	0.0182247	0.0152224	0.0144499	0.0116605	0.0118608	0.0130639	0.0122785	0.0154338	0.0197849	0.0467494
ta	0.0208929	0.0280845	0.033918	0.0626508	0.0618854	0.0779776	0.052879	0.0282235	0.0223694	0.0265659	0.0323972	0.0360244	0.0320121	0.0362682	0.0367722	0.039908	0.0187552	0.0285495	0.0238371	0.0250266	0.015296	0.0207587	0.0163153	0.0286079	0.0270271	0.0483028	0.0545076	0.0641874
présence	0.0594431	0.0645702	0.0457198	0.0511933	0.0509843	0.0682345	0.0652579	0.0664486	0.0429501	0.0458462	0.0343398	0.0388822	0.0405471	0.0385447	0.0320767	0.0234355	0.00882393	0.00563502	0.00693405	0.00634143	0.00541474	0.00831841	0.00725297	0.0100138	0.0142341	0.0306811	0.0452502	0.0826261
en	0.0587863	0.041959	0.0431935	0.0310602	0.032071	0.0380406	0.0397446	0.0383785	0.0373489	0.0362491	0.035995	0.0321685	0.0304211	0.0351264	0.0344161	0.0363897	0.0209472	0.0254832	0.0217171	0.0228944	0.0203603	0.0181854	0.0181959	0.029115	0.0350288	0.0405101	0.0549672	0.0912468
ce	0.0589961	0.0431684	0.0384807	0.0223212	0.0210553	0.0225966	0.0230485	0.0272593	0.032486	0.0319297	0.0309841	0.0244039	0.0175583	0.0240502	0.024062	0.0193132	0.01062	0.0118066	0.011228	0.0151678	0.0185332	0.0272425	0.0252453	0.0474935	0.0540569	0.0549883	0.0916503	0.170254
lieu	0.0406495	0.0344212	0.0347624	0.0364032	0.0313121	0.0257452	0.0176093	0.0128556	0.00896769	0.00829367	0.00834642	0.00730351	0.00825973	0.0134469	0.0164874	0.0214692	0.0182965	0.0226554	0.0210979	0.0234552	0.0248814	0.0373139	0.0472177	0.0808364	0.0923024	0.0947259	0.106185	0.104699
c'	0.0782417	0.0455954	0.0280712	0.0235277	0.0228819	0.0320707	0.051762	0.0527173	0.0548625	0.054814	0.0582632	0.0320706	0.0160544	0.0166511	0.0128186	0.0147832	0.0129326	0.0138232	0.019213	0.0223962	0.0147295	0.0205642	0.0190409	0.0217134	0.0283207	0.0430236	0.056911	0.132146
est	0.0280238	0.0235011	0.026213	0.0374249	0.027435	0.0428734	0.0378953	0.0496534	0.0853669	0.0865048	0.0839175	0.0564768	0.0261732	0.0211817	0.0180704	0.0205398	0.0273969	0.0285297	0.0295604	0.0305241	0.0203461	0.0252247	0.0211587	0.0244771	0.0267994	0.0246522	0.024449	0.0456309
ngakosso	0.249706	0.093078	0.0562785	0.0308653	0.0173571	0.00930683	0.00418784	0.00916183	0.0160418	0.0155811	0.0146742	0.0175957	0.0214018	0.0145803	0.0183501	0.020651	0.0124319	0.0138497	0.0202293	0.0340572	0.0338612	0.0446849	0.045391	0.047013	0.0417249	0.0241912	0.0204268	0.0533214
</S>	0.0580511	0.037052	0.032403	0.019392	0.0193924	0.0130297	0.010898	0.0116706	0.0120857	0.0103852	0.0101808	0.0103634	0.011047	0.0133828	0.0174924	0.0214597	0.0180755	0.0184651	0.0203801	0.0316129	0.0327816	0.0562752	0.0520343	0.071303	0.0782147	0.0872996	0.100238	0.125035
