 	i	k	á	n	g	a	l	á	á	d	z	á	n	ω	o	s	á	a	o	k	í	ε	έ	n	ω	l	a	d	z	a	l	ó	o	t	ú	á	b	a	r	e	</S>
quand	0.0163024	0.0418809	0.0275782	0.010612	0.0224638	0.0217855	0.0257228	0.0280819	0.0357407	0.0272026	0.0702111	0.041891	0.0273378	0.0510852	0.0522971	0.0525356	0.0336417	0.0289778	0.0271072	0.0290794	0.0148423	0.0141995	0.0102551	0.00755509	0.0104888	0.00871871	0.0094078	0.011777	0.0173711	0.0115202	0.0180667	0.0193382	0.0235973	0.023064	0.0256569	0.0189056	0.017513	0.0168708	0.0157698	0.0157342	0.0178131
tu	0.155207	0.0599671	0.0624639	0.0877881	0.0295202	0.034533	0.0227695	0.0413586	0.0461537	0.0337242	0.0411507	0.03859	0.0283314	0.0363047	0.0278108	0.0333314	0.0226266	0.0199287	0.0188774	0.0137899	0.00707527	0.0103458	0.00936737	0.00921776	0.0129836	0.00798445	0.00663209	0.00679537	0.00526233	0.00468121	0.0048866	0.00376541	0.0065089	0.00510108	0.00610848	0.00964119	0.00824056	0.00571591	0.00515142	0.00381518	0.0064926
étais	0.0630323	0.0650705	0.0611038	0.0444433	0.0493035	0.0517976	0.0447495	0.0460032	0.0474716	0.0496196	0.0363716	0.0341038	0.020461	0.0338339	0.02676	0.0427176	0.0344599	0.028875	0.0237772	0.0201144	0.0126012	0.0110012	0.00821122	0.00681277	0.00865041	0.00815311	0.00557472	0.00602916	0.00605732	0.00607634	0.0056126	0.00572065	0.00680939	0.0067413	0.00830628	0.00944753	0.0088745	0.00840719	0.00999456	0.0124337	0.0144155
encore	0.0850187	0.0637388	0.0632972	0.0804934	0.0303909	0.0634951	0.0245585	0.0228154	0.0105985	0.0221427	0.0129355	0.0132577	0.0174995	0.0282122	0.0299046	0.0296504	0.0427152	0.0352844	0.027156	0.0311025	0.0255107	0.0206026	0.021748	0.00978219	0.0139151	0.0123558	0.0100885	0.0148277	0.0123218	0.00838356	0.0136466	0.0102171	0.00867435	0.00645089	0.00363895	0.00755212	0.00810292	0.00723653	0.00809041	0.0144401	0.0281468
petit	0.00591539	0.00617049	0.00662798	0.00765643	0.0142155	0.0310345	0.0351454	0.0172821	0.0219154	0.0335061	0.0166401	0.0127875	0.0198109	0.0217946	0.0194843	0.0140635	0.0289528	0.0442952	0.0463591	0.0941029	0.0742986	0.0593261	0.0382801	0.0356476	0.028878	0.0298305	0.0253771	0.0184078	0.0215384	0.0133078	0.0169182	0.0162832	0.0137519	0.00891147	0.00786226	0.00777252	0.00718348	0.0092984	0.0101351	0.0231032	0.0361278
tu	0.026484	0.0369018	0.0393894	0.0552327	0.0603402	0.0578076	0.0443991	0.0381734	0.0404259	0.038572	0.0251272	0.0227973	0.0233216	0.0197386	0.0205227	0.0232718	0.0258165	0.0283622	0.0257378	0.0367199	0.0207151	0.0177488	0.01777	0.012514	0.00925385	0.0106685	0.0136036	0.0071421	0.00811642	0.00598373	0.00811401	0.00811128	0.00822138	0.00911247	0.00856074	0.012969	0.0121932	0.0136057	0.0166344	0.0249787	0.0648411
insultais	0.0283546	0.0178028	0.0156884	0.0176325	0.0161057	0.0159266	0.0157013	0.0147135	0.0132605	0.0172885	0.0118115	0.0101179	0.0163492	0.0160507	0.0170052	0.0162424	0.0223418	0.0260538	0.0274861	0.0396532	0.0428036	0.0408066	0.0354734	0.0445632	0.0333212	0.0352079	0.0548782	0.0270243	0.0349437	0.0210961	0.0274515	0.0232467	0.0189567	0.0186998	0.0162697	0.017759	0.0179837	0.0187026	0.0227886	0.0318533	0.0405838
les	0.0157021	0.0168237	0.0151616	0.0202301	0.0288664	0.0338277	0.0292692	0.0164595	0.0165584	0.0178635	0.0136567	0.0155243	0.0341737	0.0255798	0.0293851	0.0207784	0.0214165	0.025221	0.0227982	0.0322604	0.0287863	0.0279693	0.0272057	0.0189794	0.0170627	0.018716	0.0173411	0.0161396	0.0171396	0.0184025	0.0232176	0.0238564	0.0234824	0.0248592	0.0238897	0.023745	0.0240263	0.026588	0.0298366	0.0384551	0.0787454
gens	0.0507401	0.0281068	0.0247635	0.0257936	0.0235418	0.0186689	0.0131188	0.00954849	0.00740617	0.0110358	0.00693831	0.00688282	0.0149871	0.00923237	0.00986402	0.00886171	0.0153085	0.0176721	0.0206865	0.030223	0.029807	0.0259632	0.0226712	0.0345274	0.0292507	0.0313404	0.0247156	0.0280694	0.0251514	0.0178715	0.0327457	0.027847	0.0308291	0.0274664	0.0198835	0.0330087	0.0328429	0.0411117	0.0318154	0.0316991	0.0680022
</S>	0.0285271	0.0188267	0.0177153	0.0175177	0.0149665	0.011033	0.00623687	0.00469266	0.00349827	0.00440727	0.00354254	0.00317088	0.00397692	0.00323072	0.0031785	0.00533699	0.00561597	0.00581236	0.00638691	0.0206599	0.0263201	0.0402511	0.0410435	0.0316795	0.0292525	0.031884	0.0292284	0.0249044	0.030038	0.0288356	0.033855	0.0349669	0.0297905	0.037428	0.0368679	0.0413135	0.0463505	0.0532648	0.057717	0.0610484	0.0656274
