 	n	ω	k	á	a	l	ó	o	p	έ	n	g	á	k	ó	r	o	y	á	p	á	r	a	</S>
il	0.0238256	0.0296148	0.0545777	0.120294	0.0664883	0.0263733	0.0314555	0.0243763	0.0259	0.0260131	0.0295797	0.0662271	0.0593033	0.0650139	0.0693092	0.0430549	0.0340669	0.0373466	0.029697	0.0360228	0.0314056	0.0314135	0.0223166	0.0163243
faut	0.0891631	0.0748483	0.0763929	0.0984215	0.131763	0.0825508	0.0534458	0.0712598	0.0777305	0.0642793	0.0176441	0.0201363	0.00453234	0.00263979	0.00589623	0.0148908	0.0144116	0.0175761	0.0167008	0.021053	0.0159661	0.00969351	0.00900022	0.0100041
que	0.0689231	0.0987288	0.065178	0.0362171	0.0284102	0.0318083	0.021332	0.0214466	0.0313835	0.0311719	0.0407627	0.0320097	0.0243095	0.0248388	0.0569546	0.0686626	0.0828187	0.0584705	0.0500263	0.0310529	0.0270944	0.0278219	0.0262054	0.0143726
tu	0.0347987	0.0535894	0.0610079	0.0705248	0.103152	0.110974	0.076866	0.0558575	0.0535346	0.0275166	0.0073973	0.00531811	0.00371169	0.00397502	0.00882049	0.019535	0.0308723	0.0205841	0.0302641	0.0280403	0.0326509	0.0385922	0.0417991	0.0806184
me	0.0239768	0.0311152	0.0319191	0.026848	0.0325115	0.0349809	0.0294519	0.0258909	0.0315911	0.0308584	0.0239548	0.0157052	0.0156278	0.0113794	0.0183802	0.0411719	0.0594418	0.0673714	0.0824363	0.0664894	0.0636289	0.0707374	0.0769695	0.0875622
donnes	0.0479795	0.0402801	0.0320589	0.0285817	0.032095	0.0275887	0.0193513	0.0176459	0.0182133	0.0156943	0.011665	0.0126739	0.0101197	0.0111998	0.0326978	0.0690145	0.0766388	0.0779128	0.0714405	0.0734085	0.0531824	0.0643142	0.0577929	0.0984505
cinq	0.0901082	0.0383369	0.0279852	0.0267299	0.0299687	0.0258512	0.0188214	0.0203326	0.0205193	0.0163036	0.00826989	0.00738386	0.00550891	0.00891799	0.0262406	0.0498085	0.0928847	0.0715655	0.0847808	0.0585009	0.0509572	0.0561172	0.058214	0.105893
mille	0.0704694	0.0392413	0.0264167	0.0246208	0.0296675	0.0297747	0.0165138	0.0172106	0.0233893	0.0232507	0.0171455	0.0161649	0.0155849	0.0201277	0.0255748	0.0356096	0.0413772	0.0335454	0.04339	0.0504617	0.0535825	0.0731131	0.0738041	0.199964
francs	0.0675224	0.0365386	0.0300836	0.0277986	0.0284146	0.0252582	0.0261245	0.0242803	0.0273329	0.0220057	0.0120724	0.0128671	0.0135257	0.0168365	0.0246438	0.0365503	0.0524796	0.040989	0.0330769	0.0616626	0.0627546	0.0817299	0.082905	0.152547
</S>	0.0516375	0.0378573	0.031644	0.0295038	0.0272625	0.0207055	0.0133902	0.0120012	0.0124014	0.0120129	0.00942141	0.00662152	0.00599364	0.00750798	0.0110877	0.0230602	0.0463139	0.0479228	0.0615388	0.0912386	0.100489	0.107538	0.109131	0.123719
