 	w	a	á	f	u	r	u	o	k	o	n	d	z	i	b	ώ	s	i	a	m	b	ó	s	i	á	t	á	á	n	i	</S>
il	0.0763009	0.10575	0.17048	0.286838	0.16042	0.109644	0.0360267	0.0212695	0.00447681	0.00219872	0.000890659	0.00170954	0.00138248	0.00106788	0.00120444	0.00109689	0.00138744	0.00117817	0.00144694	0.00147766	0.00150951	0.00154342	0.00168596	0.00164068	0.00157701	0.00144258	0.00121872	0.00107738	0.000759397	0.000672725	0.000626504
a	0.0197584	0.00962985	0.016189	0.0274698	0.0234565	0.0216577	0.0256439	0.0541287	0.0884895	0.0989802	0.0805448	0.0514028	0.0512837	0.0430611	0.0485249	0.0283756	0.0513196	0.024851	0.0172289	0.0191456	0.0160054	0.0221946	0.0227279	0.0250479	0.0274469	0.0261271	0.0207892	0.00773909	0.00820891	0.00876953	0.013802
payé	0.0193272	0.0201404	0.0217584	0.0185195	0.0251015	0.030852	0.0294602	0.0559676	0.0552761	0.0369179	0.0378633	0.0507628	0.054546	0.0854082	0.0905645	0.0535512	0.0429292	0.0487747	0.0352182	0.0196078	0.0165307	0.0186114	0.0155049	0.0137061	0.0128993	0.01223	0.0136862	0.0115432	0.0161679	0.0207381	0.0158354
cinq	0.0100538	0.0145044	0.0152236	0.0125357	0.0137901	0.0174984	0.0182292	0.0237245	0.0289022	0.0218802	0.0245057	0.0224556	0.030439	0.0491697	0.0414475	0.039116	0.0349178	0.039624	0.0381966	0.0527289	0.0338524	0.0287335	0.0336658	0.0308646	0.0260427	0.0260296	0.0336085	0.035467	0.0582499	0.0416355	0.102907
cabris	0.00853846	0.0121899	0.0149341	0.00896433	0.0072896	0.00941888	0.008931	0.00823693	0.016971	0.0238986	0.0238283	0.0239619	0.0403748	0.0383244	0.048997	0.0478365	0.0456698	0.0411701	0.0427207	0.0574855	0.0669136	0.0691326	0.0620338	0.0498387	0.0443457	0.0274681	0.0217476	0.0213008	0.0292365	0.0265771	0.0516637
au	0.00943726	0.00813059	0.0127463	0.0103203	0.00614521	0.00826911	0.00803884	0.00961394	0.0138938	0.0145578	0.0150052	0.0191195	0.0198058	0.0292531	0.0392122	0.0340018	0.0462374	0.0509034	0.0506044	0.0549547	0.0530865	0.0563003	0.0541001	0.0514269	0.0472915	0.0445631	0.0443256	0.0470753	0.0464474	0.0435771	0.0515555
chef	0.0131144	0.0170154	0.0166701	0.0147129	0.0147216	0.0188858	0.0171299	0.015849	0.0162275	0.0160602	0.0163603	0.0188335	0.0216383	0.0226286	0.0325952	0.0298997	0.0537759	0.0630316	0.0772548	0.0705875	0.079259	0.0858546	0.0518188	0.0393624	0.0354329	0.0259969	0.016636	0.0246092	0.0174668	0.0270458	0.029525
pour	0.0332174	0.0354403	0.0355952	0.0354988	0.033954	0.033268	0.0277529	0.0337495	0.0274575	0.0258493	0.0217235	0.0210536	0.0134052	0.0175767	0.0197844	0.0182257	0.0144864	0.0156048	0.0170257	0.0155125	0.0127039	0.0297655	0.0343054	0.0455998	0.040562	0.0441908	0.0486857	0.053992	0.0382216	0.0717465	0.0840454
l'	0.0120545	0.0119445	0.0118495	0.0123415	0.0124266	0.0121909	0.0124784	0.0128061	0.016578	0.024058	0.0227596	0.0177893	0.0204988	0.0216604	0.0207803	0.0279851	0.0299029	0.0323131	0.03653	0.0352754	0.0274125	0.0527286	0.0428653	0.0545843	0.0475297	0.0524236	0.0620675	0.0605306	0.0778856	0.0543313	0.0634182
adultère	0.0208404	0.0194508	0.0217042	0.0168038	0.013118	0.0144292	0.0168499	0.0237675	0.0136941	0.00885908	0.0134405	0.022091	0.00793324	0.0115843	0.0178829	0.0124508	0.012401	0.0154201	0.0207133	0.0226252	0.0220431	0.0350259	0.0300877	0.0386415	0.0375432	0.0557053	0.0596664	0.0741798	0.0567738	0.127472	0.136802
</S>	0.0238184	0.0239509	0.0239506	0.023981	0.0240566	0.0239523	0.0240819	0.0242194	0.0238256	0.0236585	0.0241953	0.0245815	0.0212904	0.0222725	0.0243327	0.0242693	0.0198675	0.0204314	0.018518	0.0142797	0.0213852	0.0334017	0.0282468	0.0344929	0.0366963	0.0442024	0.0526112	0.0563031	0.0588772	0.087647	0.0926027
