 	k	á	a	l	é	e	d	z	á	l	a	a	y	έ	l	i	m	ó	y	έ	έ	s	ε	r	έ	b	á	a	l	a	b	í	n	í	</S>
il	0.0290647	0.134571	0.145138	0.110552	0.0421004	0.0395045	0.0171554	0.0161269	0.0485293	0.0219214	0.0269289	0.031393	0.0170188	0.0142653	0.00864474	0.00821106	0.00818758	0.0114992	0.0105607	0.00878464	0.0106143	0.0108625	0.0114994	0.0119715	0.0128147	0.0121064	0.0163481	0.0172919	0.0177275	0.0190795	0.0208986	0.0181096	0.0223558	0.0268938	0.0212676
faut	0.0614584	0.0380955	0.0388087	0.0448256	0.0630044	0.0672772	0.0502459	0.0659872	0.0596506	0.0918375	0.0682146	0.0711142	0.0450402	0.0347762	0.0291236	0.0208211	0.0251492	0.0161195	0.014795	0.00960454	0.00790767	0.00478439	0.00406095	0.00573043	0.00406611	0.00551398	0.005333	0.00497124	0.00879805	0.00861798	0.00535936	0.00300126	0.00346626	0.00473117	0.00770884
faire	0.049565	0.0226164	0.0180699	0.0137441	0.0394998	0.0346737	0.0348824	0.042231	0.046624	0.045338	0.048907	0.0535336	0.0576998	0.0528177	0.0594971	0.0438368	0.0520542	0.0360917	0.0312637	0.0189671	0.0166428	0.0080048	0.0160291	0.0169706	0.0155191	0.0157813	0.0131445	0.0141497	0.014846	0.0114208	0.00881093	0.00969649	0.00990494	0.013108	0.0140579
attention	0.0739961	0.0411078	0.042028	0.0402178	0.0431828	0.0402337	0.023448	0.0283574	0.0224952	0.0344222	0.0372662	0.0181337	0.0211527	0.024902	0.0325119	0.0301727	0.0394659	0.053619	0.0604106	0.0398667	0.032788	0.0223209	0.0188408	0.0165522	0.0129194	0.0140535	0.0146404	0.0118295	0.0124622	0.0120036	0.0134817	0.0143349	0.0155657	0.0177741	0.0234428
à	0.0323801	0.0172417	0.0150087	0.0149478	0.0145035	0.0138632	0.0139678	0.0148535	0.0149584	0.0153992	0.0161561	0.0160606	0.0188423	0.0241529	0.0507732	0.04932	0.0644392	0.0460926	0.0513469	0.0389396	0.0239143	0.0224412	0.0177755	0.0141596	0.0139788	0.0191198	0.0149713	0.0188871	0.0200801	0.0319533	0.0400103	0.0514863	0.0425777	0.0557109	0.0696863
ce	0.0249217	0.0119987	0.0104164	0.0119002	0.0191318	0.0239211	0.0258141	0.0280508	0.0269643	0.0240995	0.0247576	0.0268991	0.0239702	0.0202064	0.0244659	0.0207314	0.0250701	0.0390749	0.0369442	0.0402498	0.0367858	0.0341791	0.0289466	0.0223267	0.0215381	0.0197921	0.023047	0.0260349	0.0253334	0.0337277	0.0383271	0.0397438	0.0514243	0.0411514	0.0680541
que	0.0261608	0.00995145	0.0086414	0.0108738	0.0160498	0.0227791	0.0274277	0.0264514	0.0233232	0.0138409	0.01123	0.0110071	0.0124367	0.011681	0.0145324	0.0157667	0.0172744	0.0217844	0.0278084	0.0454796	0.0477783	0.052311	0.0404198	0.0293706	0.0346506	0.0295717	0.0345602	0.0312041	0.0340763	0.0359526	0.0451198	0.0486853	0.0477894	0.0500014	0.0640091
l'	0.0139324	0.00890185	0.00803105	0.0102619	0.0138837	0.0205175	0.0300415	0.0322257	0.0285876	0.0313987	0.0336813	0.0347166	0.0452061	0.0405204	0.0507174	0.049717	0.0424444	0.0341903	0.0246994	0.0268279	0.021372	0.0211509	0.0154109	0.0115256	0.011538	0.0121832	0.00898105	0.0107294	0.0127427	0.0187026	0.0345911	0.0453125	0.0443052	0.0548184	0.0961336
on	0.09716	0.0478742	0.0435611	0.0399753	0.060266	0.0761048	0.0643192	0.0383593	0.0230695	0.0263018	0.0174369	0.0215127	0.0134025	0.00980192	0.00891849	0.00491903	0.00925743	0.0131849	0.00976927	0.0145601	0.0189826	0.0185363	0.0161609	0.01205	0.0127725	0.00909729	0.0169601	0.0163634	0.0234669	0.0225298	0.0307403	0.0280524	0.0317792	0.039407	0.0633468
vous	0.0445825	0.0249305	0.0217834	0.0153344	0.0137559	0.0136633	0.0118575	0.0087843	0.00589384	0.00473532	0.00457024	0.0045694	0.00496064	0.00651832	0.00684208	0.00714488	0.0117133	0.0128527	0.0218772	0.0301386	0.0380411	0.0416448	0.0352037	0.0284494	0.0423938	0.0324657	0.0570448	0.0574787	0.0544081	0.0476969	0.0520523	0.0591188	0.0512701	0.0681617	0.0580618
dit	0.0878028	0.0341342	0.0310674	0.0283661	0.0179891	0.0178758	0.0185083	0.0146572	0.00747937	0.0073252	0.00650779	0.0061957	0.00798726	0.00953804	0.00569485	0.00722104	0.0130094	0.012133	0.0243951	0.030184	0.0395253	0.0294381	0.0194971	0.0110456	0.0197944	0.0133342	0.0278532	0.0246782	0.0304466	0.030194	0.0502529	0.0624379	0.0728136	0.0785843	0.102033
</S>	0.0575121	0.025364	0.0255705	0.0228153	0.0241593	0.0253108	0.0198455	0.0298588	0.0168559	0.0183818	0.0179027	0.016816	0.019974	0.0177292	0.0150153	0.0138531	0.023926	0.0215419	0.0401619	0.0306115	0.0296658	0.0333598	0.0214527	0.0160556	0.0203586	0.0202204	0.0295706	0.021057	0.0285149	0.0285745	0.0376752	0.0442069	0.0517905	0.0514943	0.0827976
