 	a	y	ú	r	u	á	b	h	i	b	á	a	t	ó	á	m	b	v	u	u	y	é	t	ó	n	g	o	</S>
les	0.167672	0.187269	0.072026	0.0195322	0.00599675	0.00947183	0.0116478	0.0231229	0.00878394	0.0203741	0.063911	0.0495085	0.0415056	0.0422045	0.0296542	0.0217713	0.0286769	0.0334337	0.0266581	0.0300405	0.0193071	0.014469	0.0131263	0.00969054	0.00985247	0.0143819	0.0125209	0.0133907
femmes	0.0250828	0.0251598	0.0607556	0.102577	0.161926	0.239774	0.0830115	0.0492363	0.0682556	0.0516225	0.0138934	0.0113651	0.00521213	0.0054339	0.00405977	0.0115032	0.00826511	0.00398837	0.00649487	0.00452911	0.0060028	0.0123353	0.00727032	0.0116079	0.00624106	0.00680395	0.00341143	0.00418138
sont	0.00852718	0.0144399	0.0164269	0.0252936	0.0379952	0.0401304	0.0635603	0.0481468	0.075046	0.0627781	0.051517	0.0901535	0.113943	0.0707347	0.0551158	0.0416379	0.0158088	0.0113934	0.00854871	0.0155527	0.0222297	0.0257599	0.0252701	0.024631	0.0100273	0.00860019	0.011247	0.00548463
en	0.0178857	0.0302681	0.0336605	0.0450897	0.0745294	0.0800259	0.0503192	0.071987	0.0253239	0.0335411	0.0277113	0.0306273	0.0325852	0.0323725	0.043673	0.0279245	0.0332954	0.0311724	0.0352897	0.0243607	0.0299773	0.0264087	0.0242672	0.0292382	0.0214859	0.0249136	0.0269994	0.0350673
train	0.0222911	0.023214	0.0223798	0.0194006	0.0264632	0.0280247	0.023844	0.0278408	0.0261275	0.0621701	0.0776945	0.0815402	0.0672056	0.0440041	0.0394961	0.0302402	0.0404437	0.0317466	0.0325778	0.033862	0.031149	0.0310757	0.0284856	0.0292329	0.0280283	0.0289596	0.0293606	0.0331417
de	0.111587	0.0555205	0.0634175	0.0350459	0.0225591	0.0172152	0.0213735	0.0241866	0.0153419	0.0122042	0.0115065	0.0212349	0.016523	0.033022	0.0163982	0.00642482	0.0212825	0.0199022	0.0326734	0.0125507	0.0148086	0.0161561	0.0280217	0.0382772	0.0485682	0.0533391	0.0546101	0.176249
vider	0.0226342	0.0181448	0.0281225	0.0197934	0.0305533	0.0304024	0.0407239	0.0277815	0.0157274	0.0181693	0.0230778	0.0227205	0.027677	0.031298	0.0408072	0.0603317	0.10668	0.047886	0.0980382	0.0503471	0.0389568	0.030982	0.0340862	0.0273725	0.0171445	0.0174379	0.0171788	0.0559248
la	0.024982	0.0227475	0.0207986	0.0181683	0.0104438	0.00969156	0.00867597	0.0093034	0.00889714	0.00985852	0.0100679	0.00931762	0.0081026	0.0117362	0.0158459	0.0175001	0.0390826	0.0318952	0.031191	0.0266587	0.0301776	0.0602545	0.0612484	0.071626	0.079807	0.0839247	0.113902	0.154095
deuxième	0.00654373	0.00816466	0.0121351	0.0116812	0.00902492	0.00589032	0.00313701	0.00268255	0.00162004	0.00320174	0.00424229	0.0039389	0.00289711	0.00576888	0.00934185	0.00625917	0.0211881	0.0322	0.0244438	0.0381715	0.0342073	0.0579746	0.069612	0.0678731	0.0870446	0.149494	0.122758	0.198503
partie	0.0118886	0.0216999	0.0328754	0.0270216	0.0119631	0.010136	0.00524426	0.00528794	0.00455526	0.00497398	0.00336144	0.00278332	0.00295678	0.00500866	0.00502947	0.0065287	0.01085	0.00900954	0.0108067	0.00841282	0.00698817	0.0167329	0.0328992	0.0388691	0.0751781	0.138549	0.16267	0.32772
de	0.0606976	0.0444685	0.0355714	0.0241146	0.0278264	0.028704	0.0169086	0.0138374	0.0108656	0.0127854	0.0150026	0.012018	0.0114196	0.013613	0.0163986	0.0149579	0.0152121	0.00689647	0.012081	0.0136451	0.0150564	0.0314051	0.043167	0.0535509	0.0613159	0.0885152	0.0907448	0.209221
l'	0.0691347	0.0509326	0.0404344	0.0288901	0.0245263	0.0212612	0.0103671	0.0074341	0.0114339	0.00876202	0.0123838	0.00818817	0.00650805	0.00852681	0.0113715	0.010662	0.0122792	0.00715752	0.00938101	0.0123161	0.017924	0.0396489	0.0550543	0.0641032	0.0780532	0.0958663	0.0978591	0.179541
étang	0.0155367	0.0141037	0.0181972	0.0209586	0.0164976	0.0129632	0.00556292	0.00485028	0.00361213	0.00559937	0.00517113	0.00459627	0.0041578	0.00728726	0.00968578	0.0120303	0.017043	0.0206024	0.0194881	0.0218541	0.020826	0.040189	0.0696939	0.0760441	0.108923	0.138505	0.133981	0.17204
</S>	0.0313247	0.0273016	0.0230829	0.018184	0.0225515	0.0215953	0.0144189	0.0137275	0.014918	0.0130482	0.0188616	0.0148729	0.0106411	0.0167339	0.0213144	0.0157265	0.0176598	0.0159632	0.0200106	0.0331684	0.0401563	0.0544638	0.05642	0.0475745	0.0590135	0.091472	0.0910911	0.174704
