 	i	n	g	á	l	a	l	a	á	m	u	n	u	k	u	t	ú	b	a	á	d	i	m	í	e	m	á	k	o	n	g	o	</S>
le	0.12763	0.0604682	0.025444	0.0169345	0.0365265	0.023542	0.0240718	0.0215533	0.0271104	0.0319747	0.0360239	0.0259138	0.0393859	0.0427917	0.0540782	0.0516075	0.0553154	0.0325266	0.0246508	0.0274515	0.0298163	0.0278332	0.0242406	0.0211533	0.00815687	0.00822973	0.0130962	0.012188	0.0138198	0.0128788	0.0105912	0.0144922	0.0185035
lingala	0.12861	0.255788	0.180957	0.118693	0.0710984	0.0419706	0.0217527	0.00733062	0.0151808	0.0205658	0.0327478	0.0124204	0.0138335	0.00450737	0.00373536	0.0108973	0.00841374	0.0139506	0.00773569	0.00326462	0.0028623	0.00217577	0.00130269	0.00124947	0.00111298	0.00302732	0.00207035	0.00334973	0.00309339	0.00370896	0.00160127	0.000448067	0.000543483
et	0.0266827	0.019085	0.0119449	0.0159378	0.0198881	0.0210686	0.0517373	0.0849932	0.0990077	0.103796	0.0675338	0.0471894	0.0368972	0.0309396	0.0238761	0.0287253	0.0211243	0.0179873	0.0164227	0.0225191	0.0419077	0.0324628	0.0223621	0.0286283	0.0165189	0.0173355	0.00977233	0.0084063	0.00776712	0.012516	0.00791136	0.0136288	0.0134269
le	0.0179345	0.0218633	0.023232	0.0226709	0.0211436	0.0233839	0.0317152	0.0448375	0.0437074	0.0391382	0.0316292	0.0377241	0.0340561	0.0454618	0.041116	0.0323054	0.0232015	0.0205142	0.0279901	0.0323237	0.0302936	0.0398984	0.0252895	0.0192855	0.014929	0.0155069	0.0140599	0.0162453	0.0169846	0.0274604	0.0338982	0.0479545	0.0822455
munukutuba	0.0261425	0.0333239	0.0353505	0.03293	0.0303501	0.0293686	0.0281183	0.0499988	0.0588942	0.0611371	0.058013	0.059533	0.0476948	0.0314752	0.0303906	0.0434012	0.0276325	0.0293719	0.0248308	0.0182034	0.017643	0.0206128	0.0124327	0.0119161	0.0132637	0.0167387	0.0156891	0.018018	0.0184733	0.0201623	0.0200778	0.0215533	0.0372588
sont	0.0314741	0.0184825	0.0109213	0.012645	0.0154972	0.012415	0.0162711	0.0542168	0.0439694	0.0506894	0.0475338	0.0631673	0.0325555	0.0275013	0.0271723	0.0266369	0.0256522	0.0226562	0.0210373	0.0191272	0.0191746	0.0227868	0.0193455	0.0175822	0.0208488	0.0186433	0.0130181	0.0146858	0.0150446	0.025083	0.0462803	0.0786941	0.109191
deux	0.0308489	0.0254797	0.0220382	0.0182508	0.0197008	0.024122	0.0230621	0.0253995	0.0227108	0.026143	0.0236798	0.0344121	0.0242176	0.0276367	0.0276396	0.0262685	0.0212035	0.0167431	0.0170082	0.0152772	0.0241688	0.0335326	0.0355528	0.0302151	0.0402212	0.0530537	0.0433606	0.0422039	0.0484036	0.0426781	0.0426733	0.0255063	0.0665877
langues	0.0465968	0.0438204	0.0457782	0.0335545	0.0336202	0.0359462	0.0220006	0.0280208	0.0312776	0.0338981	0.038243	0.0581484	0.0456544	0.0465486	0.0282908	0.0209988	0.0148635	0.0112954	0.0100607	0.00813888	0.0121993	0.0133864	0.0149133	0.0100331	0.029072	0.0353854	0.0198117	0.020617	0.0391414	0.0288627	0.0361609	0.0420167	0.061644
du	0.05752	0.0482292	0.0499817	0.0328192	0.0268633	0.034168	0.0283117	0.0395354	0.0344645	0.0275872	0.0309775	0.0374147	0.0292379	0.037518	0.0193202	0.0114957	0.00974246	0.00633759	0.00734269	0.0116869	0.0159167	0.0254074	0.0227798	0.011028	0.0244107	0.0280263	0.0229756	0.0223016	0.0387972	0.0402208	0.0517054	0.0570657	0.058811
congo	0.0368032	0.0286156	0.0290534	0.0219056	0.0187496	0.0212048	0.0150828	0.0221236	0.0198377	0.0206211	0.0229767	0.0338634	0.0244513	0.0267626	0.0201329	0.0126247	0.00954043	0.00621145	0.00649269	0.00746697	0.0161525	0.0279281	0.0372161	0.0234976	0.0510225	0.0473071	0.0433708	0.0353981	0.0584295	0.0532476	0.060933	0.0724252	0.0685514
</S>	0.0237978	0.0436081	0.0317978	0.0389136	0.0391706	0.0350997	0.0357328	0.047867	0.0387669	0.0264348	0.0161238	0.0197537	0.0132244	0.0213459	0.0150049	0.0111161	0.0120163	0.0139521	0.0242467	0.0250389	0.0244649	0.0280034	0.0300497	0.031296	0.0388086	0.0348162	0.0180594	0.0173692	0.0151553	0.023003	0.0361039	0.056942	0.112917
