 	e	b	é	e	y	í	s	á	l	a	á	p	έ	ε	n	g	á	e	d	i	m	á	m	í	b	a	n	d	a	l	á	m	w	á	s	í	</S>
au	0.0131883	0.0155993	0.0159718	0.0156798	0.0174299	0.0147546	0.0252916	0.0391889	0.0282831	0.0383691	0.0365768	0.0254214	0.0378055	0.04322	0.0527415	0.0493418	0.038692	0.0352311	0.0247054	0.0124128	0.01159	0.00870682	0.00750361	0.00822511	0.00844297	0.00992918	0.0114577	0.01296	0.0202228	0.0576393	0.033018	0.0371407	0.0467448	0.0275526	0.0400148	0.0439985	0.0349484
service	0.0263414	0.0665601	0.0632835	0.0486942	0.0449327	0.0149687	0.0115232	0.0099505	0.0126096	0.016992	0.0153065	0.0179155	0.0367199	0.0533955	0.0501024	0.0316579	0.0375331	0.0307137	0.0413139	0.0406951	0.0519902	0.0354401	0.049357	0.0419813	0.025186	0.0169956	0.0246125	0.0111772	0.0188316	0.0170098	0.010624	0.0120545	0.00530071	0.00260312	0.00221714	0.00174446	0.00166552
on	0.126068	0.07482	0.0555345	0.0375086	0.0218256	0.0259899	0.027125	0.0156274	0.0126706	0.00705503	0.00378525	0.00488166	0.0048475	0.00626361	0.0098625	0.0137345	0.0162637	0.0231147	0.0262042	0.036628	0.0310428	0.0392171	0.0351408	0.0367937	0.0439183	0.0578477	0.0278662	0.0398896	0.0188659	0.0127342	0.0178162	0.0103486	0.0126239	0.0187986	0.0165767	0.0176123	0.0130966
m'	0.0752991	0.0482426	0.0446998	0.0570186	0.0378263	0.0205044	0.0177913	0.0133806	0.012714	0.0134406	0.0112299	0.00981039	0.0119451	0.0129012	0.0129161	0.019909	0.0138945	0.0129456	0.0151187	0.0421381	0.063232	0.0849785	0.0523701	0.0970062	0.0293399	0.0187499	0.0248611	0.0122446	0.0095313	0.00724071	0.00619969	0.00714995	0.00792966	0.00808075	0.0101585	0.0137073	0.0434939
a	0.0426375	0.0457776	0.0358963	0.0340408	0.0289383	0.0405924	0.0259505	0.0126947	0.00703159	0.00725594	0.00485102	0.0064745	0.00700542	0.00678005	0.00975467	0.015126	0.0192992	0.0217126	0.037026	0.0574536	0.0659774	0.0835793	0.0788458	0.0704488	0.0546884	0.0378885	0.0281176	0.0236627	0.0108794	0.00584095	0.00685808	0.00438559	0.00810773	0.0101221	0.00947399	0.0090781	0.025747
fait	0.0460097	0.0484759	0.0379506	0.0337426	0.0318849	0.0322314	0.0225449	0.0127012	0.0125109	0.0117622	0.0112879	0.0124948	0.0137764	0.0117883	0.00994874	0.0116511	0.0132405	0.0199133	0.0321353	0.0439871	0.0532069	0.0672758	0.0531151	0.0378447	0.0293766	0.0260223	0.0237931	0.026582	0.0180106	0.0137592	0.0213193	0.0165996	0.0295359	0.025839	0.0218403	0.0227181	0.0431235
un	0.0387863	0.0341654	0.029532	0.0308416	0.0369045	0.0519428	0.0328236	0.0194427	0.0180443	0.0193695	0.0182955	0.0192516	0.0171023	0.0135299	0.012345	0.0137519	0.0146781	0.01784	0.0246642	0.038975	0.0473386	0.0558662	0.0426436	0.0241155	0.0183265	0.0119332	0.0169203	0.0130061	0.0125526	0.0172049	0.0230241	0.0202267	0.0239708	0.032099	0.0312081	0.0408859	0.0663918
crédit	0.0323516	0.0390177	0.0322855	0.0294008	0.0229111	0.0116215	0.00860176	0.00851996	0.0109009	0.0137782	0.0145509	0.0166076	0.0184783	0.0158905	0.0107228	0.0122347	0.0132947	0.0150514	0.0208355	0.0336644	0.0414119	0.0414168	0.0402362	0.0318149	0.0232072	0.0124077	0.0152352	0.0101507	0.0122083	0.0165056	0.0169551	0.0246243	0.0257259	0.0340398	0.0501756	0.073751	0.149414
pour	0.0225253	0.0258726	0.0243959	0.0231468	0.0237817	0.0244334	0.0183576	0.010688	0.00873138	0.00844047	0.00921477	0.0100422	0.0106259	0.00934214	0.0101455	0.0111129	0.0124432	0.0162122	0.0212176	0.0462727	0.0772106	0.0920657	0.0848655	0.0722449	0.0308924	0.0139325	0.032516	0.00954723	0.0197014	0.0126007	0.0122011	0.0343758	0.0137203	0.0219931	0.0310804	0.0195316	0.0745183
mon	0.0263511	0.025631	0.0247922	0.0218048	0.0137726	0.00699267	0.0063544	0.00658321	0.00787071	0.00758942	0.00792926	0.00748504	0.0073581	0.00722658	0.00698575	0.00703876	0.00684521	0.00626878	0.00470688	0.00749014	0.00896015	0.0124243	0.012768	0.0156199	0.0132734	0.0117554	0.0173988	0.0149003	0.0204898	0.0390998	0.0482534	0.0701604	0.0786334	0.0915045	0.1025	0.0860913	0.13909
mariage	0.0647874	0.0423076	0.0309871	0.0170193	0.0113818	0.00450674	0.00358255	0.00456576	0.00799486	0.00947377	0.010565	0.00960351	0.00994191	0.00966656	0.00842156	0.00510483	0.00584634	0.00454419	0.00369928	0.00743685	0.0105635	0.00878095	0.00862634	0.0151433	0.00682102	0.00647765	0.0133502	0.00530244	0.0160158	0.0204736	0.0283228	0.148099	0.0526851	0.0723796	0.118324	0.0240157	0.173182
</S>	0.047115	0.032784	0.0247354	0.0160296	0.0111208	0.00652791	0.00341058	0.00363886	0.00580177	0.00729325	0.00786541	0.00688039	0.00708824	0.00673919	0.00618225	0.00372288	0.00484887	0.00416817	0.0034221	0.00803593	0.0124038	0.0126579	0.0137167	0.0236408	0.0102732	0.010481	0.020023	0.00942487	0.0180233	0.0175543	0.0263726	0.120838	0.0426567	0.0550673	0.117873	0.032011	0.239572
