 	i	t	ε	r	ε	m	á	s	w	é	í	d	í	s	a	a	m	é	b	ε	i	y	á	s	ú	a	</S>
les	0.0641389	0.0604645	0.0261641	0.0257287	0.0211278	0.025321	0.0202887	0.0248904	0.0168573	0.0221564	0.0446562	0.0555491	0.0459626	0.0480634	0.0455356	0.0489436	0.0431113	0.0462622	0.0358096	0.0398263	0.0324346	0.034797	0.0419305	0.0379223	0.0382662	0.0352159	0.0185757
paniers	0.0500909	0.0248656	0.0464069	0.0660258	0.117239	0.111195	0.0959336	0.0779872	0.0489663	0.0245621	0.0280705	0.0358226	0.0340142	0.0586139	0.0394945	0.0259926	0.015407	0.0119775	0.00706742	0.0113004	0.0129282	0.0101332	0.00994401	0.0105814	0.00882839	0.0124112	0.00414037
de	0.0486111	0.0252066	0.0356253	0.0201195	0.0285482	0.0291627	0.0500791	0.072137	0.0779581	0.0450026	0.0380435	0.0294199	0.0366384	0.0293689	0.0431022	0.050182	0.0397135	0.0389827	0.0490593	0.0422758	0.0436521	0.0323694	0.0311991	0.0260215	0.0194771	0.0111367	0.00690759
poissons	0.0214869	0.0246381	0.0576456	0.060359	0.0765122	0.0843171	0.0751673	0.0610201	0.0456079	0.049389	0.0460711	0.0374584	0.0313554	0.0438996	0.0333212	0.0292557	0.032092	0.0157763	0.0204433	0.0196954	0.0267337	0.0168773	0.0152669	0.0134944	0.0154552	0.0130398	0.0336212
sont	0.0593485	0.0376177	0.0459876	0.0558047	0.0678206	0.0595693	0.0411438	0.0330955	0.0298602	0.0357984	0.0326197	0.0299025	0.0224534	0.0348751	0.024465	0.0122277	0.0164717	0.0178964	0.0282699	0.0259632	0.0367578	0.0259028	0.0214305	0.0239711	0.0327115	0.0396201	0.108415
sur	0.0393224	0.026034	0.0264159	0.028152	0.0319752	0.0332652	0.0242038	0.0192901	0.0159442	0.0192765	0.024985	0.0234211	0.0298012	0.0314969	0.030754	0.0253641	0.0321176	0.0428452	0.0569767	0.0471467	0.090379	0.0488982	0.0506966	0.0459836	0.050655	0.0430773	0.0615224
la	0.0664911	0.0546342	0.0384078	0.0341504	0.044426	0.0481243	0.0388461	0.024828	0.0101	0.0101485	0.011553	0.0138467	0.018401	0.021484	0.021932	0.0149071	0.0147428	0.0203645	0.041716	0.0297782	0.042196	0.0335492	0.0414122	0.0408837	0.0489062	0.0564291	0.157742
barge	0.0200771	0.0226756	0.0291965	0.0355709	0.0358176	0.0359815	0.0311998	0.0218632	0.00933548	0.00919425	0.00829037	0.0142153	0.0137636	0.0190312	0.0127882	0.00619457	0.0102098	0.0158157	0.0322941	0.0415618	0.0681063	0.0654837	0.0518416	0.0719514	0.0786812	0.0957917	0.143067
du	0.121884	0.158887	0.0846232	0.0605529	0.0459584	0.035347	0.0273159	0.019297	0.00965329	0.0119975	0.0102689	0.00951575	0.00909017	0.0105834	0.0121252	0.0100729	0.00932507	0.0109068	0.0114378	0.0111166	0.0120796	0.0181577	0.0245641	0.0257102	0.0411101	0.036938	0.161482
bateau	0.0738804	0.0735357	0.058993	0.075881	0.0437613	0.0142661	0.00821209	0.00447961	0.0033182	0.0052026	0.0026101	0.00341587	0.0039495	0.00641297	0.00448135	0.00401543	0.00621126	0.0108645	0.0164698	0.0144735	0.0256099	0.0413846	0.0571079	0.0743365	0.0990622	0.0721054	0.195959
</S>	0.0803179	0.0772724	0.0591509	0.0651225	0.0355332	0.0164957	0.011493	0.00724152	0.00536747	0.00462435	0.00162797	0.00160108	0.00162855	0.00315395	0.00209991	0.00207697	0.00292713	0.00509503	0.0102051	0.0103649	0.0295663	0.0338235	0.03648	0.0572335	0.0990679	0.0841788	0.25625
