 	n	g	á	l	í	i	y	i	m	b	á	a	m	b	á	n	g	é	m	í	s	ω	r	ω	ω	</S>
je	0.052197	0.188061	0.238938	0.384383	0.102061	0.0152637	0.00611849	0.000708933	0.000592076	0.000946552	0.000692734	0.000477956	0.000457939	0.000389305	0.000364953	0.000330486	0.000426533	0.000490359	0.000656422	0.00114071	0.00120155	0.000909004	0.000765281	0.000735318	0.000821341	0.000870007
tire	0.0147268	0.00508089	0.0059269	0.00604671	0.00887516	0.0146589	0.0464388	0.0966923	0.122337	0.109002	0.0950611	0.0951157	0.0719307	0.0285315	0.044447	0.0163548	0.0233047	0.0376835	0.0313803	0.0279844	0.025749	0.0229511	0.0118671	0.00919745	0.00672266	0.0219329
les	0.0313169	0.0311815	0.0255526	0.0173778	0.0160458	0.0150186	0.0395944	0.0462423	0.049334	0.0532633	0.0512457	0.0502621	0.0504203	0.0555701	0.0690871	0.0500892	0.0304159	0.0355763	0.032925	0.0364997	0.0400233	0.0363981	0.0236766	0.0255686	0.0296417	0.0576731
mangues	0.00690884	0.00415803	0.00366042	0.00412952	0.00447831	0.00640754	0.0103567	0.0159293	0.0329091	0.0383381	0.0390688	0.0465803	0.0688591	0.0728977	0.0791496	0.117729	0.135721	0.0502934	0.0291477	0.017442	0.019506	0.0237681	0.0316213	0.0324961	0.0444133	0.0640308
à	0.0108387	0.00769927	0.0151019	0.0131897	0.00691333	0.00652785	0.0107697	0.0196256	0.0236637	0.0239259	0.0275475	0.0311845	0.0391377	0.0363437	0.0404457	0.0451771	0.0672054	0.0638553	0.0630304	0.0444787	0.0467478	0.0524375	0.065703	0.0661384	0.0813087	0.0910029
l'	0.0521715	0.0308114	0.0137874	0.0103119	0.00817282	0.0134261	0.0252252	0.028295	0.0300133	0.0354126	0.0494172	0.0617275	0.0826011	0.0601472	0.0434679	0.0325917	0.0348397	0.028008	0.0338379	0.0281857	0.0320621	0.03543	0.0404416	0.0482586	0.0549399	0.0864167
aide	0.0108082	0.0103483	0.0132762	0.0145837	0.00948732	0.00919058	0.00840695	0.00875585	0.0147919	0.0167024	0.0285898	0.0632262	0.0773669	0.0504783	0.0570289	0.0346771	0.0484131	0.0504073	0.0463797	0.0412982	0.0486772	0.0597572	0.0610753	0.0700273	0.0660642	0.0801819
d'	0.0247678	0.020772	0.0171842	0.021108	0.0206454	0.0125013	0.0116012	0.0117638	0.0141462	0.017726	0.0202129	0.0263986	0.0262004	0.024197	0.0259255	0.0308607	0.0357821	0.0533983	0.0562799	0.0415483	0.0489	0.0668151	0.0828044	0.0746557	0.0781321	0.135673
un	0.0429212	0.030723	0.0209465	0.0273609	0.0237477	0.00946024	0.0078212	0.00714259	0.00702895	0.00672129	0.00690127	0.00784128	0.0104783	0.00783784	0.0109349	0.0092317	0.0245325	0.0387714	0.0477302	0.0626987	0.0701949	0.0842657	0.0984564	0.105317	0.105371	0.125564
cro	0.0186976	0.0160653	0.0139268	0.0135804	0.008298	0.00566187	0.00601044	0.00572349	0.010222	0.00957703	0.0093518	0.00876886	0.00988164	0.00571695	0.00787098	0.00567353	0.0175994	0.0305092	0.0513771	0.0785935	0.102271	0.0906109	0.112178	0.12605	0.114037	0.121748
chet	0.0581126	0.0419491	0.0210446	0.0247449	0.0241599	0.00922685	0.00724838	0.00615415	0.0100416	0.00900657	0.00898722	0.00896976	0.0101883	0.00503877	0.00750226	0.00638879	0.016746	0.0380952	0.0544865	0.0705429	0.0731386	0.0746467	0.0898583	0.0888548	0.102449	0.132418
</S>	0.140147	0.0860994	0.033041	0.0299666	0.0214238	0.0148865	0.0141133	0.0158941	0.0207748	0.029523	0.0307347	0.0320439	0.0277312	0.0184715	0.0208955	0.0116569	0.00935414	0.0147943	0.0169356	0.0236215	0.0295261	0.0376576	0.0571623	0.0578254	0.0709252	0.134794
