 	n	g	w	a	k	a	n	d	í	l	o	n	g	ó	n	d	z	a	á	d	í	n	a	n	g	a	</S>
les	0.034621	0.0542595	0.0472598	0.0548415	0.0578234	0.0687935	0.0670181	0.0735048	0.070187	0.0631035	0.0621182	0.0588991	0.0370202	0.0251345	0.0225284	0.0245667	0.0197498	0.0184351	0.0169002	0.0162989	0.0162621	0.0205728	0.0179923	0.0130872	0.0137803	0.0187747	0.00646726
villages	0.03666	0.0283853	0.0389299	0.0486067	0.115193	0.112736	0.0881071	0.119559	0.0604556	0.0676743	0.0591213	0.0568727	0.0503448	0.0245147	0.00457362	0.00314106	0.00258087	0.00665413	0.00519929	0.012374	0.00491703	0.0135405	0.0124413	0.00859894	0.00839155	0.00863218	0.00179499
ngwakandi	0.0153856	0.0101363	0.0104191	0.0105358	0.0126115	0.0140963	0.015991	0.0237722	0.0166331	0.0183875	0.0254572	0.0383103	0.055936	0.0573107	0.0595003	0.0782123	0.0590836	0.0621142	0.0532559	0.0763386	0.0616424	0.0834637	0.0541827	0.0219045	0.0299873	0.0198602	0.0154713
et	0.00670804	0.00740393	0.012279	0.00769556	0.00966133	0.0103976	0.0106487	0.0108936	0.00929318	0.00851027	0.0167423	0.0243898	0.049042	0.0810919	0.127356	0.136059	0.149019	0.0540927	0.0431454	0.0544706	0.0188108	0.0213911	0.02349	0.0209192	0.0339287	0.0240548	0.0285053
ongondza	0.0193133	0.0189037	0.0101017	0.00978997	0.0112762	0.00874978	0.00827985	0.00887476	0.0173156	0.0223172	0.0264318	0.0267066	0.0227684	0.0383981	0.0274292	0.0379345	0.0484463	0.0516517	0.0511917	0.0629811	0.0598574	0.0433125	0.0580587	0.0595357	0.0823366	0.0659057	0.102132
sont	0.0235864	0.0210906	0.0132596	0.0131105	0.0154556	0.0151237	0.019893	0.0183844	0.0248631	0.027424	0.0277067	0.0232818	0.015696	0.0224131	0.0159005	0.0232796	0.0459313	0.0419656	0.0522185	0.0685944	0.0689972	0.052591	0.0630913	0.055871	0.0800892	0.0615376	0.0886444
éloignés	0.0379	0.0345062	0.0341831	0.0294581	0.0364436	0.0393179	0.0435463	0.0445782	0.0452405	0.0439324	0.0371389	0.0271123	0.016034	0.020996	0.0311748	0.0271849	0.02144	0.0214394	0.018498	0.0276993	0.0199977	0.0438765	0.0352228	0.0386835	0.0568562	0.0599808	0.107559
l'	0.0288708	0.0269647	0.0268387	0.0226013	0.0256514	0.0219273	0.0191254	0.0203772	0.0231099	0.0110607	0.0122342	0.0144254	0.0234645	0.0254509	0.034988	0.0516467	0.0607627	0.0342747	0.040434	0.0442337	0.0244037	0.0352897	0.0378812	0.0389901	0.0676248	0.0788739	0.148494
un	0.0983014	0.0794594	0.0890328	0.085147	0.0684645	0.0500637	0.0229941	0.0251379	0.0266074	0.00992232	0.00719293	0.00650622	0.0100457	0.00880647	0.00950579	0.0122622	0.00938569	0.0093298	0.0132901	0.0139516	0.00561888	0.0297611	0.0211493	0.0189978	0.0442623	0.0474056	0.177398
de	0.0827939	0.0501967	0.0914485	0.100116	0.0799309	0.0530367	0.0216041	0.0200272	0.0122974	0.00371017	0.00408037	0.00517142	0.0104304	0.00893684	0.01067	0.0146924	0.0117651	0.0126303	0.0184682	0.0191171	0.00876161	0.0405936	0.0314593	0.0256837	0.0512957	0.0525979	0.158484
l'	0.0905116	0.0493209	0.0861195	0.0389244	0.0200882	0.0110931	0.00727232	0.00795289	0.0107062	0.00842292	0.0127906	0.0145151	0.0175839	0.0293885	0.0272551	0.0251202	0.0226978	0.0286141	0.0357198	0.0496178	0.034606	0.0574654	0.0476971	0.0534692	0.0524886	0.0516717	0.108887
autre	0.0784102	0.0540751	0.0660065	0.0527834	0.0331201	0.0231802	0.0118971	0.0155334	0.0169703	0.0121197	0.014205	0.011181	0.00943088	0.00727792	0.0151224	0.0217421	0.00834931	0.0120332	0.0115871	0.0197145	0.0121544	0.0690053	0.0437502	0.0416822	0.070507	0.0575125	0.210649
</S>	0.0813352	0.0459261	0.0597185	0.048066	0.0248276	0.0186172	0.011268	0.014781	0.0174848	0.0120007	0.0156012	0.0175526	0.0116772	0.0119803	0.0164888	0.0173017	0.00688896	0.00990691	0.0114126	0.0279917	0.0150648	0.0854867	0.0512279	0.0586404	0.0667821	0.0710832	0.170888
