 	w	á	á	w	a	a	d	i	í	m	b	ώ	n	g	ω	a	b	v	e	m	ó	i	n	y	w	á	a	</S>
dès	0.0200465	0.0734114	0.104604	0.0549911	0.0299331	0.0320149	0.0130654	0.0111058	0.0236441	0.0183118	0.0279501	0.026713	0.0364332	0.0231736	0.0594327	0.0479717	0.0488155	0.0530282	0.0458827	0.0412444	0.0267538	0.0312131	0.0319176	0.0281549	0.0274417	0.027174	0.0183415	0.0172307
qu'	0.0691737	0.0374294	0.0145924	0.040955	0.0452587	0.0905818	0.0660465	0.0427704	0.018251	0.012078	0.0216831	0.0323138	0.0137233	0.0196476	0.0472159	0.034151	0.0535137	0.075862	0.0991577	0.0739368	0.051867	0.0071188	0.00422735	0.00268249	0.00132935	0.00222325	0.00618705	0.0160229
il	0.0162518	0.0220855	0.0203571	0.0363752	0.0303635	0.03749	0.0209395	0.015501	0.0202203	0.0320047	0.0408462	0.060261	0.0512699	0.100028	0.0940476	0.0891837	0.0512527	0.025959	0.0168769	0.0254879	0.0233025	0.0277595	0.0251976	0.0222093	0.011802	0.0171588	0.0318296	0.0339391
a	0.0426646	0.0284268	0.0241429	0.036294	0.0252529	0.0264605	0.0245344	0.022506	0.0137814	0.0171549	0.0205154	0.0162968	0.018686	0.0231195	0.0284769	0.0680607	0.0755536	0.113199	0.0779072	0.0527276	0.0384671	0.036877	0.0272915	0.025087	0.0210107	0.0230466	0.0222466	0.050212
de	0.0391588	0.0219464	0.0200413	0.0265383	0.0201833	0.0191324	0.0260736	0.0183715	0.0209009	0.0304573	0.0333099	0.037025	0.0317675	0.0324405	0.0192342	0.0462046	0.0459666	0.044233	0.0322063	0.0538658	0.0408785	0.0744623	0.0257367	0.0454943	0.0340316	0.0389492	0.0514053	0.0699848
l'	0.039948	0.0195226	0.0118454	0.0135948	0.0162086	0.0203067	0.0329837	0.0166382	0.019787	0.0210311	0.0201238	0.0299355	0.0280372	0.0111849	0.0112987	0.0207901	0.0332485	0.0490999	0.0504156	0.0663946	0.0667705	0.0655551	0.0434103	0.054708	0.0377174	0.052856	0.0608748	0.0857131
argent	0.0285823	0.0204768	0.0131622	0.010138	0.0173386	0.0253555	0.0480075	0.0263816	0.0266439	0.0252305	0.0250712	0.0241106	0.0142834	0.0112873	0.0127	0.0148884	0.0205308	0.0319201	0.0279006	0.038347	0.047801	0.0402395	0.0430193	0.0563621	0.0457702	0.0618378	0.0933576	0.149256
il	0.057074	0.0259699	0.0170112	0.0169851	0.020782	0.0304844	0.071367	0.0278184	0.0276425	0.0316916	0.0209922	0.0270822	0.0182712	0.0130835	0.0136415	0.0168043	0.0342684	0.0397267	0.0413888	0.0525026	0.0428073	0.0385963	0.0293437	0.0547267	0.0360267	0.0436942	0.0564949	0.0937227
se	0.0637615	0.0326445	0.0249116	0.044489	0.027584	0.0317017	0.0307977	0.0216175	0.0105395	0.0124688	0.00968902	0.00878835	0.0118027	0.0108535	0.00893881	0.0193677	0.0254634	0.0674455	0.0643282	0.0560856	0.032042	0.0409899	0.0294106	0.0519241	0.04519	0.0518623	0.0632255	0.102077
met	0.0441373	0.0312647	0.0217332	0.0305004	0.0154324	0.0154252	0.0209712	0.015773	0.0113227	0.0142645	0.0174259	0.0139315	0.010368	0.0200545	0.0267015	0.0317145	0.0442025	0.0675086	0.0650379	0.0611476	0.0488268	0.0335204	0.0277723	0.0341574	0.0305686	0.0458348	0.0704086	0.129994
à	0.0780787	0.0508707	0.0266768	0.0556434	0.028731	0.0279533	0.018193	0.0179351	0.00907014	0.00938357	0.00808837	0.00877324	0.0127076	0.0107771	0.00736811	0.00993992	0.00929589	0.0142514	0.017414	0.0227514	0.035722	0.0803236	0.0386671	0.0749571	0.0792064	0.0540797	0.0927401	0.100401
boire	0.106821	0.0632068	0.0331271	0.0519141	0.0309504	0.0236852	0.0132258	0.0113158	0.00666298	0.00838312	0.0055259	0.00635271	0.00864857	0.00730704	0.00798003	0.0219864	0.0156637	0.0208811	0.0233724	0.0289327	0.0281319	0.0441544	0.0368438	0.0637502	0.0779022	0.0571576	0.0811057	0.115012
</S>	0.0372755	0.0330919	0.029647	0.0296332	0.0295291	0.0315658	0.0298091	0.0297737	0.0285063	0.0269762	0.0282724	0.0274766	0.0178205	0.0230412	0.0207617	0.018567	0.0157158	0.018092	0.0212601	0.0263406	0.0588968	0.0604495	0.042144	0.0631263	0.0541392	0.0568563	0.0630786	0.0781537
