 	n	y	ω	s	í	a	d	í	s	a	a	m	é	t	á	b	h	e	y	ó	s	á	á	</S>
un	0.0171467	0.0160381	0.00820305	0.00858975	0.00652579	0.0072746	0.00869146	0.0190156	0.0748711	0.0745737	0.153482	0.150159	0.0683312	0.0745383	0.0677375	0.0389656	0.0355489	0.0170687	0.0159122	0.0167795	0.0318959	0.0316393	0.0348584	0.0221535
oiseau	0.0601933	0.10858	0.230396	0.0541244	0.0230012	0.0151512	0.0375523	0.11015	0.101414	0.116755	0.0286442	0.00974869	0.00963511	0.0217094	0.0150796	0.0173146	0.00956264	0.00969847	0.0068683	0.00497029	0.00309093	0.00214145	0.0025883	0.00163068
est	0.0584654	0.0374798	0.0406994	0.0518907	0.0814173	0.133357	0.124987	0.0714541	0.03118	0.0206685	0.0142269	0.0217837	0.049661	0.0397131	0.0324603	0.0498454	0.0346447	0.0353123	0.0240359	0.0174545	0.00965584	0.00675772	0.00708646	0.0057629
perché	0.0313065	0.0375329	0.0374774	0.0408743	0.0547675	0.0567229	0.0652458	0.0783875	0.0940837	0.0765088	0.06968	0.0596974	0.0448754	0.0268022	0.0224494	0.0374148	0.0360138	0.0250926	0.017841	0.0111683	0.0162561	0.0177142	0.0203486	0.021739
sur	0.0632373	0.0556056	0.073444	0.153335	0.191762	0.0776421	0.0334487	0.0245511	0.0271344	0.0462137	0.0912747	0.0331657	0.0107664	0.0070449	0.00902306	0.0102899	0.00721905	0.00467408	0.00304744	0.00427194	0.00975096	0.0112974	0.0180355	0.0337657
la	0.0177789	0.0160489	0.0177515	0.0100054	0.0160893	0.0160271	0.0389967	0.0457719	0.0463422	0.0295914	0.0384861	0.045327	0.0381566	0.0329737	0.034532	0.0545616	0.0227846	0.0327938	0.0274822	0.0395071	0.0552659	0.0658246	0.116024	0.141878
branche	0.0285606	0.0174333	0.0212324	0.0114547	0.0148215	0.0113153	0.0105209	0.011915	0.0104822	0.0099776	0.00786362	0.00984129	0.00836372	0.0211386	0.0346664	0.074011	0.0657651	0.0807385	0.0683931	0.0740388	0.084818	0.0678331	0.114569	0.140247
du	0.102319	0.0487652	0.035492	0.0332596	0.052028	0.0345916	0.0200062	0.0149161	0.0104265	0.0132808	0.00807625	0.00530222	0.00714152	0.0101699	0.012747	0.0193554	0.0243569	0.0312985	0.0499254	0.043686	0.0517858	0.0657631	0.0740785	0.231229
safoutier	0.0438334	0.0230524	0.0627224	0.0774777	0.0386	0.010354	0.0090037	0.00696923	0.0052508	0.00687002	0.00416454	0.00394757	0.00190432	0.00873217	0.0124654	0.0185717	0.0518493	0.0529795	0.0901105	0.0665255	0.0801279	0.0529223	0.116659	0.154907
</S>	0.109694	0.0907904	0.142762	0.130398	0.0661722	0.0137463	0.00743993	0.00280244	0.00284859	0.0076785	0.00402933	0.0022049	0.00148301	0.00176747	0.00611121	0.0127713	0.0285205	0.0229423	0.0355555	0.0316737	0.0323672	0.0453205	0.0490362	0.151885
