 	b	e	a	b	í	í	p	έ	n	ω	n	g	á	b	í	í	m	i	s	έ	m	b	ε	t	s	í	n	a	b	í	a	á	l	á	m	b	i	m	á	p	ó	a	</S>
le	0.00694085	0.00615253	0.00477863	0.0087032	0.00692412	0.0111882	0.0189631	0.018879	0.0258932	0.0441692	0.0455064	0.0437841	0.0381364	0.0473185	0.0429928	0.0557197	0.0530062	0.0387397	0.0201298	0.0226202	0.0161942	0.0141218	0.0137103	0.0152983	0.0119839	0.00961418	0.00989522	0.0100123	0.00835703	0.00739141	0.0127087	0.0187306	0.0227089	0.0223467	0.0293813	0.0232344	0.0330928	0.0291475	0.0274627	0.0249055	0.0326823	0.0283274	0.0181466
repas	0.101233	0.0939672	0.190151	0.191933	0.040185	0.0186129	0.0109469	0.00339734	0.00303403	0.00684582	0.010006	0.0263306	0.0299808	0.0275706	0.0250747	0.020321	0.0104187	0.0175559	0.0227918	0.00424172	0.0133754	0.00875019	0.00640092	0.00325784	0.0023378	0.00384781	0.00209588	0.0061071	0.0042206	0.00464631	0.00432727	0.00687314	0.00483785	0.0102097	0.0131606	0.0126249	0.0178798	0.0084325	0.0041256	0.00250068	0.0026045	0.00154873	0.00123673
que	0.0548375	0.0651302	0.037431	0.0141927	0.0113235	0.0188862	0.0174205	0.0390623	0.0504838	0.035031	0.0454889	0.041126	0.0289634	0.0438846	0.0347829	0.0280517	0.020036	0.00978886	0.0137209	0.00571547	0.0133224	0.0139609	0.0132103	0.020519	0.0295184	0.0121236	0.0133271	0.0187258	0.0319992	0.0278177	0.0197891	0.0126945	0.0136125	0.0068567	0.0218404	0.00755233	0.0314813	0.0186995	0.0158647	0.0142977	0.0110381	0.00961663	0.00677455
tu	0.0594053	0.0270447	0.018372	0.0115999	0.0082715	0.0106786	0.00945367	0.0143746	0.0183265	0.0180558	0.0200637	0.0100951	0.0117989	0.0104513	0.00825137	0.0101216	0.0132175	0.00869082	0.00993729	0.0105465	0.0295242	0.0368854	0.0327434	0.0329928	0.0529259	0.0304325	0.0506665	0.0547877	0.0686068	0.0507209	0.0417334	0.0183215	0.0137119	0.0123268	0.0114191	0.0104215	0.0125151	0.0175695	0.01934	0.0162983	0.0194863	0.0150307	0.0427831
m'	0.037789	0.0393379	0.0237846	0.0165921	0.017202	0.0248083	0.0296092	0.0412267	0.0441724	0.0458427	0.0350953	0.0262288	0.0211928	0.0295434	0.0252769	0.0300402	0.0219923	0.0137021	0.0232388	0.0112154	0.0158165	0.0222034	0.0137398	0.0192134	0.0338631	0.0199521	0.0167312	0.0254978	0.0518116	0.0612164	0.0305901	0.0198221	0.0140264	0.00898461	0.011897	0.00594264	0.00853553	0.00494017	0.00419463	0.00381812	0.0066301	0.00645803	0.0362244
as	0.0426418	0.0340376	0.0149389	0.00932602	0.0078945	0.0199519	0.0353695	0.0318063	0.0378023	0.0260408	0.0151553	0.0128993	0.00787387	0.0171361	0.0106411	0.0128071	0.0112481	0.00983803	0.0145025	0.0103055	0.0179979	0.0215277	0.0165927	0.0211644	0.0423096	0.0376302	0.0198997	0.0301563	0.0384007	0.0585363	0.033358	0.0255521	0.020481	0.0172625	0.021309	0.0201833	0.0228364	0.0184769	0.0165505	0.0114645	0.0205556	0.0222145	0.0633236
donné	0.0540152	0.0407956	0.0286887	0.0169934	0.00566753	0.00630081	0.0112362	0.00759992	0.00798254	0.0074622	0.0048028	0.00541001	0.00596175	0.00894432	0.00794786	0.00882765	0.00856901	0.0102989	0.0133534	0.0143598	0.0216524	0.0196218	0.0222771	0.0323005	0.0382597	0.0591494	0.0557567	0.0699641	0.0364376	0.0513411	0.0431285	0.0238564	0.0169142	0.0209354	0.0164967	0.023619	0.011838	0.0137786	0.0144817	0.0134339	0.0200513	0.0295339	0.0699545
est	0.0792829	0.0716644	0.0363722	0.0287046	0.0195694	0.025819	0.0359127	0.0227145	0.0223458	0.026386	0.0121245	0.00988073	0.00807133	0.0118257	0.00982377	0.00927429	0.0148359	0.0126418	0.0125935	0.0176347	0.0246192	0.0260216	0.0259777	0.0257055	0.0373573	0.0412148	0.0189269	0.0223713	0.0111754	0.0208106	0.0142698	0.00826226	0.0045932	0.00719372	0.00871311	0.0150986	0.0126808	0.0166861	0.0256793	0.0219014	0.0237217	0.0304551	0.0690868
pourri	0.0281159	0.0212525	0.0102119	0.00862614	0.00651364	0.0105936	0.019366	0.0153911	0.019203	0.0154948	0.00604734	0.00932585	0.00799144	0.0154155	0.0116195	0.0134975	0.0156263	0.0138891	0.0197703	0.0156923	0.0165349	0.021385	0.0162768	0.0173271	0.0195059	0.0293502	0.031289	0.0348968	0.0252208	0.0334073	0.0354781	0.0238509	0.0208994	0.0180139	0.0207631	0.0291868	0.0251749	0.0394064	0.0358148	0.0250818	0.0447083	0.0379679	0.114816
car	0.0664106	0.056987	0.0388109	0.0223154	0.0146895	0.0123604	0.0109102	0.0110625	0.0113411	0.0141902	0.0125793	0.0124107	0.00956604	0.00988382	0.0068173	0.00557907	0.00657661	0.00602301	0.00700784	0.00647024	0.0130516	0.0126569	0.0133445	0.0157365	0.0234974	0.0349072	0.0358175	0.038515	0.0738916	0.066585	0.0559645	0.034411	0.0372708	0.0232928	0.0152579	0.0154282	0.00565698	0.00826396	0.0119115	0.0128549	0.0163433	0.0235279	0.0698214
il	0.0553399	0.0462795	0.039116	0.026673	0.0206008	0.0161197	0.0107356	0.0113501	0.0117048	0.0136601	0.0111859	0.00986443	0.00947635	0.00723561	0.00713984	0.00602676	0.00814418	0.00696315	0.00961159	0.00928594	0.0131992	0.0191808	0.0149252	0.0176183	0.0231384	0.02786	0.0312816	0.0348759	0.0489086	0.0558466	0.0568187	0.0413966	0.0402661	0.0396643	0.0225487	0.0253054	0.0175773	0.0157272	0.014603	0.011075	0.0166953	0.016751	0.0582236
