 	ó	p	o	o	y	á	b	í	s	í	e	s	y	ε	s	ε	é	d	í	b	v	e	r	é	b	á	m	í	á	</S>
dans	0.0148123	0.0152016	0.0148349	0.0152351	0.0158035	0.0242755	0.0363874	0.04348	0.0535785	0.0599264	0.0696717	0.112862	0.0890127	0.0437209	0.040174	0.025217	0.0289157	0.0287662	0.0279223	0.0243765	0.0185617	0.0137262	0.017588	0.0133126	0.0194425	0.0258377	0.0276189	0.0283439	0.0320627	0.0193316
notre	0.0496864	0.0256305	0.024351	0.0221895	0.0188081	0.0190182	0.0105018	0.0110784	0.0208653	0.083025	0.158812	0.186516	0.0606256	0.0525636	0.0258339	0.0481857	0.0398587	0.0459615	0.0191747	0.0136497	0.0126477	0.00588609	0.00475764	0.00277091	0.00768742	0.0114883	0.00365282	0.00311521	0.00549054	0.00616786
village	0.0219313	0.0225106	0.0188119	0.0115172	0.00757208	0.00534031	0.0181547	0.030763	0.0178123	0.0148553	0.0108234	0.0158029	0.0370017	0.0466764	0.0627643	0.0490688	0.0583045	0.0645116	0.0750021	0.0591938	0.0781094	0.0397071	0.0506585	0.0313749	0.0438784	0.0352156	0.0295938	0.0206207	0.0111917	0.0112316
les	0.0221495	0.0280338	0.0441178	0.0496783	0.0627064	0.060761	0.0458739	0.0507982	0.0392253	0.051742	0.0353778	0.0355316	0.0275809	0.0317156	0.0304364	0.0449707	0.0263558	0.0298861	0.0313741	0.0281701	0.0311362	0.0191029	0.0261632	0.0260204	0.0229993	0.0164844	0.01615	0.0136128	0.0181728	0.0336725
feuilles	0.0628024	0.0802722	0.0899738	0.0802746	0.0657232	0.0390949	0.0231977	0.0170821	0.0202934	0.0214619	0.0109125	0.0100942	0.00790608	0.00671412	0.00877892	0.0042594	0.00806617	0.00461883	0.00990467	0.00556687	0.0154193	0.00995326	0.0122675	0.0277915	0.0412177	0.0493384	0.0645601	0.0475469	0.0484689	0.106438
de	0.026497	0.0311491	0.0250587	0.0260051	0.031253	0.0369369	0.034478	0.0186624	0.0106953	0.0117105	0.0115485	0.0106137	0.0252273	0.0311327	0.0469817	0.0540395	0.0571925	0.0510576	0.0544726	0.0382339	0.0457256	0.0276839	0.0217138	0.0259606	0.0367541	0.0356465	0.0418542	0.035698	0.0396538	0.0563637
l'	0.0595482	0.0472642	0.0440145	0.0472122	0.0486962	0.0487389	0.0346887	0.015947	0.01692	0.020625	0.0150891	0.014155	0.0164745	0.0278984	0.0323276	0.0258648	0.0281191	0.0287736	0.0234719	0.0183621	0.0194395	0.0167024	0.0164075	0.0186263	0.0224701	0.0363945	0.0397518	0.0548964	0.0534583	0.107662
arbuste	0.0486862	0.0309567	0.0233174	0.0255835	0.023772	0.0151391	0.0103115	0.00984923	0.0122951	0.0119405	0.0140303	0.0166275	0.0267234	0.0195884	0.0303967	0.0238249	0.029807	0.0261583	0.0256281	0.0243059	0.0236085	0.0368155	0.0425276	0.0529085	0.0635494	0.0584034	0.0627555	0.0687789	0.0633485	0.0783627
esyese	0.0339533	0.0351614	0.0278076	0.0346862	0.0362668	0.0403576	0.0198674	0.0110507	0.00944073	0.00867358	0.00862225	0.00707342	0.0156887	0.0193089	0.0361908	0.0160688	0.0275863	0.0210445	0.0336641	0.0223509	0.0346482	0.0336818	0.03178	0.0449991	0.0640478	0.0560749	0.0497726	0.0492835	0.0491993	0.121649
sont	0.0365847	0.0277065	0.0242171	0.0226621	0.0194117	0.016501	0.00487606	0.00280969	0.00302857	0.00393492	0.00557572	0.00770751	0.00857303	0.0149875	0.017317	0.0221625	0.0251789	0.0237081	0.0299517	0.0362634	0.0351758	0.0561913	0.0496615	0.0598071	0.0553405	0.0701011	0.0748606	0.0771323	0.0801697	0.0884026
utilisées	0.0693863	0.04206	0.0280888	0.0221597	0.015247	0.00911267	0.00317361	0.00224716	0.00200377	0.00198854	0.00136848	0.00311686	0.00401719	0.00579254	0.00666687	0.00744437	0.00952157	0.0146765	0.0170531	0.0247259	0.0348391	0.0620457	0.04193	0.085328	0.0743408	0.0815372	0.0879715	0.0549666	0.0669046	0.120286
pour	0.05517	0.029905	0.0197901	0.0143446	0.0108659	0.00812907	0.00365421	0.00141421	0.00165553	0.0028216	0.00365854	0.00489969	0.00530147	0.0157818	0.0227748	0.0344319	0.0501083	0.0512084	0.0547847	0.056215	0.0557213	0.0572069	0.0618483	0.0864046	0.0662818	0.0448975	0.0415735	0.0345404	0.0517917	0.0528189
guérir	0.0403152	0.0318758	0.0333118	0.0295642	0.024485	0.0177284	0.00979429	0.00623587	0.00785202	0.0100099	0.0117437	0.00936047	0.00827713	0.0111368	0.0145656	0.0137701	0.0174194	0.0291822	0.0355557	0.043473	0.0526617	0.051998	0.0516193	0.0445922	0.0396652	0.052112	0.0737817	0.0760282	0.0654982	0.0863868
les	0.0769325	0.052168	0.05104	0.0439217	0.0325016	0.0241948	0.0160939	0.0113366	0.0135639	0.0136395	0.0117946	0.0107588	0.0107733	0.0126887	0.0167359	0.0141223	0.017171	0.0247093	0.0284655	0.0444579	0.0434152	0.0496759	0.0400314	0.0452578	0.0294945	0.0407401	0.0457207	0.0488406	0.0507692	0.0789848
brûlures	0.0609571	0.0273453	0.0214222	0.0138801	0.0061012	0.00452946	0.00322193	0.00223248	0.00230966	0.0042187	0.00739335	0.0103107	0.0131685	0.0250398	0.0223896	0.0385048	0.0400197	0.0438691	0.0369669	0.052154	0.040577	0.0426755	0.0327366	0.0317074	0.0286861	0.0471532	0.0611084	0.0856854	0.0692244	0.124411
</S>	0.0389069	0.0280692	0.0250834	0.0205804	0.0197275	0.0195686	0.0152026	0.00881375	0.00950253	0.00970817	0.00820554	0.00807813	0.00915332	0.013044	0.0161549	0.0141247	0.0170969	0.0254743	0.0307505	0.0379938	0.03713	0.0482173	0.0401159	0.050018	0.0426841	0.0614701	0.066185	0.0720732	0.0833494	0.123518
