 	n	g	ó	o	á	b	έ	r	i	m	w	á	n	a	i	b	h	έ	ε	t	s	í	n	a	á	d	u	m	u	i	s	í	m	á	</S>
la	0.118592	0.0349242	0.0189024	0.0113143	0.00382697	0.00549202	0.00592978	0.00555696	0.00771938	0.02035	0.0148092	0.0241729	0.0286319	0.0119083	0.0393748	0.0394422	0.0978757	0.0672564	0.0352567	0.0316919	0.033922	0.0149493	0.0116702	0.0178039	0.0183386	0.0191407	0.0256677	0.031741	0.0297597	0.0325695	0.0318529	0.0309095	0.0281953	0.02606	0.0243919
mère	0.418462	0.173456	0.119047	0.0673514	0.0387693	0.0374085	0.0374142	0.0604048	0.0195354	0.00397686	0.00877884	0.00326995	0.00136842	0.000298591	8.84663e-05	4.90214e-05	6.9443e-05	0.000118754	0.000128591	0.00011596	0.00034592	0.000516663	0.000356211	0.000255314	0.000452416	0.0009356	0.00100868	0.00128789	0.00101858	0.00130707	0.000726131	0.000810655	0.000343996	0.000401249	0.00012203
a	0.0139114	0.0204895	0.0372455	0.0440858	0.0168783	0.0185586	0.037725	0.0332	0.0374735	0.0411853	0.0723629	0.0454252	0.0150457	0.0155254	0.0283562	0.0391173	0.0950736	0.0645991	0.0222117	0.0223382	0.017936	0.0078874	0.00819255	0.00886625	0.00695715	0.00962598	0.0177292	0.0300211	0.0477749	0.0366451	0.0169393	0.0140784	0.0187176	0.0247086	0.0131122
donné	0.0247591	0.015649	0.0176024	0.0265451	0.0212486	0.0260112	0.0283527	0.0385708	0.0284333	0.0285124	0.0230316	0.020319	0.0154256	0.0218161	0.0370651	0.0318129	0.021731	0.035837	0.0290482	0.0381283	0.0298154	0.0205989	0.0227655	0.026557	0.0100046	0.0115065	0.0174456	0.03246	0.0273272	0.0535246	0.045661	0.042484	0.0330892	0.0398206	0.0570406
une	0.0289495	0.0211071	0.0181711	0.0232653	0.0221333	0.0217595	0.0199369	0.0314894	0.0284977	0.0269047	0.034356	0.0217103	0.0143368	0.0178453	0.0189719	0.0168502	0.0181666	0.0197073	0.0364365	0.0534421	0.0272267	0.035417	0.0251836	0.0185499	0.0333145	0.0323672	0.0452884	0.0515554	0.0334542	0.0415022	0.0403515	0.0312322	0.0233999	0.0220484	0.0450713
fessée	0.0154314	0.0109682	0.0104114	0.0137653	0.0127802	0.0130499	0.0118935	0.0160881	0.0163667	0.0227575	0.0156685	0.0160543	0.0199882	0.0150026	0.0310464	0.0190886	0.0204684	0.0260049	0.028074	0.0325962	0.0340537	0.0362919	0.0283318	0.0270716	0.0229786	0.0294283	0.0360864	0.0590146	0.0567469	0.0795697	0.0631911	0.0509353	0.0291315	0.0397012	0.0399632
à	0.0170837	0.0117439	0.0110851	0.0156801	0.014289	0.0129912	0.0145093	0.0162084	0.0159656	0.0137887	0.0281239	0.0171672	0.0115701	0.0316879	0.0210946	0.0146706	0.0228592	0.0199581	0.0365686	0.035215	0.0285907	0.0386247	0.0634109	0.0492776	0.0179512	0.0279513	0.0377507	0.0541529	0.0474477	0.0532517	0.0404009	0.035087	0.0374208	0.039611	0.0468106
son	0.0156784	0.0104737	0.0102425	0.0173097	0.0125955	0.0126853	0.0140502	0.0165732	0.0225246	0.0211174	0.033924	0.0218318	0.0234521	0.0263722	0.0445556	0.0274236	0.0451316	0.0411843	0.0632941	0.0452601	0.0447974	0.0497182	0.0415264	0.0333588	0.021967	0.0256448	0.0341736	0.0210055	0.0255247	0.016194	0.0144695	0.0206	0.0209514	0.0324	0.0719888
fils	0.0362034	0.0264176	0.018971	0.017119	0.0179652	0.0168128	0.0186182	0.0224424	0.022205	0.0181812	0.029449	0.0201754	0.0212858	0.0428404	0.0323075	0.0211305	0.034543	0.0352839	0.0619524	0.0383803	0.0468645	0.067184	0.040082	0.0244395	0.00758851	0.00715762	0.0084407	0.00509972	0.00656623	0.00686406	0.00671981	0.0145882	0.0193377	0.0555798	0.131204
car	0.0199602	0.0185024	0.0193113	0.0201472	0.0124032	0.0116726	0.00899077	0.0105135	0.00870366	0.012053	0.0129521	0.00882573	0.00822491	0.0200232	0.0281656	0.0236349	0.0295754	0.0375127	0.0538829	0.0413396	0.0352819	0.0430384	0.0480354	0.0593468	0.0301965	0.0305246	0.0263304	0.0227628	0.0242565	0.0280625	0.0220283	0.02651	0.0404756	0.0471043	0.109651
