 	m	b	ω	ώ	l	á	a	w	á	m	ó	p	ó	s	á	b	á	n	a	</S>
le	0.0138565	0.0187318	0.0211094	0.0275669	0.0244617	0.0526419	0.0766747	0.0434075	0.0560541	0.082369	0.105293	0.0904385	0.0539606	0.0518311	0.0767987	0.0490151	0.0583604	0.0430509	0.0305793	0.0237985
tilapia	0.0499983	0.219987	0.200907	0.184963	0.111302	0.0547599	0.0322178	0.0293382	0.0220142	0.044244	0.0261042	0.00665012	0.00609015	0.00298731	0.00367293	0.00179458	0.00179069	0.000498362	0.000444334	0.000235862
meurt	0.0188804	0.0370095	0.0513876	0.0583208	0.0762932	0.0750162	0.0491945	0.058737	0.0566511	0.0435462	0.055225	0.0890994	0.0748273	0.0578836	0.0706777	0.0299066	0.0393715	0.0270739	0.0196073	0.011291
à	0.065438	0.0544786	0.0653361	0.0555132	0.0492599	0.0334656	0.0216855	0.0290283	0.0245148	0.0103743	0.0153753	0.0413009	0.0376665	0.0565667	0.0421664	0.0417275	0.0664734	0.069052	0.0661394	0.154438
cause	0.0507575	0.0627632	0.104522	0.0912429	0.0663771	0.0580175	0.0367367	0.0285825	0.0281575	0.0187901	0.0133319	0.0186581	0.0174289	0.0313898	0.0308554	0.0391619	0.0384641	0.0436889	0.0477373	0.173337
de	0.0872142	0.11019	0.0789612	0.0685828	0.0533009	0.0423032	0.0247245	0.0222237	0.0191775	0.0180099	0.0172108	0.0166057	0.0150892	0.0256164	0.0277677	0.0395632	0.0397433	0.0411418	0.0490304	0.203544
son	0.0906054	0.102452	0.0723282	0.065783	0.0603396	0.0365196	0.0212599	0.023496	0.0200741	0.0174457	0.0238614	0.0277805	0.0285437	0.0358205	0.0359464	0.0436428	0.0429715	0.0478549	0.04905	0.154224
amour	0.114422	0.0698393	0.0491127	0.04273	0.0354212	0.0191905	0.0131733	0.0083595	0.0076489	0.0108147	0.0298613	0.0150343	0.0183169	0.0207677	0.0271266	0.0135383	0.0308704	0.0522879	0.0630012	0.358483
pour	0.0560587	0.0326071	0.0288828	0.0305615	0.0319857	0.0186277	0.014658	0.00964648	0.0145793	0.013957	0.0195717	0.0500827	0.0554855	0.0692535	0.0538375	0.0316827	0.0553048	0.115782	0.106219	0.191216
ses	0.0936766	0.0673932	0.0638136	0.0482565	0.0321475	0.0121286	0.0104864	0.013752	0.00840508	0.00799263	0.0128781	0.0235797	0.0173045	0.0331147	0.0501676	0.0503693	0.0811881	0.108386	0.115916	0.149044
enfants	0.0560738	0.0485343	0.047423	0.0403464	0.0250731	0.0103307	0.00783788	0.00755557	0.00712779	0.00768048	0.0130894	0.0200306	0.0113841	0.0142573	0.0276305	0.0262315	0.0811795	0.133134	0.163407	0.251673
</S>	0.0672605	0.0391118	0.037162	0.0271495	0.0225269	0.0160825	0.012925	0.0138668	0.0106023	0.0084565	0.0161836	0.0434122	0.0534171	0.0435796	0.0624727	0.0810924	0.064872	0.0836259	0.106523	0.189678
