 	l	l	ε	n	g	έ	í	m	i	y	a	á	l	a	n	d	z	a	m	b	é	s	á	p	o	o	b	h	á	</S>
les	0.0126592	0.0058167	0.00509669	0.00977018	0.00470182	0.0111195	0.0134485	0.0151654	0.0406647	0.0335747	0.0411412	0.0774947	0.099765	0.156872	0.0830236	0.0565417	0.024939	0.026929	0.0329917	0.0334044	0.0411692	0.0222524	0.0285732	0.0212561	0.0225063	0.0185836	0.0225078	0.0137752	0.013673	0.0105832
jeunes	0.0650402	0.0567332	0.0854329	0.0596924	0.0514075	0.0532951	0.0420993	0.046727	0.0416539	0.0282251	0.0302771	0.0347751	0.046721	0.0548319	0.0461411	0.054473	0.025497	0.0196006	0.0239049	0.0190552	0.0170356	0.0249669	0.0218082	0.0121737	0.010637	0.00806163	0.00885056	0.00572278	0.00340546	0.00175457
gens	0.0371637	0.0366235	0.045182	0.0739437	0.0525938	0.0347916	0.0458294	0.0480638	0.0592355	0.0503607	0.0459796	0.0390658	0.0286382	0.0193631	0.0111755	0.0151336	0.0172982	0.0217621	0.0318466	0.0425509	0.0334159	0.0339945	0.0408518	0.0259879	0.0302477	0.0310814	0.0159603	0.0129876	0.00969008	0.00918154
ont	0.0241349	0.0288051	0.0409704	0.039358	0.0322953	0.030114	0.0279154	0.0335985	0.0421014	0.0386537	0.0287503	0.0244932	0.0220841	0.0193658	0.01765	0.0151799	0.0294248	0.0247756	0.0338341	0.0323877	0.0344047	0.0510289	0.0476189	0.0485055	0.0563039	0.0449574	0.0349322	0.0238699	0.03229	0.0401961
implanté	0.0362805	0.0255688	0.0279833	0.025779	0.0294176	0.0314411	0.0304975	0.030249	0.0310636	0.0301294	0.0338932	0.0357232	0.0394783	0.0350937	0.0375107	0.034661	0.0451823	0.0349976	0.0243487	0.0194233	0.0136359	0.0211792	0.0229329	0.0229554	0.0270752	0.0318161	0.0379679	0.0442083	0.0606712	0.0788363
une	0.0222091	0.0202881	0.0290645	0.0424048	0.0439886	0.0461521	0.0425646	0.0399111	0.0317408	0.031404	0.0467612	0.0413968	0.0378028	0.0227595	0.0248503	0.0248829	0.0219691	0.0183815	0.0156222	0.0162456	0.0138634	0.020291	0.0248006	0.0309524	0.0426338	0.0463047	0.0430146	0.042937	0.0538675	0.0609354
église	0.020049	0.0203722	0.0171447	0.019085	0.0192389	0.0214248	0.0226907	0.0204582	0.0211229	0.0262419	0.0243066	0.0243757	0.0217545	0.0183576	0.0168505	0.0151678	0.0245184	0.0242664	0.0393899	0.0463614	0.0407461	0.0457411	0.0493751	0.0499358	0.0431105	0.0488055	0.0413857	0.0546983	0.0617446	0.10128
ici	0.0327911	0.0401269	0.0242035	0.0300488	0.0333075	0.0480344	0.0442521	0.0520801	0.0639336	0.0680988	0.0633512	0.0446574	0.0312162	0.0198928	0.0164103	0.00992882	0.0104077	0.00773676	0.00766332	0.00616265	0.00951542	0.0157511	0.0122649	0.0183737	0.0171529	0.0260027	0.0223304	0.0344481	0.0440196	0.145837
dans	0.0431131	0.0389493	0.0303846	0.0305706	0.0323746	0.0386126	0.0235378	0.0224341	0.0219378	0.025175	0.0304263	0.023345	0.021166	0.0163676	0.01368	0.00941403	0.0110009	0.0110094	0.0182492	0.0168971	0.0268964	0.039377	0.0329638	0.0488983	0.0465208	0.0495086	0.0439043	0.0685838	0.0668178	0.0978845
le	0.065581	0.0608677	0.038753	0.0275151	0.0270169	0.0233453	0.0144843	0.015625	0.0191216	0.0253464	0.0309697	0.0221648	0.0111708	0.00649378	0.0096185	0.0102913	0.0131814	0.0139298	0.0193455	0.0153057	0.0278651	0.0462841	0.0367456	0.0472791	0.0386117	0.0397327	0.038093	0.0534301	0.0663113	0.13552
village	0.0369194	0.0256546	0.0184422	0.0160976	0.0139347	0.0137383	0.010838	0.0120983	0.00984059	0.00955951	0.00836566	0.00661666	0.00726232	0.0113031	0.0235059	0.031204	0.0367023	0.040277	0.0498724	0.0356252	0.0563346	0.0501579	0.038629	0.0420378	0.0390521	0.0256615	0.0343611	0.0623178	0.0685404	0.16505
</S>	0.0935939	0.0694253	0.0398502	0.0278072	0.0286288	0.0259379	0.0127212	0.0117518	0.010002	0.0103614	0.00713811	0.00503787	0.00408546	0.00446247	0.00572226	0.00674025	0.013687	0.016425	0.0314772	0.025838	0.0410351	0.044171	0.028833	0.0291165	0.0308624	0.0394889	0.0408582	0.0641292	0.0926396	0.138173
