 	a	t	u	é	m	á	m	b	v	á	n	d	é	m	á	a	b	ω	έ	s	á	k	ώ	t	s	í	n	a	b	a	r	e	á	d	i	í	m	á	a	o	d	z	á	a	k	a	á	</S>
les	0.117516	0.0830256	0.0468678	0.0331884	0.0284964	0.0477077	0.0385329	0.0333405	0.0339727	0.038077	0.0411715	0.0386274	0.0442977	0.0318492	0.0332195	0.0237369	0.0106537	0.00849143	0.00286779	0.00374929	0.00222851	0.00223729	0.00384938	0.00383805	0.0044202	0.00559612	0.006785	0.00463859	0.0041105	0.00389887	0.00301771	0.00305025	0.00334545	0.00405919	0.00476164	0.00401296	0.00620484	0.00439854	0.00780807	0.00844557	0.016	0.0218173	0.0255538	0.029924	0.0189007	0.0184012	0.024234	0.0150727
champignons	0.0213968	0.0288125	0.0352314	0.0774608	0.0566894	0.0873397	0.0592262	0.0680409	0.0233702	0.026081	0.0213613	0.0263336	0.0238729	0.0143001	0.0279162	0.0109531	0.00738813	0.00617544	0.00194984	0.00281529	0.001533	0.00468125	0.00370264	0.00538576	0.0102853	0.00627238	0.00796345	0.0104839	0.00830457	0.0131898	0.00483187	0.0130642	0.0177664	0.0142846	0.0227353	0.0199214	0.0237744	0.0223704	0.0154416	0.017069	0.0181197	0.0154867	0.0337967	0.0273376	0.011945	0.0108405	0.00918949	0.00350817
mous	0.0185508	0.0249285	0.0399706	0.0344316	0.0434983	0.03138	0.0389652	0.0499948	0.0474314	0.0567931	0.0487454	0.039992	0.0469371	0.0441833	0.0255502	0.0226533	0.0115983	0.0149847	0.0157917	0.00962024	0.00659113	0.00427089	0.00435614	0.0052233	0.00429641	0.00437375	0.00415118	0.00403924	0.00567631	0.0083773	0.0060951	0.00519244	0.00637395	0.00623524	0.0113002	0.007013	0.00682794	0.00850454	0.0108733	0.0199102	0.0305905	0.0245048	0.0485727	0.0403433	0.0205945	0.0166761	0.00977547	0.00326072
pourrissent	0.0178412	0.0208448	0.0261796	0.0427877	0.0397247	0.0308347	0.0280259	0.0267057	0.0271895	0.0298752	0.0379246	0.0194097	0.0179341	0.0177655	0.0118776	0.0105837	0.0124153	0.00951288	0.00848675	0.00844178	0.00666321	0.00547178	0.00401756	0.00371129	0.00739299	0.00472203	0.00569019	0.00739808	0.00733873	0.0186888	0.0143254	0.0118616	0.0104993	0.0148517	0.0174203	0.0160243	0.0207146	0.0221795	0.0314189	0.0396111	0.043672	0.0472278	0.0302278	0.0346678	0.0250011	0.0342742	0.0330178	0.0375487
dans	0.0230862	0.0231614	0.0206257	0.0209831	0.022256	0.0208903	0.0215332	0.0201416	0.0201722	0.0191181	0.0186485	0.0162111	0.0165207	0.0178796	0.0148382	0.0138601	0.0231961	0.0168004	0.0250881	0.0224215	0.0223384	0.0167436	0.0176468	0.0163739	0.0159937	0.0128177	0.0172466	0.0210626	0.0125918	0.0298271	0.0244867	0.0202364	0.0216335	0.0284592	0.026844	0.0230493	0.0247143	0.0324519	0.0204996	0.0202551	0.0170892	0.0171065	0.0157603	0.0182736	0.0134642	0.0177519	0.0250969	0.0527531
la	0.0202484	0.0171085	0.012305	0.011616	0.0172118	0.0140733	0.0163437	0.0129575	0.0201626	0.0169678	0.0214129	0.0224621	0.0233205	0.0241265	0.0221412	0.023909	0.0242147	0.017541	0.03094	0.0195784	0.021086	0.0167305	0.0216434	0.0245405	0.018759	0.0202651	0.0293371	0.0308298	0.0261569	0.040769	0.0306401	0.0253773	0.0291772	0.0255226	0.0284569	0.0181005	0.0162829	0.0239472	0.0140294	0.0116799	0.0110817	0.0121788	0.0132709	0.0131831	0.0153099	0.0155503	0.0197131	0.0377398
forêt	0.0133511	0.0091702	0.00706097	0.0052966	0.011383	0.0148167	0.0193118	0.0207653	0.0204642	0.0209713	0.018224	0.0163738	0.0146084	0.0155215	0.0116059	0.0146735	0.0181035	0.0218072	0.0225479	0.0284801	0.0310982	0.0279252	0.0330546	0.0302979	0.0278197	0.0372627	0.0379866	0.0477592	0.0378813	0.0331359	0.0291094	0.0260142	0.038789	0.0348719	0.0386683	0.0269761	0.0188066	0.0111924	0.00657606	0.00598145	0.00514127	0.00601374	0.00566347	0.00484493	0.00588278	0.00662057	0.0185673	0.0415223
car	0.00695956	0.00678362	0.00775027	0.00606201	0.00787786	0.00925128	0.0103207	0.0104045	0.00762923	0.00891058	0.00646894	0.00519071	0.0048326	0.00508343	0.00395158	0.00719281	0.0100559	0.0147138	0.0190995	0.0269797	0.0349629	0.0282739	0.0347737	0.0281805	0.0547387	0.0310624	0.0311884	0.0420147	0.0396075	0.0454475	0.0536307	0.0383967	0.0315203	0.038219	0.0348652	0.0230138	0.0207604	0.0233771	0.0209371	0.00868814	0.010267	0.0177096	0.00761496	0.00722967	0.00665287	0.0170811	0.0338168	0.0504508
ils	0.0138978	0.0103923	0.0109041	0.0131276	0.016252	0.0127314	0.0129939	0.0116246	0.0106472	0.015713	0.0118098	0.00925934	0.00581157	0.00663545	0.00522663	0.00821837	0.0119698	0.0206184	0.0330202	0.0383176	0.0406999	0.0207114	0.0258109	0.0177029	0.0488844	0.0182443	0.0278981	0.0312572	0.0313904	0.0301641	0.0506975	0.0336701	0.0254023	0.0233383	0.0234721	0.0172793	0.0153888	0.0243103	0.0231369	0.0184046	0.0210513	0.0226042	0.0132469	0.0132418	0.0140231	0.0212518	0.0230645	0.0444818
sont	0.0627631	0.0386786	0.0190546	0.0151692	0.0108891	0.00746604	0.00720735	0.00544105	0.00359995	0.00361665	0.00284171	0.00380728	0.00387491	0.00493717	0.00440712	0.0155333	0.0186889	0.0236602	0.0254528	0.0263124	0.0292204	0.0258892	0.0279093	0.0256179	0.0298043	0.0237283	0.0308042	0.0315054	0.0285607	0.0281958	0.0269597	0.029199	0.0259518	0.03001	0.023832	0.0256112	0.0211763	0.0270882	0.0192501	0.0122524	0.0158941	0.0199205	0.0100933	0.00895039	0.00922832	0.0199546	0.0274323	0.0625587
incomestibles	0.0334778	0.0268445	0.0221241	0.0187911	0.0119306	0.00806999	0.00678574	0.0046129	0.00379909	0.00395232	0.00312874	0.00335627	0.00479177	0.00572008	0.00506526	0.0122503	0.0155813	0.016362	0.0207996	0.0204321	0.0238915	0.0236603	0.0290685	0.0270782	0.0275094	0.0272325	0.0335336	0.0323123	0.0297215	0.0326064	0.0315075	0.0324975	0.0379769	0.0331028	0.0264707	0.0308266	0.0233581	0.0301903	0.0137382	0.0109494	0.0111267	0.0137337	0.0175259	0.016401	0.0184975	0.0315943	0.0320192	0.0539938
</S>	0.0212709	0.0184054	0.0163596	0.0149477	0.0141564	0.0109117	0.00969869	0.00606885	0.00334447	0.00440956	0.00365831	0.00246231	0.00271403	0.00302645	0.00189008	0.00516258	0.00880649	0.0159	0.0227448	0.0304242	0.0401414	0.0318401	0.0367548	0.024935	0.0568654	0.0185997	0.0436936	0.033295	0.024461	0.03679	0.0385133	0.0427852	0.0256464	0.0333427	0.0216435	0.0241092	0.0184514	0.0275353	0.0149773	0.0145018	0.0160546	0.0171226	0.01433	0.0160941	0.013716	0.0261865	0.0235682	0.0476832
