 	b	á	n	a	b	á	n	d	z	é	s	i	b	ó	b	á	a	p	f	u	r	á	m	í	á	s	á	k	ώ	k	á	a	b	á	n	g	a	l	á	b	á	a	</S>
les	0.0352304	0.055366	0.0531533	0.046915	0.0247598	0.0176043	0.0102309	0.0119682	0.0149309	0.0297582	0.0193386	0.0401886	0.0540472	0.0866667	0.12634	0.0802777	0.0452557	0.0135117	0.0149793	0.00566202	0.00704836	0.00344536	0.00476138	0.00359599	0.00469583	0.00494355	0.00524714	0.00631722	0.00692225	0.00633905	0.00736926	0.00539733	0.00620222	0.00873983	0.0110326	0.00951983	0.0121808	0.0122647	0.0123696	0.0261068	0.0214469	0.015679	0.0121906
petits	0.0726993	0.0917011	0.0709336	0.0807712	0.0624035	0.0461765	0.0594152	0.0318293	0.0320313	0.0395374	0.0296945	0.0248244	0.0188929	0.0184689	0.0205474	0.0304949	0.0248325	0.00920192	0.0126961	0.00657709	0.00505088	0.00655163	0.00520255	0.00439966	0.00534055	0.00681899	0.00806149	0.00612734	0.00336965	0.0050424	0.0106297	0.0129563	0.0109444	0.010238	0.00965822	0.00945366	0.0219773	0.0121556	0.0131454	0.0218031	0.0118175	0.00846279	0.0070639
enfants	0.048688	0.0486444	0.057547	0.0717355	0.0399527	0.0532816	0.0166126	0.0209357	0.0207252	0.023152	0.0128787	0.0147459	0.00604418	0.0095738	0.00594014	0.00869763	0.00917223	0.0209286	0.0229927	0.0330028	0.024138	0.02569	0.0223778	0.0196723	0.0172982	0.015151	0.0266813	0.0298748	0.0158911	0.0265143	0.024458	0.0205482	0.0183479	0.0173208	0.0164218	0.0234515	0.0212457	0.01091	0.0162674	0.0295423	0.010651	0.0122673	0.010028
sont	0.0295173	0.0258388	0.0368583	0.0355466	0.0267184	0.0207545	0.0223419	0.018209	0.0195846	0.0242599	0.0262887	0.0300383	0.0336158	0.032122	0.0225722	0.0228006	0.0225067	0.0255056	0.0244468	0.0264431	0.0282275	0.029444	0.0217089	0.0294911	0.0276316	0.0279443	0.0280223	0.023266	0.0200368	0.0196375	0.025386	0.0151233	0.0156746	0.00561674	0.00723162	0.005318	0.0194905	0.0144107	0.00630396	0.0210146	0.00898547	0.0233979	0.0506676
en	0.0263937	0.0199172	0.0205841	0.0156696	0.0188426	0.021509	0.0219778	0.0322992	0.0303362	0.0331052	0.0452783	0.0385214	0.0432626	0.0398679	0.0332328	0.0298639	0.0328026	0.0319239	0.039081	0.0451234	0.0470239	0.0418039	0.0374736	0.0534043	0.021374	0.0266421	0.0299037	0.0128899	0.00632581	0.00630818	0.00526006	0.00443296	0.00414302	0.00701997	0.00819215	0.0075449	0.005305	0.00322397	0.00344599	0.00611212	0.00362515	0.014243	0.0247102
train	0.0363123	0.0277089	0.0213465	0.0217232	0.0234649	0.0302588	0.023765	0.0351349	0.0257306	0.0241811	0.0297768	0.0217667	0.0138416	0.0168252	0.0151824	0.0225161	0.0230589	0.0310123	0.0586841	0.0537305	0.0477292	0.0436513	0.0415099	0.0351648	0.0281392	0.0362439	0.0276353	0.0226364	0.0144919	0.00808342	0.00514701	0.00630376	0.00875454	0.0117429	0.0109456	0.00788135	0.00492297	0.00359174	0.00431041	0.0079056	0.00551909	0.0227353	0.0389339
d'	0.0314017	0.0150385	0.0067564	0.0119319	0.0104472	0.0257275	0.0153415	0.0208424	0.0102634	0.0134813	0.0138719	0.0182688	0.00894451	0.0092744	0.00800882	0.0126961	0.0143938	0.0355993	0.0437405	0.0492346	0.0480378	0.047338	0.0348413	0.0326449	0.0382784	0.0371661	0.0380955	0.0445513	0.0489288	0.0294573	0.0206982	0.0323321	0.0227131	0.0218326	0.0146877	0.0117991	0.00978201	0.0120825	0.00566418	0.00708272	0.00897293	0.0155008	0.0422481
allumer	0.0673542	0.0260473	0.0197835	0.0158048	0.0181455	0.0185429	0.0155355	0.012323	0.00733444	0.00597642	0.00509426	0.00480526	0.00450233	0.00540768	0.00645906	0.00827868	0.0105212	0.0136807	0.0252617	0.0319373	0.0388755	0.0423234	0.0400448	0.0457168	0.0504091	0.0575851	0.0539899	0.0454372	0.0385209	0.0376545	0.0283298	0.0319709	0.01304	0.0111594	0.00922592	0.010355	0.0122602	0.0171723	0.013299	0.0184309	0.0166007	0.0206956	0.0241072
le	0.01071	0.00628146	0.00491785	0.00530867	0.00630158	0.00973761	0.00922553	0.0097532	0.00525732	0.00517794	0.00511051	0.00561661	0.0033678	0.00363584	0.00342498	0.00429549	0.00437756	0.0105969	0.0208677	0.0344201	0.037745	0.0578389	0.0603196	0.0660916	0.0656239	0.0662679	0.071633	0.05795	0.0790699	0.056637	0.040128	0.0383751	0.0213353	0.00693695	0.00700647	0.0051077	0.00472444	0.00871258	0.0071875	0.00965204	0.0110417	0.0139678	0.0382631
feu	0.0252679	0.0141653	0.0145469	0.00932226	0.00776134	0.00775238	0.00693289	0.00700735	0.00841466	0.00798193	0.0094809	0.00816423	0.00829801	0.00775134	0.00635079	0.00736107	0.0107908	0.0103916	0.010736	0.0129909	0.0221384	0.0214234	0.0152666	0.0292803	0.0325568	0.0327087	0.0487048	0.0260019	0.0375275	0.037632	0.0303307	0.0277684	0.0148084	0.0179479	0.0209201	0.0248083	0.0235227	0.0351717	0.0332859	0.0507384	0.0592106	0.0549333	0.101845
dans	0.0372053	0.0148476	0.0152847	0.012315	0.0157631	0.0135781	0.0181402	0.00757757	0.00846613	0.00577778	0.00540991	0.0051557	0.0048728	0.00467042	0.00401569	0.00371725	0.00485558	0.0092311	0.0223805	0.0304869	0.0259494	0.0402824	0.0360334	0.0427521	0.0425506	0.0409612	0.0382638	0.0413915	0.0571913	0.0276293	0.0204421	0.0230272	0.032077	0.0203213	0.0290764	0.0232799	0.0221474	0.0298119	0.0151654	0.0248805	0.0202677	0.0392798	0.0634669
