 	n	g	á	i	d	í	l	a	p	ó	s	á	o	d	z	á	t	s	á	n	y	i	i	t	s	í	n	a	y	í	a	é	d	í	l	a	n	g	a	n	y	i	</S>
j'	0.0880379	0.310435	0.236821	0.105615	0.0662627	0.0388916	0.00820868	0.00476546	0.00229338	0.000925449	0.00186438	0.00284725	0.00402597	0.00531764	0.00499167	0.00422467	0.0040753	0.00466292	0.0041819	0.00428293	0.00386977	0.00364192	0.0036927	0.00438459	0.00735867	0.00910941	0.00799528	0.00577019	0.00684226	0.00585687	0.0054151	0.0046459	0.00391845	0.00285861	0.00295071	0.0032105	0.00266578	0.00258445	0.00252433	0.0022326	0.00184863	0.00207223	0.00182114
aime	0.0268936	0.00911891	0.00943062	0.0143948	0.0226942	0.0236051	0.0533233	0.0355418	0.0956692	0.123089	0.0837437	0.0694637	0.0510657	0.0429864	0.0206986	0.0269901	0.0270706	0.0164873	0.0216621	0.011296	0.0123866	0.0140292	0.0133834	0.0242481	0.0178937	0.0266071	0.00687189	0.0116027	0.00443941	0.00579281	0.00619897	0.00362714	0.00355676	0.00462299	0.0109805	0.011271	0.00621494	0.00589249	0.0094076	0.00569077	0.00296526	0.00282809	0.00426441
manger	0.0339728	0.026521	0.0293474	0.0326995	0.0426894	0.0313893	0.00988945	0.00901569	0.0137025	0.0141722	0.0152967	0.0172683	0.0181323	0.0195348	0.0318686	0.0216568	0.0136704	0.020134	0.00914013	0.0209851	0.0276318	0.0327518	0.0515187	0.0492685	0.0613042	0.0396676	0.0459261	0.0211415	0.0149668	0.0204251	0.0177098	0.0182977	0.0211123	0.0179714	0.0181279	0.0118726	0.0112339	0.0113619	0.0105285	0.0114245	0.0114955	0.013061	0.0301148
les	0.0435798	0.0725638	0.0476794	0.0447683	0.035362	0.0193815	0.00974795	0.00740233	0.00674101	0.0118655	0.00857269	0.0135243	0.013977	0.0166035	0.015948	0.011227	0.00851896	0.0167901	0.0114864	0.0119604	0.00746748	0.0110364	0.0136705	0.0173983	0.0167812	0.0111542	0.0195993	0.0161805	0.0222295	0.0244262	0.0255967	0.0330099	0.0344926	0.0244406	0.036871	0.0309189	0.0328498	0.0356361	0.0402593	0.0357826	0.0268961	0.0297632	0.0258401
légumes	0.00909938	0.0135718	0.0141564	0.0112089	0.00850373	0.00729035	0.00867873	0.012772	0.0107443	0.0222971	0.0145125	0.0216487	0.019763	0.0186653	0.0355183	0.0246753	0.0200771	0.0218676	0.0187523	0.0197169	0.0100395	0.00991613	0.00928254	0.00848158	0.0145807	0.018332	0.0265557	0.0347638	0.0345532	0.0359547	0.0422968	0.0304515	0.0385522	0.0230557	0.0329116	0.0321515	0.0256216	0.0265116	0.0409528	0.0359559	0.0296711	0.0515376	0.0543505
tsanyii	0.00758697	0.00607173	0.0049208	0.00733159	0.00617801	0.00566389	0.00809463	0.0184307	0.0211226	0.0301047	0.023506	0.0265322	0.0257203	0.0223053	0.0310754	0.0272163	0.0280111	0.024361	0.0159364	0.0153353	0.00987208	0.0173548	0.0135378	0.00773404	0.01755	0.017737	0.02883	0.030704	0.0385578	0.0344061	0.0319581	0.0308758	0.0314797	0.0260884	0.0254338	0.0251041	0.0288253	0.0288883	0.0368884	0.0353414	0.029968	0.0367521	0.0606078
car	0.0122996	0.00900421	0.00836773	0.0089082	0.007532	0.0076326	0.00980539	0.00885973	0.0127606	0.0203999	0.0225009	0.019275	0.021232	0.0182596	0.0330431	0.027946	0.02819	0.0338453	0.0285645	0.0726719	0.0638427	0.0367243	0.0456872	0.0223704	0.0267761	0.0276495	0.0161531	0.0129634	0.00668703	0.012101	0.00716718	0.00798386	0.0142629	0.00563324	0.0190729	0.0261437	0.0233613	0.0247879	0.0317206	0.0337927	0.0300175	0.0392321	0.0547709
ils	0.020175	0.00469025	0.00534662	0.00799955	0.00468235	0.00419611	0.00564625	0.00871567	0.0131683	0.0133676	0.0129753	0.0156009	0.0141474	0.010855	0.0170916	0.0137461	0.0193452	0.0247103	0.0160867	0.0393166	0.0344027	0.0534291	0.045843	0.0285044	0.0454616	0.0428827	0.0658827	0.0432306	0.0371854	0.0310848	0.0260252	0.0293336	0.0142614	0.0296846	0.0148502	0.0132577	0.0178802	0.0180808	0.0120579	0.021695	0.0295429	0.0248239	0.0487367
sont	0.0348105	0.028305	0.0218188	0.027658	0.0200758	0.0196734	0.00994464	0.00885167	0.011794	0.0141973	0.0129916	0.0149557	0.0120551	0.0125501	0.0148862	0.0160136	0.0185462	0.017328	0.0174613	0.0241996	0.0376424	0.0370534	0.0437442	0.027398	0.0313914	0.0302739	0.0219099	0.0186798	0.0102263	0.0154363	0.0132449	0.0137486	0.0122501	0.00874842	0.0138232	0.0198334	0.0181347	0.0290002	0.0335074	0.0469078	0.0440196	0.0549364	0.0599732
acides	0.0119125	0.0134721	0.0114785	0.0111413	0.00959959	0.00902495	0.00647798	0.00639381	0.00753821	0.0102907	0.0109223	0.0133035	0.0112552	0.0123043	0.0168529	0.0190467	0.0205853	0.0220834	0.0309096	0.044998	0.0393587	0.0282012	0.0304017	0.0225694	0.0281444	0.0235756	0.019746	0.0183195	0.0142196	0.0239048	0.0193665	0.0241868	0.0237356	0.012007	0.0266164	0.0326649	0.0248023	0.0283255	0.0336572	0.0476889	0.0427336	0.0733522	0.0628313
