 	o	l	á	m	b	i	á	p	é	n	d	i	s	i	o	k	w	á	s	á	b	e	a	</S>
la	0.0169882	0.0255031	0.024521	0.0303578	0.0435692	0.0412878	0.0337799	0.0193706	0.0187053	0.0212814	0.0201347	0.0242082	0.027778	0.0279253	0.0322513	0.0378022	0.0663636	0.0861363	0.0714863	0.0782393	0.0993942	0.0532368	0.0606203	0.0390593
cuisinière	0.014538	0.0112928	0.0107354	0.0127702	0.011572	0.0661263	0.0599382	0.144065	0.18822	0.107103	0.120395	0.0623866	0.0518972	0.0464555	0.0284638	0.0176962	0.0143141	0.01045	0.00544052	0.00292235	0.00586468	0.00394418	0.00167796	0.00173
a	0.0399643	0.0400877	0.0505101	0.0518517	0.0781662	0.147324	0.117763	0.116976	0.0592376	0.0136963	0.013403	0.0164774	0.0470296	0.091053	0.0295842	0.0216441	0.0158813	0.0138546	0.00724273	0.00709146	0.00740541	0.00495419	0.00553662	0.00326491
mis	0.0624709	0.119622	0.158072	0.120821	0.0737521	0.0533911	0.0279921	0.0200614	0.0194842	0.0279025	0.0136263	0.0254076	0.0270555	0.03063	0.0403052	0.0170769	0.0118473	0.0152715	0.0139609	0.0195494	0.0293516	0.0110064	0.0194165	0.0419255
trop	0.0776439	0.073134	0.0450701	0.0409951	0.0413618	0.0494647	0.0404196	0.0525677	0.0464459	0.0451694	0.0494721	0.0524461	0.0591885	0.0894886	0.0460452	0.0188305	0.0129961	0.0159105	0.0157974	0.0184107	0.0174208	0.0164951	0.0231274	0.052099
de	0.0199365	0.016939	0.0136657	0.0154595	0.014967	0.0316121	0.0235393	0.0344081	0.0510533	0.0768145	0.0566942	0.0571634	0.0635256	0.0632964	0.0746335	0.0507777	0.0303971	0.0317642	0.033699	0.0291108	0.0437612	0.0588212	0.0340653	0.0738956
sel	0.0671441	0.0573134	0.0414447	0.0401698	0.0305408	0.0334972	0.030468	0.0367364	0.0398754	0.0593363	0.02931	0.0304553	0.0257371	0.0230716	0.0390101	0.0273459	0.0142008	0.00894444	0.0145084	0.00774127	0.0285925	0.093526	0.0710815	0.149949
dans	0.114799	0.0700877	0.0574131	0.058085	0.0335158	0.0224316	0.0185565	0.0138203	0.0124401	0.0128892	0.00823352	0.00754535	0.00648054	0.00765045	0.0306939	0.0525313	0.0502174	0.0517135	0.0626415	0.031082	0.0495559	0.0594545	0.0702762	0.0978861
la	0.158526	0.0897701	0.0539132	0.0361144	0.0174154	0.0137328	0.011541	0.00813537	0.00550626	0.00631636	0.00592989	0.00613558	0.00983679	0.0116738	0.0250431	0.0278297	0.0449984	0.0475209	0.0576049	0.0408925	0.0428855	0.0749562	0.0584491	0.145273
nourriture	0.0709975	0.0580109	0.0493903	0.0372882	0.0137552	0.00767158	0.00644437	0.00517845	0.00453869	0.00707608	0.00590255	0.0070212	0.00578776	0.00452254	0.0125714	0.0103521	0.0178892	0.0201654	0.0329708	0.0206008	0.037846	0.18267	0.0972204	0.284129
</S>	0.0952855	0.0807351	0.0621529	0.055842	0.0372904	0.0257146	0.026823	0.0180511	0.00829289	0.00520673	0.00244515	0.00242012	0.00257456	0.00460518	0.0184408	0.0203958	0.0380917	0.0475497	0.069743	0.0408477	0.0394207	0.0668396	0.0589122	0.17232
