 	b	a	r	e	a	y	í	í	b	á	a	t	á	á	w	á	r	e	i	t	á	n	g	a	l	é	m	b	ώ	s	í	í	d	í	l	a	k	y	έ	r	ε	</S>
beaucoup	0.00966524	0.0127101	0.00997185	0.00789274	0.00574146	0.00401042	0.00450371	0.00848945	0.0212426	0.0243339	0.0378195	0.0644833	0.152044	0.159513	0.103699	0.0532948	0.0525772	0.0306862	0.0226547	0.0260401	0.0105187	0.00703658	0.0053578	0.00355713	0.00415156	0.00396431	0.00581721	0.00724586	0.00721234	0.00899761	0.00616704	0.00580756	0.00871939	0.0113865	0.0132879	0.0107397	0.0111454	0.0110884	0.0110335	0.0148048	0.0103521	0.0102351
de	0.0735941	0.0713773	0.0658872	0.073061	0.0557779	0.0536044	0.0595909	0.0351758	0.0225429	0.0223766	0.0224856	0.020195	0.0233926	0.0539316	0.0472444	0.00490637	0.00542935	0.00425713	0.00574097	0.00767907	0.0051592	0.0156991	0.00392996	0.00409661	0.00388643	0.00446376	0.00620438	0.00978907	0.0110265	0.0120872	0.0102983	0.0152697	0.0123551	0.0133003	0.0211011	0.0161339	0.0208897	0.0205743	0.0249757	0.0150994	0.00838142	0.0170286
gens	0.0434971	0.070077	0.0842407	0.0507503	0.0529594	0.0313742	0.0215185	0.0207014	0.0284451	0.055555	0.0420335	0.0438072	0.0145407	0.0217695	0.0147221	0.0218489	0.0237909	0.037105	0.00974899	0.0136674	0.00953322	0.0118285	0.012283	0.0102947	0.0198431	0.0136027	0.0169358	0.0130605	0.0110276	0.0111935	0.00848008	0.00954075	0.00997487	0.00976868	0.0118985	0.0109928	0.0137372	0.018727	0.0161495	0.0187818	0.0211781	0.0190155
trouvent	0.0321065	0.0396749	0.0497396	0.0388089	0.045113	0.0431977	0.0649534	0.0671219	0.0492724	0.0397774	0.0379526	0.0375962	0.0269853	0.0370728	0.0203207	0.00756318	0.0144262	0.0113984	0.0122419	0.00896631	0.00535968	0.014217	0.00433468	0.00504767	0.00667433	0.00590961	0.010396	0.0161949	0.00937931	0.00962945	0.007247	0.00863173	0.00547528	0.0110566	0.0197783	0.0177224	0.0244865	0.0208497	0.0179072	0.0230716	0.026022	0.0463194
que	0.0142446	0.0133636	0.0142148	0.0157731	0.0169813	0.0203072	0.0291688	0.0254935	0.0144217	0.0248433	0.0277021	0.0224656	0.0229182	0.0195078	0.00909792	0.00543744	0.0138302	0.0182812	0.0165661	0.0248537	0.0148394	0.023202	0.0176923	0.00966193	0.0251886	0.0285028	0.0517595	0.0667702	0.0323087	0.0344509	0.0236604	0.0130421	0.0111186	0.0151784	0.0159883	0.025547	0.0185669	0.0267875	0.0383117	0.040455	0.0334565	0.0640391
la	0.00937499	0.00964347	0.0123243	0.0178136	0.0204821	0.0165382	0.0160497	0.0145814	0.00906077	0.0156816	0.0151563	0.016918	0.0280339	0.0318388	0.0207186	0.0099203	0.0194352	0.0213706	0.0227769	0.0376031	0.01655	0.0207914	0.0357025	0.0203575	0.0393284	0.0444642	0.0444252	0.0569997	0.0465674	0.0218269	0.0129025	0.00811899	0.00952279	0.0105813	0.015582	0.0202092	0.0173783	0.0227838	0.0354405	0.0412881	0.0386962	0.0551612
lecture	0.0219112	0.0150058	0.0158827	0.0176525	0.0202601	0.0169106	0.0150763	0.0119492	0.00998277	0.0127495	0.0117681	0.00949759	0.00783149	0.00783462	0.00765839	0.00691672	0.00794782	0.00836207	0.0113813	0.0161122	0.0122027	0.0301081	0.0309248	0.0150522	0.0458305	0.0600163	0.0563232	0.0679247	0.028277	0.0497532	0.0291771	0.018328	0.0147825	0.0138468	0.0173901	0.0252206	0.023396	0.0224355	0.0299103	0.0317324	0.0357955	0.0888815
du	0.0202185	0.011035	0.0108623	0.0111021	0.0162354	0.0225092	0.0273281	0.020759	0.0163217	0.0226974	0.0223565	0.0126324	0.00892688	0.00753771	0.00754904	0.00770688	0.0060208	0.00992423	0.00975867	0.0188603	0.0134347	0.0222187	0.0390527	0.0221374	0.0338673	0.0361336	0.0387444	0.0402132	0.0301332	0.0349877	0.0345503	0.0300575	0.0198493	0.0184347	0.0290174	0.0338328	0.032198	0.0329029	0.036182	0.033357	0.0378295	0.0605236
mbochi	0.0796925	0.0426698	0.0444842	0.0366487	0.0241378	0.0211337	0.0190343	0.0135142	0.0102711	0.00601618	0.00936207	0.00821481	0.0110668	0.0132961	0.00744771	0.00378689	0.00373437	0.00460388	0.00418932	0.00541332	0.00440643	0.00967671	0.00941817	0.00779876	0.0101698	0.0142364	0.0230706	0.0363864	0.00748379	0.0418577	0.0435162	0.0176718	0.0192916	0.0284398	0.0176927	0.033485	0.0477977	0.0404945	0.064713	0.0500533	0.0313899	0.072232
est	0.0435555	0.0364557	0.0357515	0.0316242	0.0272518	0.0139235	0.0130188	0.0135032	0.0144091	0.0162818	0.0132026	0.0057021	0.0027464	0.00227678	0.00261003	0.00727183	0.00670901	0.0131454	0.0075816	0.0142761	0.0132471	0.0306734	0.0223637	0.0098336	0.0367179	0.0483104	0.0457547	0.0473308	0.0423784	0.0290446	0.0212567	0.0123097	0.0073954	0.0121953	0.0156889	0.0187705	0.0189817	0.0151356	0.0241526	0.035162	0.0577145	0.114286
difficile	0.0446327	0.0209327	0.014327	0.0114164	0.00827303	0.00694172	0.00779884	0.00677015	0.00673249	0.0066701	0.00712009	0.00716919	0.00529386	0.00582735	0.00611718	0.010261	0.009531	0.0145322	0.0148917	0.0198002	0.0181668	0.0215881	0.0248156	0.0279678	0.0359733	0.0362189	0.0350775	0.032454	0.0298024	0.0358964	0.0359281	0.0224908	0.0177813	0.0159865	0.0253774	0.0386709	0.0453486	0.0372973	0.053455	0.0535688	0.05722	0.0638756
</S>	0.0591418	0.0276088	0.0214393	0.0161038	0.0156771	0.0112534	0.00916906	0.00839829	0.0093979	0.00801726	0.00762877	0.00547605	0.00246456	0.00261213	0.00275648	0.00564553	0.00529488	0.0106933	0.0114934	0.0152109	0.018909	0.0326953	0.0296031	0.0211889	0.0569427	0.0592893	0.0524141	0.0459611	0.0411517	0.0370581	0.0287852	0.02097	0.0160125	0.0181271	0.0220356	0.0277754	0.026807	0.0292684	0.034148	0.0366838	0.0406473	0.0480439
