 	m	w	á	n	a	á	k	ω	n	d	i	o	k	y	á	e	b	v	é	b	v	e	é	t	s	í	n	a	a	d	í	l	a	b	ώ	m	ώ	b	á	m	á	a	</S>
l'	0.00308768	0.0055095	0.00626226	0.00315083	0.00317871	0.00213368	0.0020425	0.00192298	0.00860929	0.011628	0.0243415	0.0438124	0.0697846	0.110181	0.100508	0.14153	0.116249	0.0628365	0.0268338	0.0217063	0.0143137	0.0126411	0.00909031	0.00313699	0.00374764	0.00645639	0.0085786	0.0113973	0.0126282	0.00495697	0.00955188	0.0090825	0.0101377	0.0123203	0.0112377	0.0100964	0.0111947	0.0108094	0.0134473	0.0126919	0.0116117	0.0111401	0.0144231
enfant	0.0157901	0.0280606	0.0786584	0.13885	0.287352	0.14523	0.183974	0.0523914	0.0337866	0.00657338	0.00465642	0.00414512	0.00119048	0.000781601	0.000624259	0.000218359	0.00011861	0.000115291	0.000145268	0.000203536	6.00537e-05	6.09807e-05	7.08198e-05	0.000102407	0.000273861	0.000252105	0.000253133	0.000333165	0.000583326	0.000260432	0.000526856	0.000274807	0.000882147	0.00212946	0.00196263	0.00371183	0.00210502	0.00122977	0.000771347	0.000725258	0.000136142	0.000252487	0.000176079
n'	0.0313951	0.114464	0.0756343	0.0399501	0.0300416	0.0141321	0.021651	0.00867179	0.031877	0.028547	0.022155	0.0163575	0.0151843	0.0213421	0.0241261	0.0159063	0.0156865	0.0189216	0.0220848	0.017572	0.0250294	0.0242558	0.0148374	0.0113272	0.00782156	0.0069811	0.0107194	0.0122656	0.00975926	0.0136428	0.0115826	0.0177108	0.0205825	0.0331398	0.0402214	0.0302816	0.0196639	0.0226219	0.0195111	0.0202819	0.0168709	0.0138453	0.011346
a	0.0173967	0.0154879	0.0181971	0.0066546	0.00886003	0.00722408	0.0111505	0.00927358	0.0175934	0.0323496	0.0246302	0.0527633	0.0498869	0.0468096	0.0353234	0.0276273	0.0236865	0.0358505	0.0322175	0.0277093	0.0330778	0.0353204	0.0264093	0.0274289	0.0487561	0.0255191	0.0376767	0.0254883	0.0243199	0.0522017	0.0273521	0.0254147	0.0216171	0.018385	0.0102267	0.011444	0.00759654	0.00783668	0.00708591	0.00589324	0.00609107	0.00774017	0.00642638
pas	0.0862861	0.0232821	0.0186227	0.00907846	0.0122735	0.00882205	0.012343	0.0117968	0.0147814	0.00856759	0.019388	0.0232956	0.021237	0.0183904	0.0199555	0.0209581	0.0256499	0.0286704	0.0216766	0.0440484	0.0163366	0.0199195	0.0227399	0.0517716	0.0490617	0.0338086	0.0477569	0.0292885	0.0291916	0.0164397	0.020933	0.0150901	0.0186534	0.0206145	0.013434	0.0180883	0.0175392	0.0153999	0.0163954	0.0162416	0.0112284	0.0184761	0.032468
pu	0.0368189	0.0124837	0.0071939	0.00329501	0.00548691	0.00385406	0.00422245	0.0105026	0.00513101	0.00631548	0.0107016	0.0103332	0.00801429	0.00410631	0.00348481	0.00459941	0.00643129	0.0120087	0.0111937	0.0170112	0.0235863	0.0194832	0.0272099	0.034574	0.0398171	0.0506824	0.0527158	0.0472138	0.0519326	0.0401245	0.0530323	0.0423238	0.0397938	0.0333976	0.0253884	0.0305814	0.0255706	0.0270975	0.0294807	0.0231653	0.0216307	0.0297402	0.0482699
faire	0.024788	0.00716803	0.00558576	0.00562072	0.00705337	0.00515199	0.0123074	0.0116502	0.0123964	0.01706	0.0158271	0.0135628	0.0147895	0.0140561	0.0116723	0.0129448	0.0153847	0.026144	0.0192299	0.0167564	0.0253555	0.0205252	0.0319661	0.0382203	0.0500373	0.0403689	0.0665311	0.0501442	0.0659213	0.0488136	0.0544012	0.0412312	0.0363571	0.0250124	0.0164558	0.0177537	0.0093932	0.0125796	0.0103849	0.0149899	0.0146007	0.0131774	0.02663
un	0.0866597	0.036719	0.0145956	0.0133032	0.00889995	0.0101962	0.0112183	0.00855396	0.0133437	0.013143	0.0236327	0.0206899	0.0219203	0.0239691	0.0257053	0.0255197	0.0279034	0.0287283	0.0293834	0.0297309	0.0291423	0.0117052	0.0247603	0.0247155	0.0300131	0.0172513	0.0401548	0.018782	0.0317671	0.0231499	0.019392	0.011957	0.0121084	0.0087249	0.00795484	0.0135885	0.00962621	0.0165966	0.0211956	0.0259847	0.0296188	0.0380601	0.059935
plongeon	0.0594781	0.0255415	0.015018	0.0136377	0.00964154	0.00836548	0.0127894	0.00676825	0.0120062	0.0100563	0.0172203	0.018726	0.019382	0.0200058	0.0198709	0.0183032	0.0197005	0.0168984	0.0127952	0.0272212	0.0114694	0.0064705	0.0199211	0.0243732	0.0342605	0.0253466	0.0524807	0.0210925	0.0559579	0.048818	0.034294	0.0276451	0.0323557	0.0201529	0.0143393	0.0223029	0.0145623	0.0143591	0.0162224	0.0164379	0.0121345	0.0475293	0.0640482
car	0.0431682	0.0161023	0.0155783	0.0142988	0.0131641	0.0140132	0.0124855	0.00934542	0.00678983	0.00411257	0.00419564	0.00614288	0.00670607	0.00847317	0.00969366	0.0125045	0.0162003	0.0331125	0.0362283	0.0650449	0.0362625	0.0401965	0.05856	0.0910291	0.0746882	0.0469082	0.0275058	0.0212568	0.020419	0.0216443	0.0177708	0.0140882	0.0147264	0.0101309	0.00876737	0.00935911	0.0103333	0.00841826	0.0112282	0.0113098	0.0166856	0.0260329	0.0553188
il	0.0369778	0.0242291	0.0167054	0.0121799	0.0156312	0.0113635	0.0112304	0.00662112	0.00590339	0.00462572	0.00363483	0.00541813	0.00641271	0.00810485	0.0106933	0.0127767	0.0150859	0.0305121	0.0289049	0.0356894	0.020323	0.0149483	0.0254147	0.0352158	0.0270472	0.0328996	0.0272741	0.0303153	0.0317589	0.0333944	0.043315	0.0385663	0.040971	0.0387051	0.0368577	0.0282767	0.0274897	0.0251643	0.0217163	0.0244737	0.0264714	0.0273315	0.0393696
