 	o	k	o	n	d	z	i	á	s	ó	í	i	t	u	r	a	l	á	w	á	p	o	o	</S>
le	0.0186642	0.0199933	0.012696	0.0132336	0.0151861	0.0167871	0.0285892	0.0286868	0.052909	0.0440777	0.0468092	0.0431797	0.0475927	0.0351499	0.0418963	0.0489103	0.0613061	0.109061	0.0628787	0.0500548	0.0555832	0.0659122	0.0377396	0.0431033
chef	0.118388	0.276812	0.251574	0.093356	0.0452394	0.0307953	0.0405647	0.0364238	0.0344609	0.0114474	0.00888457	0.00751196	0.0030811	0.00290485	0.00557278	0.00440196	0.00753089	0.00463682	0.00486921	0.00472601	0.00306802	0.00159154	0.00144731	0.000711633
a	0.0904313	0.0831209	0.0548607	0.0530083	0.0240853	0.030175	0.0366307	0.0835627	0.0475376	0.0410785	0.0412832	0.0364759	0.0611186	0.0849239	0.0496906	0.0306041	0.0409427	0.0222439	0.023497	0.0221655	0.0102052	0.0134015	0.0132071	0.00574975
décidé	0.0224516	0.0387594	0.033024	0.029412	0.0177415	0.0221628	0.0264221	0.0258466	0.0475811	0.0326797	0.031346	0.0212883	0.0287961	0.049806	0.0640999	0.0503014	0.0741218	0.0576935	0.0696439	0.0445513	0.037387	0.0544225	0.0496864	0.0707749
de	0.0420809	0.0476012	0.0473064	0.0504783	0.0457636	0.0488047	0.0495223	0.0489549	0.046336	0.0494838	0.049171	0.0435665	0.041616	0.0448333	0.0249123	0.0212797	0.0283914	0.0265207	0.0199762	0.0226126	0.0296536	0.0282417	0.0549894	0.0879037
le	0.033862	0.0341695	0.03317	0.0370263	0.0396923	0.0398951	0.0500765	0.0470694	0.041181	0.0245997	0.0366749	0.032175	0.0369298	0.0425677	0.0642698	0.0598506	0.0597838	0.0423716	0.0253144	0.0232704	0.0265439	0.0311537	0.0511214	0.0872312
chasser	0.0450064	0.0676942	0.0728383	0.0672325	0.055843	0.0551037	0.0424793	0.0222077	0.0205442	0.00914066	0.00628414	0.00864636	0.00749304	0.0113891	0.0183733	0.0406289	0.0145647	0.0232538	0.0199446	0.0441728	0.0537193	0.0529511	0.0729645	0.167524
du	0.0620331	0.0539401	0.0490147	0.0597373	0.0636113	0.0639299	0.057864	0.0320887	0.0325582	0.0133093	0.0151279	0.0166723	0.0220632	0.0280801	0.051572	0.0465485	0.030024	0.0173552	0.0161562	0.0183988	0.0341339	0.0162211	0.0699198	0.12964
village	0.0955355	0.0684375	0.0620473	0.0362783	0.0229078	0.0146204	0.0140261	0.0106471	0.00845491	0.00737914	0.00709476	0.00776623	0.010888	0.0126021	0.0242115	0.0245392	0.0124959	0.012236	0.0156322	0.0213253	0.0423661	0.052762	0.202331	0.213416
</S>	0.0587082	0.0406382	0.0381393	0.0390284	0.0251511	0.0270753	0.0216198	0.0206707	0.0135021	0.00491345	0.00496903	0.00394404	0.00782842	0.0184523	0.0341898	0.0553343	0.0595927	0.0306243	0.0479948	0.0777165	0.061949	0.0620952	0.108582	0.137281
