 	w	a	á	m	i	l	o	n	d	á	a	s	í	n	i	m	á	á	d	z	e	á	m	i	w	á	a	</S>
il	0.232364	0.244431	0.207254	0.0925081	0.0430704	0.0111698	0.0122269	0.0192345	0.00759742	0.00694515	0.0105776	0.00728968	0.00463349	0.00471708	0.00641316	0.00920701	0.00699283	0.00580682	0.0061644	0.00548156	0.00727677	0.00720062	0.00577205	0.00938296	0.00842936	0.00622823	0.00721393	0.00441069
a	0.0342581	0.0144056	0.008148	0.0544864	0.0500156	0.0689325	0.0606333	0.0670878	0.11445	0.0592769	0.0740732	0.062833	0.0315034	0.0327017	0.0237911	0.0224199	0.0204877	0.0258899	0.0210223	0.0141308	0.0125347	0.0128014	0.0151303	0.0112892	0.0155049	0.0224884	0.0340112	0.0156926
arrangé	0.00797088	0.00785461	0.00646054	0.00738196	0.00685903	0.00865121	0.0132924	0.0155402	0.0356034	0.0326916	0.043025	0.0372502	0.108436	0.0533458	0.0741615	0.083927	0.0739044	0.0771827	0.0542334	0.067733	0.0336391	0.0287798	0.0191683	0.0209074	0.0275244	0.0192623	0.0205073	0.0147069
la	0.0162647	0.0173834	0.0123519	0.0172321	0.0130275	0.0151146	0.0140479	0.0206299	0.031521	0.0280477	0.0536002	0.0499171	0.0424149	0.0438383	0.0463238	0.0438701	0.0587454	0.0517944	0.0632393	0.0954557	0.0696431	0.0430653	0.0268831	0.0212723	0.0181476	0.0191471	0.0181176	0.048904
machine	0.00595232	0.00829704	0.00757162	0.00668674	0.00853568	0.00763379	0.0240412	0.0200744	0.028137	0.0217291	0.0289251	0.0240237	0.0373101	0.0533314	0.0905463	0.066268	0.0563777	0.0821775	0.0733315	0.105079	0.0678913	0.0300179	0.0340734	0.0206632	0.0196177	0.0213357	0.01164	0.0387313
qui	0.00485439	0.00579535	0.00586004	0.00438555	0.00539539	0.00480322	0.00669226	0.00745278	0.0125487	0.0125045	0.0134722	0.0147827	0.0259077	0.0342774	0.0767512	0.0764479	0.0764571	0.117843	0.10846	0.171289	0.0811302	0.033969	0.0215221	0.0125852	0.012232	0.0139274	0.0111856	0.0274682
était	0.0085788	0.0123266	0.00911012	0.0126519	0.0175631	0.0199626	0.0165482	0.0121594	0.0100091	0.0115253	0.017105	0.0147329	0.0182826	0.0235698	0.0302887	0.0351536	0.0433242	0.0608629	0.051801	0.0720776	0.0912699	0.0417797	0.0540277	0.041297	0.0755447	0.0708658	0.0485557	0.079026
en	0.0238354	0.0230755	0.0226683	0.0239208	0.0262151	0.024503	0.0139463	0.0119515	0.0143684	0.0187169	0.02748	0.0272778	0.0297246	0.0342889	0.0477606	0.0496047	0.039463	0.0517322	0.0402916	0.0471981	0.0450235	0.0262784	0.0392292	0.0467025	0.0442062	0.0486077	0.0616973	0.0902327
panne	0.0173859	0.0139554	0.0140007	0.021439	0.0207711	0.0145933	0.0107302	0.011195	0.0169894	0.0183659	0.0215476	0.0311932	0.0232489	0.0263459	0.0311602	0.0367935	0.0507533	0.0677889	0.0535758	0.0556685	0.0418404	0.0363904	0.0396025	0.0442956	0.0423811	0.0575673	0.0646148	0.115806
</S>	0.0483151	0.0347074	0.0330597	0.0558364	0.0403232	0.0465865	0.0354635	0.0422225	0.0229157	0.0269879	0.0271265	0.0179566	0.0116917	0.0132425	0.0127644	0.0122425	0.0116765	0.00717686	0.00899541	0.0168909	0.0321972	0.0312765	0.0412461	0.0464226	0.0833145	0.0880896	0.054274	0.0969978
