 	a	t	a	n	d	e	m	í	n	d	z	i	n	d	z	í	i	i	y	í	í	á	d	í	l	a	l	e	m	b	o	</S>
la	0.0135273	0.0259528	0.0176072	0.0190681	0.0126263	0.0176877	0.0149504	0.0156644	0.0249146	0.0219891	0.0247775	0.0178501	0.0269382	0.0327832	0.019517	0.019108	0.0174555	0.023903	0.019242	0.027104	0.0344473	0.0461819	0.0488503	0.0547421	0.104775	0.0885604	0.0591866	0.0503345	0.031412	0.0248887	0.0259831	0.0179716
sève	0.0434357	0.026606	0.144727	0.0325496	0.0379547	0.109723	0.0909742	0.0254354	0.00889479	0.00668843	0.0080345	0.00297279	0.00423326	0.00583753	0.0113085	0.0076351	0.00878368	0.00922346	0.0129799	0.0170245	0.0349576	0.0157044	0.0284105	0.0475474	0.0580586	0.0629503	0.0730143	0.0363322	0.0167869	0.00607017	0.00240441	0.00274078
de	0.026845	0.0450205	0.00510044	0.00954478	0.0034024	0.00944343	0.00761164	0.00483542	0.00238376	0.00448042	0.00639859	0.0120979	0.0146392	0.0123677	0.0107825	0.0136908	0.0424386	0.0364257	0.046433	0.0432592	0.0441451	0.0707354	0.0898368	0.11631	0.081126	0.0819697	0.0713584	0.0438413	0.022692	0.0104219	0.00675781	0.00360434
la	0.0142879	0.0157821	0.0422483	0.0359623	0.0584422	0.0720947	0.0380593	0.0474748	0.0320222	0.0374909	0.0298485	0.0313355	0.0211459	0.0255107	0.0419698	0.0195557	0.0232504	0.0362996	0.0458708	0.0407279	0.0319466	0.0259949	0.0282308	0.0340879	0.0183456	0.0202385	0.0171658	0.016126	0.012267	0.0158125	0.01929	0.051115
plupart	0.0538694	0.0397262	0.0383021	0.0320948	0.0328218	0.020752	0.0202036	0.0205796	0.0409236	0.0502321	0.0668698	0.0840887	0.0567386	0.049408	0.0508048	0.0277704	0.0198036	0.0135689	0.00885425	0.00545004	0.00449265	0.00331978	0.00543037	0.00834924	0.00999903	0.0144528	0.0212488	0.0232619	0.0416098	0.0409814	0.0323282	0.0616638
des	0.0526616	0.0586924	0.0457321	0.0292561	0.0389051	0.0607912	0.032563	0.03102	0.0287482	0.0335175	0.0312014	0.025877	0.030252	0.0318876	0.054198	0.0300115	0.0385442	0.022543	0.0205659	0.0181208	0.0122027	0.00818099	0.00774807	0.00905699	0.00867809	0.00910501	0.00645853	0.00869828	0.0149566	0.0165792	0.0132581	0.169989
arbustes	0.0306699	0.0303964	0.0286856	0.0277362	0.0421321	0.0495455	0.0523167	0.0646634	0.0700654	0.0672959	0.0608003	0.0497707	0.0558603	0.0482575	0.0363304	0.0155962	0.027626	0.0203107	0.020112	0.0110642	0.0102553	0.00446	0.00487163	0.0106529	0.01122	0.0180874	0.0163603	0.0196564	0.0233109	0.0183147	0.00802562	0.0455494
grimpants	0.0447103	0.0389619	0.0234005	0.0226131	0.02559	0.02989	0.0372535	0.0294593	0.0309648	0.0417421	0.040692	0.025701	0.0269208	0.0297117	0.0250926	0.0140804	0.0137705	0.0165531	0.0263493	0.0267825	0.0326489	0.0319402	0.0286701	0.0401848	0.0312299	0.0290036	0.0237766	0.028596	0.0260619	0.0348222	0.0360385	0.0867879
a	0.0401667	0.0372874	0.0315929	0.0321313	0.0337883	0.0295054	0.0320071	0.0294718	0.0292694	0.037723	0.0404681	0.0429227	0.0406272	0.0296842	0.0334799	0.0182962	0.0177538	0.0162703	0.0156458	0.0197597	0.0111947	0.0107824	0.00743033	0.00941463	0.00781563	0.00916489	0.0135139	0.0204333	0.0338768	0.0529165	0.0854812	0.130125
de	0.0634517	0.0513976	0.0249122	0.0302725	0.0155084	0.0182615	0.00976312	0.0117069	0.0071371	0.00877789	0.00772591	0.00828142	0.00878832	0.00952833	0.00861879	0.009623	0.00782921	0.008886	0.0186117	0.0305912	0.0267559	0.0334907	0.0258233	0.0328954	0.0296159	0.0315621	0.0455618	0.044229	0.0597958	0.0692245	0.0964776	0.144895
la	0.0756722	0.0564609	0.035153	0.0299523	0.0194093	0.0153766	0.010085	0.00825715	0.00525715	0.0120131	0.00820643	0.0060069	0.00485375	0.00561134	0.00692125	0.00596853	0.00502987	0.00778959	0.0204937	0.0157548	0.01615	0.0145356	0.0108157	0.0184783	0.014813	0.019258	0.0445374	0.0499325	0.0648097	0.0863682	0.123768	0.182261
glu	0.0315037	0.0305124	0.0289965	0.0333798	0.0136343	0.00644965	0.00560735	0.00418832	0.0054296	0.0171047	0.0124719	0.0142504	0.0118307	0.0145082	0.0166042	0.0106875	0.00521368	0.00775858	0.0135672	0.0346368	0.023125	0.0226205	0.0105505	0.0215797	0.021091	0.0264074	0.0465251	0.0520282	0.0783806	0.103415	0.133168	0.142774
</S>	0.0455141	0.0298713	0.0419454	0.027316	0.0258872	0.0286226	0.0201423	0.0194568	0.0275235	0.041318	0.0280516	0.0287022	0.0165606	0.0152727	0.0152663	0.00610306	0.00691273	0.00908374	0.0268633	0.0297934	0.0353259	0.0462288	0.0363848	0.034199	0.0203685	0.0199936	0.0180742	0.0228278	0.0308735	0.0457745	0.0676	0.132142
