 	o	b	a	l	e	b	ó	l	á	a	p	f	u	b	h	á	á	i	b	í	a	</S>
le	0.00767973	0.0103333	0.0106038	0.0100959	0.0123851	0.022692	0.0308258	0.0652876	0.0407909	0.0490949	0.0361404	0.0380937	0.0383335	0.0512791	0.0622642	0.0814576	0.0842689	0.132992	0.102605	0.0504904	0.0388178	0.0234685
récolteur	0.021675	0.103516	0.113175	0.05968	0.027813	0.0152799	0.0194325	0.0195782	0.0363789	0.0578625	0.0840878	0.071489	0.0572044	0.0581532	0.0630303	0.0614256	0.042995	0.0356092	0.0260523	0.012177	0.0100471	0.00333782
de	0.119552	0.102227	0.0679183	0.0298056	0.0196094	0.0120068	0.0248986	0.00832616	0.0207259	0.00984935	0.0148164	0.0180959	0.0234308	0.0409696	0.0682374	0.0578504	0.0640454	0.0445048	0.0476299	0.0528704	0.0817803	0.0708505
vin	0.131491	0.182132	0.184437	0.0959014	0.0715945	0.0406092	0.0306791	0.0267071	0.0150664	0.0120901	0.0148407	0.0168221	0.0116017	0.0200339	0.0160144	0.0148431	0.0115124	0.0119749	0.0143846	0.0169791	0.0185769	0.0417088
de	0.102644	0.120794	0.107672	0.0629674	0.048679	0.0278986	0.034197	0.0211519	0.0463255	0.022608	0.0296589	0.0336487	0.0373383	0.0217729	0.016384	0.0127351	0.0147907	0.0176359	0.0244002	0.0360169	0.0341922	0.126489
palme	0.0505266	0.0693755	0.0733698	0.0577635	0.0571986	0.0611287	0.0496457	0.0484581	0.0293528	0.025218	0.030336	0.0370481	0.0227395	0.0200918	0.0230402	0.0267727	0.032506	0.0344582	0.0415993	0.055563	0.0471141	0.106694
est	0.0936318	0.0741858	0.0584733	0.0457045	0.0433016	0.045389	0.0335409	0.0365791	0.026537	0.0294944	0.0251421	0.0233143	0.0213193	0.0136257	0.0193694	0.0244492	0.0467634	0.0352132	0.0363271	0.0700238	0.053396	0.144219
en	0.12496	0.071967	0.0544078	0.0345211	0.0246473	0.0262295	0.0286162	0.0275628	0.0169253	0.0180069	0.0123502	0.00843535	0.00929197	0.012748	0.0156629	0.0190016	0.040626	0.0480234	0.0610271	0.0901453	0.0751132	0.179731
train	0.143396	0.110008	0.0860203	0.0554547	0.0291861	0.0153845	0.0104375	0.0177735	0.014026	0.0133333	0.0126884	0.0110268	0.0172281	0.0150832	0.0201745	0.0139224	0.0317231	0.0391141	0.0402153	0.0402631	0.0791908	0.184349
de	0.101399	0.0487549	0.0447678	0.0446732	0.0544428	0.0700759	0.0921631	0.0719479	0.0655134	0.047003	0.0569245	0.0362151	0.0307399	0.0265645	0.0163908	0.0125098	0.018861	0.0126266	0.0136722	0.0269928	0.0195826	0.088179
tailler	0.125873	0.0603366	0.0538174	0.0539757	0.0653994	0.0384439	0.029023	0.023163	0.0182232	0.0182204	0.0173141	0.0143135	0.0146619	0.0110946	0.00976583	0.0100169	0.0153667	0.0136799	0.0431041	0.0963475	0.0623015	0.205558
le	0.0946592	0.0688727	0.0634626	0.0565263	0.058616	0.0411117	0.020442	0.02313	0.0128418	0.0135939	0.0117691	0.0084803	0.00830415	0.00704742	0.00819579	0.0101249	0.0226892	0.0232964	0.0549341	0.122151	0.0678565	0.201895
palmier	0.148094	0.0605397	0.0288977	0.0136684	0.00989258	0.0108917	0.010136	0.00797721	0.00453457	0.00468536	0.00393161	0.00407081	0.00495281	0.00576361	0.00807731	0.00974926	0.0212952	0.0291061	0.0398627	0.0736498	0.108054	0.39217
</S>	0.0782119	0.0538624	0.0439105	0.035471	0.0237993	0.009282	0.00761991	0.00774615	0.00621474	0.00739828	0.0058325	0.00495865	0.00750693	0.00909238	0.00977375	0.0101285	0.0249807	0.0398925	0.0768701	0.102427	0.124578	0.310443
