 	m	á	a	m	á	á	k	a	n	í	n	g	á	ó	m	í	á	á	b	h	i	m	á	a	f	u	r	a	</S>
l'	0.0105725	0.018396	0.0112534	0.00957054	0.0114219	0.0142169	0.0130173	0.0312068	0.0466453	0.0558586	0.0639293	0.0692482	0.0684318	0.0452429	0.0378358	0.0313791	0.0247656	0.0265201	0.0290839	0.0274383	0.0244651	0.0381756	0.040359	0.0483553	0.0534207	0.0482093	0.0436479	0.0287517	0.0285812
eau	0.0150916	0.10859	0.158578	0.13066	0.131146	0.0935433	0.0615127	0.0161242	0.0303624	0.0139952	0.0125417	0.00486218	0.00576434	0.00556308	0.00759188	0.0232534	0.037415	0.0241906	0.0237357	0.0166509	0.010991	0.0160143	0.00884826	0.0127203	0.017099	0.00546238	0.00441853	0.00195805	0.00131551
que	0.085381	0.0305422	0.0230791	0.0157383	0.0146622	0.0177497	0.0141765	0.0135948	0.0101147	0.0102616	0.00749351	0.00846952	0.0113385	0.0173618	0.020758	0.0377072	0.0668271	0.0872783	0.104615	0.072135	0.0774958	0.0479273	0.0460033	0.0518953	0.028276	0.0244384	0.0200865	0.0203604	0.0142327
j'	0.0339587	0.0270912	0.0355235	0.0487101	0.0509225	0.0211766	0.0239055	0.0273226	0.030113	0.0307532	0.0312658	0.0213644	0.0180962	0.0206457	0.0341859	0.0466032	0.0392218	0.0471507	0.0274775	0.0199487	0.0230743	0.0214718	0.0213356	0.0177439	0.0345691	0.0402706	0.0455022	0.0465846	0.114011
ai	0.0415183	0.0409409	0.0404216	0.0404991	0.0460404	0.0295887	0.0362656	0.0343587	0.0318466	0.0250166	0.0266971	0.0234595	0.026127	0.0243573	0.0197383	0.0376345	0.045007	0.0581148	0.0497859	0.0432102	0.0454727	0.0287565	0.027925	0.0207994	0.0171852	0.0181581	0.0217769	0.0222705	0.0770274
mise	0.0287313	0.0281934	0.0261916	0.0269428	0.0296049	0.0268026	0.0242315	0.0206202	0.024931	0.0174362	0.0147475	0.00592458	0.0052772	0.00580772	0.00713978	0.0191139	0.0341609	0.039046	0.0529222	0.076548	0.045603	0.0658442	0.0534607	0.0396601	0.0472658	0.0443999	0.0445436	0.0530709	0.0917784
au	0.0686678	0.0937409	0.0642605	0.0323678	0.030884	0.0274447	0.0219227	0.0278602	0.0296667	0.0221374	0.0222278	0.0189926	0.0170423	0.0143253	0.0143267	0.022059	0.0231	0.0254035	0.0304856	0.0440227	0.0169834	0.0336444	0.0251305	0.0228091	0.0225906	0.0264022	0.0293617	0.0598482	0.112292
feu	0.181643	0.128028	0.103567	0.0710668	0.0622956	0.0482141	0.0193705	0.0165317	0.0216759	0.0137034	0.0166875	0.0102376	0.0153404	0.0132288	0.011225	0.0111206	0.0101186	0.006265	0.00537735	0.00519691	0.0024109	0.00545746	0.00611847	0.0104637	0.0125203	0.0190839	0.0150474	0.0369718	0.121032
commence	0.100313	0.0738873	0.0537407	0.0367405	0.0368122	0.0430846	0.0396714	0.0393847	0.0487441	0.044153	0.0361835	0.0332936	0.0291302	0.023633	0.019693	0.0283401	0.0236493	0.0178924	0.0125032	0.012341	0.00555601	0.00718282	0.00722756	0.00970163	0.00909708	0.0105146	0.00938207	0.0373192	0.150829
à	0.0610588	0.038217	0.0428239	0.0418606	0.040157	0.0401987	0.0362872	0.0362603	0.0371362	0.0314137	0.0230135	0.0218194	0.0208583	0.0213441	0.0184922	0.0166493	0.0223201	0.0123272	0.0136206	0.0205118	0.00688639	0.0157563	0.0142927	0.0173016	0.0235595	0.0273885	0.0302373	0.0734929	0.194715
bouillir	0.085323	0.0497553	0.0413	0.0264787	0.0206895	0.0210323	0.0198413	0.0200597	0.0192145	0.0189868	0.0151384	0.0184545	0.0193342	0.0166064	0.0122459	0.0166417	0.0203099	0.0169324	0.0165565	0.0342297	0.0171452	0.0489174	0.0453285	0.038779	0.0412315	0.0449549	0.0375023	0.0833035	0.133707
</S>	0.0659316	0.0412399	0.0392723	0.0308185	0.0233456	0.0259001	0.0256119	0.0268229	0.0267163	0.0344502	0.0375367	0.0561047	0.0521324	0.0392969	0.0298184	0.0234371	0.0201021	0.018617	0.0176271	0.0224169	0.013005	0.0227243	0.0175552	0.0208162	0.0194702	0.0239075	0.0266036	0.0572743	0.141445
