 	b	í	s	í	l	é	b	o	m	i	k	u	k	ú	r	á	s	á	k	ú	b	h	á	</S>
nous	0.21302	0.193446	0.0986394	0.0627718	0.0545762	0.0438623	0.0295913	0.0223071	0.0155137	0.0168614	0.0184954	0.00749287	0.0102227	0.0152675	0.0112575	0.0111889	0.0139963	0.0212584	0.019591	0.0222287	0.0258806	0.0258954	0.0254394	0.021196
avons	0.0629331	0.0929779	0.0200897	0.0131766	0.0206074	0.0523486	0.0923693	0.111526	0.107416	0.101423	0.0948581	0.0757839	0.0603365	0.0319813	0.0102734	0.0122573	0.0121045	0.00440321	0.00769713	0.00464316	0.00238937	0.00226346	0.00300016	0.00314209
tué	0.0261858	0.0395612	0.0442414	0.055118	0.0739415	0.0698963	0.0630002	0.0240338	0.0470031	0.0887716	0.0698613	0.0800265	0.0639866	0.0417861	0.0270678	0.0257665	0.021499	0.0179755	0.0158531	0.0155078	0.0233104	0.0223911	0.0295159	0.0136996
un	0.0221081	0.0207767	0.0179415	0.0176177	0.0235711	0.021936	0.0402682	0.0427527	0.0435746	0.0468269	0.0448608	0.0459565	0.0532584	0.0414585	0.0413981	0.0629625	0.0539161	0.0376618	0.0323825	0.0312553	0.0396468	0.052682	0.0668069	0.0983801
serpent	0.0175068	0.0181635	0.014842	0.02046	0.033515	0.0384534	0.0435522	0.0533171	0.0368931	0.0494195	0.0482523	0.0539528	0.0753038	0.0610348	0.0651143	0.0567533	0.0421883	0.0385076	0.0362545	0.0349103	0.0367749	0.0366114	0.0403578	0.0478613
à	0.00837924	0.00665155	0.00597075	0.0101719	0.0155254	0.0163566	0.0227282	0.021531	0.0218394	0.0426004	0.0406355	0.0344198	0.0528078	0.0631056	0.0666431	0.0728414	0.067307	0.0599591	0.0619187	0.056454	0.0579205	0.0569742	0.0632143	0.0740447
deux	0.0585568	0.0457939	0.029182	0.0295375	0.0398357	0.0442671	0.0450961	0.0373942	0.044417	0.0542715	0.0495843	0.0370716	0.0251591	0.0150957	0.014742	0.025442	0.031101	0.0186804	0.0254491	0.0248073	0.0325299	0.0672512	0.0908003	0.113934
têtes	0.0316798	0.0330945	0.0295465	0.0215811	0.0224644	0.0227898	0.0251971	0.0349151	0.0381492	0.0289209	0.0200573	0.0269467	0.0315141	0.0274799	0.0235354	0.0312088	0.0345414	0.0292443	0.045832	0.0430692	0.0446444	0.0833259	0.119541	0.150721
dans	0.0306521	0.0291225	0.0249637	0.0242242	0.0239591	0.0240647	0.0242714	0.0228703	0.0201124	0.0232449	0.0252358	0.0238165	0.026822	0.024806	0.0284274	0.0517153	0.0616222	0.0419519	0.0607574	0.0641671	0.0730511	0.085355	0.0894097	0.0953775
le	0.0441589	0.0409613	0.0321375	0.0289189	0.0271634	0.0282516	0.0284279	0.024646	0.0183669	0.0193278	0.0195982	0.0191658	0.0163181	0.0142946	0.0162377	0.0341997	0.0528853	0.0333157	0.0524032	0.0519779	0.0718433	0.100979	0.110891	0.11353
jardin	0.0184395	0.0159702	0.0161316	0.0176554	0.021179	0.0269923	0.023404	0.0184592	0.0213482	0.0228609	0.0239188	0.0217444	0.0142137	0.0125262	0.016904	0.0374921	0.0432824	0.0303969	0.0533558	0.0509706	0.0661243	0.0952275	0.160027	0.171376
</S>	0.0316508	0.0272229	0.0249774	0.0255945	0.0201401	0.0175893	0.0286148	0.0264697	0.0264404	0.029556	0.035982	0.0325251	0.0430768	0.0481219	0.0547307	0.0442111	0.0573021	0.0360915	0.0499283	0.0478255	0.055468	0.0505732	0.0681372	0.11777
