 	i	n	g	o	b	h	a	l	á	a	b	h	i	n	á	b	á	n	a	b	á	a	b	i	a	t	s	í	n	a	w	a	a	d	í	e	n	g	o	m	b	a	</S>
ingobha	0.0322578	0.024335	0.0476659	0.0267608	0.0174693	0.0376796	0.0284632	0.029567	0.0337954	0.0301172	0.021526	0.0293009	0.0180355	0.0245174	0.0335958	0.0551354	0.063356	0.0533727	0.0198476	0.0402252	0.0475096	0.0305929	0.0144643	0.0213738	0.0109864	0.0103757	0.0126772	0.00959036	0.0110001	0.0198993	0.00491617	0.00703543	0.00552412	0.00873109	0.0102942	0.0125124	0.0135834	0.0144975	0.0238017	0.0145341	0.0116022	0.00964361	0.00783068
haït	0.0492657	0.0235429	0.0216682	0.0149625	0.0174663	0.0285102	0.0473606	0.063316	0.043846	0.0780711	0.0423626	0.024674	0.0422684	0.0337037	0.0287863	0.0383524	0.0555134	0.056435	0.0303716	0.0260374	0.0256977	0.0151916	0.0166092	0.0101223	0.00682676	0.0065589	0.00347149	0.00262928	0.00366718	0.00224577	0.00205053	0.00161149	0.00416374	0.00968384	0.0098139	0.0101246	0.00733962	0.0107258	0.0129422	0.0139144	0.00809196	0.0172242	0.0327792
les	0.00866256	0.0182112	0.0103163	0.0136314	0.0162693	0.0112179	0.0133819	0.0158534	0.0208807	0.0292674	0.0304238	0.0356882	0.0339751	0.0314463	0.0481403	0.039729	0.0373489	0.044203	0.0267251	0.0268553	0.0282818	0.0180323	0.0188819	0.0171105	0.0118046	0.0127439	0.0132214	0.00880866	0.0104171	0.0133344	0.0119671	0.0113373	0.0240058	0.018627	0.0192766	0.0303111	0.0384928	0.0329381	0.0297337	0.0272023	0.0368349	0.0352453	0.0191644
enfants	0.0149371	0.0192777	0.00937722	0.0121085	0.01155	0.0124064	0.0122147	0.0160427	0.0156325	0.0160262	0.0184551	0.0198432	0.0199254	0.0247111	0.0251126	0.0475931	0.0511715	0.0575356	0.0497568	0.0662449	0.0407785	0.0322794	0.0299533	0.0253518	0.0330572	0.0273539	0.0340155	0.0268571	0.03073	0.0308514	0.0166347	0.0120885	0.00911859	0.0172443	0.0192083	0.0131836	0.00591092	0.00879764	0.00749088	0.0115625	0.00879036	0.0150324	0.0237869
des	0.0191593	0.0170476	0.0148134	0.0152753	0.0179552	0.017861	0.0270503	0.0328243	0.0332211	0.0316979	0.0207302	0.0203877	0.0188719	0.0166305	0.0219249	0.0228709	0.02798	0.0322509	0.0345921	0.0382438	0.0278033	0.0157678	0.0187129	0.0146703	0.0184936	0.0211824	0.0233456	0.0141566	0.0147338	0.0167586	0.0260721	0.0206519	0.0171283	0.0241899	0.0309085	0.0258882	0.0181431	0.01929	0.0149087	0.0194162	0.0308993	0.0299522	0.0555387
autres	0.0592581	0.0455336	0.0315361	0.0216782	0.0248546	0.0371043	0.0368185	0.0268493	0.0255436	0.0162198	0.0208025	0.0125804	0.0155202	0.0154392	0.0162636	0.0146466	0.0238573	0.0212273	0.0376899	0.0377922	0.024303	0.0267525	0.0325182	0.0215756	0.0289224	0.0235978	0.0226073	0.0287686	0.0176659	0.0153669	0.0101398	0.00411838	0.00553928	0.00562446	0.00660463	0.00751303	0.00905986	0.0149349	0.0158786	0.0157942	0.0215332	0.0294081	0.0705583
parce	0.0365371	0.0287081	0.0161394	0.0161568	0.0180024	0.0212846	0.0260453	0.0290871	0.0402932	0.0236485	0.0327354	0.0344	0.0271556	0.0269652	0.0280803	0.027853	0.0449863	0.0443838	0.0547545	0.0550363	0.0273422	0.0277443	0.0187361	0.0184436	0.0238436	0.0195278	0.0273124	0.026365	0.0214094	0.0164355	0.00729193	0.00741331	0.00710706	0.00586394	0.00633964	0.00663867	0.00692579	0.00548455	0.00799156	0.011365	0.0105161	0.0135081	0.0441416
qu'	0.0329275	0.0349128	0.0269369	0.0334685	0.0373993	0.0379909	0.0410465	0.0431207	0.0525727	0.039171	0.0276762	0.0298503	0.0227803	0.0224162	0.0275121	0.028048	0.0450411	0.0496025	0.0438017	0.0281859	0.0186363	0.0168558	0.0124307	0.0134087	0.00738566	0.00697543	0.00593879	0.00546541	0.0051497	0.00356678	0.00234457	0.00370584	0.00390827	0.00492275	0.00854517	0.00964078	0.0141044	0.0129286	0.0149442	0.0192805	0.0224158	0.0218	0.0611851
elle	0.045499	0.0396961	0.03091	0.0375957	0.0504092	0.0400089	0.0437959	0.0494523	0.0601127	0.0337004	0.0257872	0.0191004	0.0193679	0.0150828	0.00884815	0.00754525	0.0124447	0.0132584	0.0215387	0.0122759	0.0115169	0.0131545	0.0120155	0.0107468	0.0105438	0.00909191	0.0109541	0.0142691	0.00989317	0.00746094	0.0072538	0.00473331	0.00532505	0.00657667	0.00675123	0.0123082	0.0169988	0.0158953	0.0161919	0.0285962	0.0353035	0.0468967	0.101093
est	0.0600628	0.0486785	0.0270825	0.0297552	0.0299383	0.0238259	0.0195373	0.0160991	0.0157343	0.0116281	0.0129724	0.0113208	0.0123743	0.0112459	0.0108571	0.009854	0.0102612	0.0107131	0.00973848	0.0150679	0.016162	0.0177888	0.016103	0.0131702	0.0247808	0.022698	0.0219918	0.0316335	0.0277232	0.0197466	0.0204395	0.00693883	0.0105879	0.00887502	0.00930234	0.0130875	0.0125153	0.0228912	0.0396409	0.0510335	0.0390017	0.0647505	0.0923909
