 	m	a	á	á	y	í	i	b	í	s	í	i	k	ώ	ώ	s	á	k	ú	k	u	m	b	v	ú	u	e	p	ω	ώ	y	á	n	g	á	a	m	b	v	ú	u	á	b	a	á	á	n	ω	</S>
maman	0.00829347	0.0274041	0.0224592	0.0220428	0.0109201	0.00835043	0.00996552	0.0162159	0.0255582	0.0730744	0.0982028	0.0942761	0.0823352	0.0822348	0.0679338	0.0220977	0.0163034	0.0137452	0.00790314	0.00603241	0.0078973	0.00375097	0.00349544	0.00634612	0.00335889	0.00386549	0.00351408	0.00506711	0.00548298	0.00545321	0.005619	0.00530509	0.00845517	0.00748534	0.00693589	0.00852513	0.0117189	0.0100121	0.0116098	0.0157693	0.0139614	0.0167783	0.0166621	0.0171702	0.0158984	0.0161015	0.0184355	0.0138778	0.0160988
nous	0.132818	0.0748914	0.0884156	0.0776645	0.090567	0.0724145	0.0592549	0.0414632	0.0187529	0.0135612	0.0283909	0.0199212	0.0264479	0.0190838	0.020915	0.0101158	0.0238614	0.0168376	0.0150375	0.0182459	0.00845123	0.0170479	0.0176736	0.00808712	0.00384168	0.00321649	0.0043627	0.00319567	0.00318429	0.00161992	0.00284193	0.00216085	0.00320708	0.00239984	0.00250049	0.00124081	0.00169646	0.00127103	0.00141588	0.00176321	0.002944	0.00883883	0.0116445	0.00373524	0.00323373	0.00179794	0.00177659	0.00117389	0.00501656
a	0.0283957	0.0156882	0.0136078	0.0104105	0.0131147	0.0123749	0.0162886	0.0224606	0.0370144	0.03545	0.0191051	0.0332603	0.054895	0.0521203	0.0406734	0.0501668	0.0420909	0.0348169	0.0467229	0.0354903	0.0246342	0.0314003	0.0217164	0.027859	0.0161621	0.0211754	0.0107628	0.0138018	0.0248546	0.0286113	0.0216797	0.0301256	0.0128846	0.00754727	0.00611288	0.0100637	0.00820219	0.00836064	0.00955554	0.00540896	0.00622463	0.00721228	0.00622664	0.00472607	0.00307859	0.00263998	0.00381209	0.00490462	0.00610896
laissé	0.0452876	0.0177038	0.021014	0.0169275	0.0239247	0.015938	0.0143937	0.0132341	0.0147051	0.0147462	0.0110288	0.0226492	0.0349573	0.049076	0.0386803	0.0566273	0.0534091	0.0416083	0.0395848	0.0390889	0.0269215	0.0336846	0.0313448	0.0213357	0.0165627	0.0142726	0.0185763	0.0186854	0.0164769	0.0164892	0.0117821	0.0207762	0.0137337	0.0167167	0.0158075	0.00849303	0.0083095	0.0083414	0.00905277	0.00465746	0.00493201	0.00435207	0.00483065	0.00587872	0.00615805	0.00655047	0.0122016	0.0152257	0.0232655
du	0.00957777	0.00718393	0.0074898	0.00729033	0.00847645	0.00800128	0.00861465	0.010614	0.0126686	0.0119772	0.00784765	0.0109366	0.0148426	0.0113033	0.0221307	0.0403544	0.0515388	0.0265953	0.0315298	0.0591771	0.0402236	0.0696897	0.0541902	0.0401507	0.0233856	0.0240268	0.0340195	0.0308799	0.0225647	0.015978	0.0187488	0.0194458	0.0208869	0.0152345	0.0227985	0.019216	0.0153274	0.0111203	0.00898256	0.00869794	0.00948909	0.0123142	0.0183636	0.0118886	0.00887578	0.00696549	0.0117975	0.0121456	0.0244423
manioc	0.0154138	0.0140602	0.0110562	0.0109687	0.0211755	0.0180129	0.0211436	0.0137036	0.0138818	0.0102028	0.00975784	0.0148054	0.0100228	0.00774303	0.00995166	0.0165632	0.0152312	0.01747	0.0175839	0.0258456	0.030039	0.0395707	0.037614	0.0326547	0.0121626	0.0183271	0.0131609	0.0203276	0.0232338	0.0172566	0.0196122	0.0269594	0.0312811	0.0336453	0.0423651	0.0228988	0.0235284	0.0258382	0.0251248	0.0200444	0.0162285	0.0179141	0.0166498	0.0121746	0.0210272	0.0156438	0.0228138	0.0190488	0.0482606
un	0.0109954	0.00692279	0.0053654	0.00567873	0.010287	0.00968283	0.0153314	0.0102388	0.00719338	0.0047949	0.00384956	0.00465633	0.00522853	0.00583014	0.00723346	0.00939453	0.0103266	0.011757	0.0186581	0.0233914	0.0336778	0.0387114	0.0361586	0.0322056	0.0400652	0.0403977	0.042839	0.0413585	0.0368946	0.0400847	0.0389853	0.0420336	0.0420797	0.0358101	0.039764	0.0217307	0.0198924	0.0202526	0.0183218	0.0148011	0.011572	0.0120091	0.0131735	0.0112074	0.0164245	0.0130224	0.0158734	0.0161189	0.0277185
morceau	0.019627	0.0140475	0.00983534	0.0100102	0.0124605	0.00862494	0.0120829	0.00770422	0.00739741	0.00596398	0.00645358	0.0101424	0.00896232	0.00970041	0.00922287	0.0119348	0.01059	0.0145779	0.0192905	0.0194113	0.0267235	0.0291593	0.0284686	0.0262316	0.0286515	0.0283258	0.0296932	0.0312862	0.0292147	0.036604	0.0310346	0.0341345	0.0424611	0.0440762	0.0501431	0.0236264	0.0237674	0.0113006	0.00899456	0.0116926	0.00866066	0.00869374	0.0101695	0.00828052	0.0244785	0.0246099	0.0278328	0.0360339	0.0476106
pour	0.0103694	0.00635649	0.00546012	0.00441557	0.00513507	0.00397258	0.00415196	0.0023759	0.00183819	0.00252125	0.00237354	0.00249492	0.00306179	0.00381846	0.00385427	0.00534281	0.00470956	0.00603445	0.0118085	0.0196481	0.0263298	0.0436115	0.0459842	0.0372845	0.0504473	0.0401926	0.061567	0.0557543	0.0443101	0.0559385	0.0405616	0.0497683	0.0453794	0.0461145	0.0504633	0.0248422	0.0165194	0.0162119	0.0127619	0.00583509	0.00455119	0.00527021	0.0077314	0.00720888	0.0133625	0.0136072	0.0170058	0.0176784	0.0339641
moi	0.0297947	0.0142293	0.0096507	0.00680104	0.00511059	0.00279054	0.00246532	0.0026339	0.00241706	0.00418675	0.00310229	0.00260759	0.00551891	0.00662076	0.00594176	0.0079016	0.00731447	0.00906712	0.0162549	0.0198437	0.0168726	0.0247698	0.0307358	0.021139	0.0313595	0.0247727	0.0289387	0.0290964	0.025951	0.0467794	0.0277367	0.0387596	0.0377124	0.0439334	0.0575199	0.0358908	0.0193565	0.015041	0.014614	0.00942669	0.0120908	0.0198342	0.0240719	0.0266316	0.0272703	0.0286709	0.0366331	0.0376777	0.042461
et	0.0268549	0.0139259	0.0121949	0.00891276	0.00695514	0.00317293	0.00301772	0.00282951	0.002405	0.00383419	0.00364538	0.00371746	0.00661445	0.00789	0.00676735	0.00902425	0.00832122	0.0111904	0.0179006	0.0207053	0.0176426	0.0250886	0.0301813	0.022149	0.0309659	0.024416	0.0284267	0.0278677	0.0260549	0.0416689	0.0284147	0.0354872	0.0371519	0.0425735	0.0533195	0.0388416	0.0262627	0.0191639	0.0178132	0.0133248	0.0146709	0.0182852	0.0224324	0.0249229	0.0265016	0.0254129	0.0324591	0.0320033	0.036618
deux	0.0411454	0.0127585	0.00836444	0.00598858	0.00558514	0.00284858	0.00195614	0.00225601	0.00183941	0.00295807	0.00267373	0.00378302	0.00696556	0.009032	0.0102065	0.0131904	0.0239793	0.0218043	0.025567	0.0474182	0.031769	0.06124	0.0717974	0.0388275	0.0401458	0.0286028	0.0559937	0.0395801	0.0234243	0.0333467	0.0209486	0.0264356	0.0248209	0.0254922	0.0255606	0.016166	0.0103255	0.0087251	0.00830125	0.00797744	0.00848642	0.0117302	0.0202609	0.0141157	0.0158212	0.0144136	0.0195738	0.019958	0.0258393
pour	0.0354074	0.0176466	0.0117479	0.0087035	0.00708687	0.00335591	0.00277563	0.00333828	0.00284254	0.00579053	0.00504862	0.00730865	0.0128612	0.0145229	0.0125976	0.0119845	0.0134347	0.013368	0.0144483	0.016796	0.0156046	0.0183994	0.0196542	0.0164884	0.0169387	0.0166111	0.0194887	0.0202737	0.0169864	0.025016	0.0200272	0.0225926	0.0282258	0.0310474	0.0396343	0.0239201	0.0212634	0.0192925	0.0234661	0.0242826	0.026895	0.0323648	0.0328753	0.0338119	0.0369349	0.0420908	0.0445028	0.041625	0.0486205
toi	0.0395757	0.0177114	0.0119721	0.00843629	0.0101796	0.00740268	0.00613414	0.00460386	0.00297352	0.00398056	0.00323415	0.00301201	0.00690064	0.00899051	0.00891934	0.0118403	0.00923262	0.0120633	0.018133	0.0238907	0.0245405	0.0323922	0.0392766	0.0354845	0.0316714	0.0289784	0.0351379	0.0329249	0.0339048	0.0398362	0.0284526	0.0361574	0.0294859	0.0326543	0.0310072	0.0195758	0.0151827	0.0145546	0.0125171	0.0132378	0.0138548	0.0146373	0.0160341	0.0177036	0.0192929	0.0190854	0.0324618	0.0302179	0.0505531
</S>	0.0374106	0.0178509	0.0103217	0.00799725	0.00850877	0.00674637	0.0052545	0.00526221	0.00388077	0.00533169	0.00472002	0.00488751	0.0076532	0.0102818	0.00922257	0.0100697	0.00995219	0.010514	0.0146209	0.020213	0.0208759	0.0273818	0.0351385	0.0285367	0.0249071	0.0231106	0.0286067	0.0289219	0.0266223	0.0348796	0.0209237	0.0308953	0.0262645	0.0330808	0.038905	0.0169633	0.0127448	0.0129149	0.0118788	0.0133387	0.0141837	0.0164706	0.0184549	0.0215446	0.023925	0.0282152	0.0474196	0.0410647	0.0811311
