 	e	m	a	n	í	l	í	y	á	w	a	y	é	y	á	a	n	d	z	a	n	g	á	</S>
cette	0.00736317	0.0104909	0.0189791	0.012296	0.00813914	0.0089101	0.015028	0.0337261	0.0680178	0.0704054	0.0569527	0.0394477	0.0263536	0.0401271	0.034804	0.0492109	0.0467102	0.0812624	0.0919895	0.0779187	0.056818	0.0618075	0.0562239	0.0270179
manière	0.0248111	0.0401073	0.0287568	0.0119507	0.017275	0.0241758	0.0284929	0.0475509	0.113277	0.112388	0.0862129	0.0543152	0.0489378	0.0140023	0.0337921	0.0627797	0.0426206	0.0791923	0.0826322	0.0212312	0.0116092	0.0120555	0.00068666	0.00114618
de	0.14367	0.119753	0.0919086	0.0744893	0.0584587	0.0429699	0.05343	0.0240361	0.0240986	0.0167661	0.0254972	0.0239961	0.0163933	0.0161254	0.0231912	0.0112158	0.0135992	0.0197977	0.0189685	0.02411	0.0331076	0.042904	0.0410914	0.0404214
se	0.0803256	0.164176	0.170562	0.116414	0.0330961	0.0254847	0.0235887	0.0152925	0.0184391	0.0152343	0.0136387	0.00818324	0.0184771	0.0190454	0.0294235	0.0184735	0.0217268	0.0226731	0.0120913	0.0124584	0.0165084	0.025271	0.0166986	0.102718
battre	0.0340964	0.0771974	0.0995754	0.121864	0.0558581	0.0562975	0.0383668	0.0318418	0.0184029	0.00577001	0.00707618	0.00964142	0.01664	0.0418242	0.0350964	0.0399529	0.0547382	0.0302054	0.0261574	0.0334434	0.0476125	0.0523922	0.0266411	0.0393084
est	0.0535935	0.137118	0.127481	0.1337	0.0653152	0.0542367	0.0439967	0.0351716	0.0285051	0.00742871	0.00242437	0.0020963	0.00443183	0.00683672	0.00948172	0.00953379	0.0157141	0.0120877	0.0100785	0.0202672	0.0178163	0.0338561	0.043141	0.125688
celle	0.0568154	0.111001	0.119071	0.143501	0.0541032	0.0480727	0.0519978	0.0635356	0.0387682	0.00722066	0.0057386	0.00625784	0.0113151	0.0121194	0.0145921	0.0259576	0.0317721	0.0129134	0.0349964	0.0184884	0.0314565	0.0333755	0.00814996	0.0587813
des	0.0889426	0.112642	0.1083	0.113556	0.0926493	0.0737175	0.0714704	0.0490912	0.0461734	0.0107969	0.00329064	0.00236006	0.00515979	0.00554546	0.00569724	0.00771857	0.00871243	0.00528069	0.00673327	0.00632042	0.0134961	0.0214562	0.021554	0.119335
braves	0.146043	0.134767	0.123235	0.0875529	0.0308794	0.0262003	0.0210661	0.0178655	0.00799422	0.00534632	0.00688493	0.00791041	0.0242149	0.0179844	0.0161859	0.0210678	0.0226332	0.013643	0.0400282	0.014169	0.0385938	0.0410639	0.0180694	0.116601
</S>	0.0846141	0.120942	0.103389	0.111317	0.0594949	0.0472611	0.0484421	0.0390264	0.0192815	0.00523544	0.00566218	0.00515732	0.0180567	0.0117792	0.0110326	0.0180426	0.024145	0.0080214	0.025473	0.0103267	0.0306347	0.0369281	0.0155557	0.140181
