 	o	p	ε	p	ε	t	i	o	b	á	n	d	í	i	f	ú	l	ú	l	a	p	á	m	i	t	é	é	</S>
la	0.0168113	0.0209235	0.0196471	0.0206458	0.0190897	0.0253755	0.0304138	0.0276155	0.036598	0.0310105	0.0423387	0.0468855	0.0328129	0.0497733	0.0322267	0.0275763	0.0214992	0.0346389	0.0493491	0.0519729	0.0435353	0.0544004	0.0483961	0.0332489	0.0286445	0.0333191	0.0580824	0.0631693
bise	0.0194954	0.0587277	0.0830471	0.122532	0.111676	0.0690507	0.0606985	0.0334291	0.0267333	0.0320723	0.0623311	0.117608	0.0775881	0.0280374	0.0259731	0.0149578	0.0115009	0.00663708	0.0049381	0.00408018	0.00363866	0.00419996	0.00583589	0.00500864	0.00373048	0.0023626	0.00140469	0.00270527
s'	0.0327814	0.0185268	0.0137145	0.0136055	0.00945638	0.0127946	0.0105801	0.017077	0.0188958	0.0279607	0.0343397	0.0357573	0.0407128	0.0453683	0.0646417	0.0832841	0.115652	0.091004	0.0809544	0.0845227	0.0347695	0.0335538	0.0139712	0.0142228	0.0154947	0.0139706	0.0160821	0.00630591
est	0.0254611	0.0221086	0.0325479	0.0383752	0.0428622	0.0358116	0.0307297	0.0246093	0.031495	0.0531302	0.0771511	0.0627588	0.0335898	0.0448226	0.0658304	0.0592009	0.0641538	0.0423515	0.0299039	0.0207085	0.0185777	0.0169136	0.0179265	0.0145241	0.0200698	0.018281	0.0255898	0.0305152
mise	0.0407171	0.0268323	0.030928	0.0297218	0.0281478	0.0321712	0.0315376	0.0253412	0.0265062	0.0265589	0.0345979	0.0315605	0.0317593	0.0472171	0.0662817	0.0633979	0.0691069	0.047202	0.0400285	0.0356925	0.02905	0.034833	0.0266642	0.0244518	0.0257386	0.0247637	0.0343784	0.0348139
à	0.0394337	0.033883	0.0371353	0.0284327	0.0304839	0.0343342	0.0440736	0.0422066	0.0434397	0.0354399	0.0304623	0.0301337	0.0255803	0.0233523	0.0256631	0.0256598	0.0273819	0.021822	0.0250069	0.0293601	0.0188042	0.0216256	0.0336303	0.0405477	0.040347	0.0544642	0.0559214	0.101375
souffler	0.0640617	0.0354416	0.033609	0.0273266	0.0240907	0.0206645	0.0230834	0.0182449	0.0202994	0.0216408	0.0174754	0.0130417	0.0138742	0.017394	0.0184909	0.0257376	0.0452705	0.0489702	0.0530786	0.0718318	0.0406868	0.0418377	0.0470065	0.0381033	0.0353736	0.0446677	0.0539259	0.0847708
de	0.0465195	0.0254967	0.0235818	0.0166028	0.0159777	0.0191656	0.02118	0.0159839	0.0166785	0.00733274	0.00745316	0.00712648	0.00877502	0.014006	0.0249934	0.038011	0.0454885	0.0530924	0.0588524	0.0512655	0.0616648	0.0538985	0.0378057	0.0483562	0.0567739	0.0616413	0.0743579	0.0879185
toute	0.0721732	0.0307243	0.026058	0.0174333	0.0112847	0.00737112	0.00498381	0.00295229	0.00266255	0.00212566	0.00295739	0.00367676	0.00385025	0.00738268	0.0114877	0.0154963	0.0330474	0.0355584	0.0553111	0.0515506	0.0713515	0.0805122	0.0473715	0.0667749	0.0699536	0.0752903	0.097917	0.0927416
sa	0.0680537	0.0393804	0.0253705	0.0146057	0.00548417	0.00300386	0.0017551	0.00124876	0.00150512	0.0013168	0.00169409	0.00220792	0.00323403	0.0115839	0.0211833	0.0206658	0.0332057	0.027325	0.0299511	0.0269404	0.04057	0.0468333	0.0378551	0.0643242	0.100425	0.119612	0.113984	0.136681
force	0.066756	0.0386401	0.0252263	0.0139724	0.00541409	0.00301391	0.001721	0.00113385	0.00144419	0.00124902	0.00184178	0.00260712	0.00395851	0.0129194	0.0237299	0.022679	0.0321399	0.0271669	0.0289166	0.0273314	0.0491853	0.0618864	0.0433086	0.060461	0.0896936	0.0914554	0.124115	0.138033
