 	o	n	a	n	i	s	i	b	í	s	í	n	d	z	á	l	é	a	d	z	e	m	ó	b	v	á	r	e	</S>
celui	0.0112685	0.0139949	0.0138959	0.0118754	0.00953852	0.00794287	0.0110826	0.0226043	0.0250746	0.0463979	0.0642698	0.0731151	0.0740071	0.0686114	0.0710444	0.0556759	0.0535289	0.050105	0.0431889	0.0341361	0.0240204	0.0285892	0.0209554	0.0305041	0.0237066	0.025352	0.0247024	0.0253491	0.0354625
qui	0.0868711	0.051552	0.0466964	0.0365054	0.0500357	0.0483737	0.0419354	0.0659361	0.0532468	0.052839	0.0385143	0.0405296	0.0566926	0.0318028	0.0249039	0.02638	0.0175991	0.0221721	0.0203111	0.038531	0.0259687	0.0245212	0.0360353	0.020358	0.0181362	0.00989556	0.00551911	0.00242979	0.00570784
nous	0.036692	0.0287992	0.0281701	0.0258846	0.0448935	0.0476651	0.0414858	0.0534725	0.0351976	0.0367325	0.0365327	0.0336733	0.0537428	0.0710608	0.0562632	0.0524269	0.0652101	0.0409305	0.0271963	0.0197968	0.0171796	0.015674	0.0178117	0.0163333	0.0189963	0.0177149	0.0185469	0.0215488	0.0203686
a	0.0493921	0.0497209	0.0491323	0.0437341	0.0699737	0.0380831	0.0334093	0.0300206	0.0255478	0.028175	0.0305874	0.0257626	0.0416034	0.0510833	0.0459869	0.0520123	0.0351623	0.0213586	0.0202039	0.031317	0.0220065	0.0224661	0.0255833	0.0157698	0.0198127	0.0190656	0.0204147	0.0297458	0.052869
fait	0.0327115	0.0398455	0.052824	0.0509541	0.0541085	0.0397956	0.0299325	0.0378299	0.0444188	0.0345559	0.0412299	0.0347706	0.0409704	0.0428157	0.0394818	0.0542585	0.0464758	0.0351295	0.0208967	0.0174284	0.0119167	0.0144043	0.0154939	0.0147241	0.0169497	0.0175134	0.0255493	0.0290779	0.0639371
remonter	0.0681567	0.0887236	0.0837089	0.0627627	0.0613287	0.0385523	0.017412	0.0204556	0.0212511	0.0251028	0.0288601	0.0286908	0.03088	0.0292116	0.026925	0.0380845	0.0284101	0.0310147	0.019988	0.0165952	0.01376	0.0143762	0.0143398	0.0131631	0.0134376	0.0169917	0.020293	0.0329282	0.094596
le	0.0704426	0.077601	0.0754162	0.0632549	0.063348	0.0454378	0.0398635	0.0383683	0.0334506	0.0376732	0.0300616	0.0304723	0.0301189	0.0325588	0.0201972	0.0267008	0.0169477	0.0128369	0.0132862	0.0186336	0.0168803	0.0170644	0.0161425	0.0137716	0.0178198	0.0186299	0.012809	0.0202823	0.0899304
fleuve	0.092246	0.0778919	0.0597588	0.0259076	0.0285124	0.00557881	0.00928247	0.0143932	0.0171227	0.0250468	0.035619	0.0222048	0.0274633	0.0286238	0.0262724	0.028521	0.0294597	0.0273767	0.0245442	0.0403463	0.0363526	0.0332388	0.0348206	0.0286069	0.0380625	0.0334415	0.0215059	0.020497	0.107302
était	0.253375	0.104371	0.0648978	0.041674	0.0264079	0.012276	0.00853243	0.00666811	0.00778804	0.00943876	0.0121645	0.0110406	0.0144919	0.0142668	0.0150815	0.0150632	0.0231628	0.0140988	0.0165117	0.0184242	0.0151481	0.0125763	0.0127461	0.0134932	0.0175133	0.0257491	0.0167287	0.0385118	0.157798
en	0.115408	0.0454503	0.0250453	0.0146952	0.00753315	0.00395351	0.00426179	0.00411486	0.0040895	0.00512674	0.00542479	0.00665453	0.00986921	0.0087713	0.00966127	0.00792671	0.0175965	0.0181569	0.0395373	0.0396539	0.0341706	0.0253771	0.031478	0.0304907	0.0383887	0.0720099	0.0632216	0.126773	0.18516
pirogue	0.0437601	0.0249227	0.016334	0.0113408	0.00719219	0.00356098	0.00288999	0.00297092	0.00316192	0.00471883	0.00463362	0.00499511	0.00644303	0.00439513	0.0046119	0.00336296	0.00757765	0.00572693	0.0162025	0.0255907	0.0301825	0.0288886	0.0426916	0.0452994	0.0679397	0.111508	0.0966235	0.176443	0.196032
</S>	0.123647	0.0942179	0.0573925	0.0306854	0.0134251	0.0053851	0.00331922	0.00390798	0.00391893	0.00590956	0.00658634	0.0096033	0.00636733	0.00343089	0.0026519	0.00258816	0.00491474	0.00518155	0.0159133	0.0336359	0.0358792	0.0302781	0.0545204	0.0385994	0.0747883	0.0572764	0.0438635	0.100366	0.131746
