 	o	b	e	n	g	i	á	k	o	b	h	i	i	b	á	á	m	í	k	y	έ	s	ε	l	á	n	y	a	m	a	</S>
le	0.00404219	0.00625301	0.0065745	0.00560003	0.0116308	0.00895383	0.00917335	0.0163903	0.0192787	0.0392147	0.0494889	0.0629321	0.110551	0.0752952	0.0953398	0.0688507	0.0657744	0.0224812	0.026261	0.0243836	0.0217479	0.0276295	0.0253412	0.0247043	0.0246826	0.0258091	0.0262556	0.0288141	0.0246877	0.0241009	0.0177578
chasseur	0.0494784	0.147104	0.123081	0.0204491	0.0249073	0.0781716	0.0238828	0.0510754	0.0544295	0.0603984	0.0430959	0.0380533	0.0572977	0.0311833	0.0231503	0.01684	0.0193646	0.0238829	0.0240215	0.0115825	0.00746735	0.0107741	0.0102616	0.0076577	0.0106174	0.0123409	0.00723004	0.00435207	0.00442518	0.00245936	0.000964394
a	0.0293292	0.0231095	0.0205817	0.0191436	0.0146204	0.0339085	0.0254455	0.0431075	0.0661791	0.0563747	0.0357955	0.0192919	0.0143807	0.0100539	0.0105917	0.0196631	0.0464638	0.0549852	0.0672798	0.0604323	0.0498244	0.0620485	0.0597867	0.0403963	0.0305782	0.0294503	0.0213486	0.0116798	0.012253	0.00777058	0.00412605
pris	0.0282491	0.0449731	0.0531813	0.0749441	0.0477529	0.0863932	0.0552105	0.0353705	0.0414094	0.0414788	0.0295779	0.0264175	0.015949	0.00725753	0.0187044	0.0190295	0.0141954	0.0186003	0.0264136	0.0438941	0.036908	0.0227847	0.0219091	0.0165473	0.0169194	0.00876692	0.018259	0.0170183	0.0211054	0.0315496	0.0592302
le	0.0351628	0.0385832	0.0394879	0.0326673	0.0353684	0.0433383	0.0405907	0.0389909	0.0388468	0.0390211	0.0321404	0.0349564	0.0323696	0.028203	0.0465572	0.0350171	0.0256801	0.0270907	0.0218061	0.0205851	0.0197104	0.016839	0.0204108	0.022684	0.0240424	0.0254114	0.0292746	0.0316773	0.0336362	0.0338742	0.0559768
couteau	0.0225135	0.0223425	0.0218528	0.0158172	0.0269387	0.029775	0.037187	0.0455003	0.035354	0.0406879	0.0235998	0.0184733	0.0182056	0.0158843	0.0203799	0.0157193	0.0258744	0.0280639	0.0308555	0.0417872	0.0503597	0.0345882	0.0365262	0.0348632	0.0404096	0.0534204	0.0377868	0.0384776	0.0472573	0.0397504	0.0497484
pour	0.0646821	0.048761	0.0480178	0.0411128	0.0425954	0.0443739	0.0683508	0.0674405	0.0591761	0.0493621	0.0359568	0.0300142	0.024728	0.0229679	0.0283289	0.0187578	0.029621	0.0221335	0.0182543	0.0212042	0.0218799	0.0180638	0.0184624	0.0199113	0.0140577	0.0101276	0.0170674	0.0145367	0.0164214	0.0257389	0.0378939
dépecer	0.054055	0.0423301	0.030973	0.0306936	0.0303343	0.0287088	0.0182827	0.0189435	0.0186507	0.0175047	0.017691	0.0203271	0.0199653	0.0220198	0.0287982	0.0235683	0.0223851	0.0241249	0.0281666	0.0425851	0.0351574	0.0310708	0.0261871	0.0189841	0.0357539	0.0374978	0.0416081	0.044923	0.0520664	0.0637847	0.072859
l'	0.0374656	0.0313726	0.0310925	0.0288252	0.0346514	0.027401	0.0429799	0.0452824	0.0289798	0.0255043	0.0212321	0.0220944	0.0267942	0.0305425	0.0237936	0.0148923	0.025369	0.0206125	0.0237414	0.0429854	0.0302482	0.0213755	0.0238952	0.021411	0.0259741	0.0227747	0.0341047	0.0309493	0.0365908	0.0584531	0.108611
animal	0.0254136	0.0247545	0.0249406	0.0200529	0.0206326	0.0113879	0.013957	0.0136364	0.0124363	0.0123511	0.014517	0.0141696	0.015788	0.0172893	0.0102827	0.0101176	0.0113115	0.0107195	0.012467	0.0248069	0.0243075	0.0356857	0.0408573	0.0447511	0.0558021	0.0648211	0.071126	0.0695364	0.0761132	0.0859324	0.110035
</S>	0.0640481	0.0548096	0.052118	0.0596394	0.0553329	0.0452052	0.0385595	0.0288344	0.0221623	0.0198429	0.015899	0.0104113	0.00881363	0.00586413	0.00637156	0.00530104	0.00949431	0.0160851	0.014964	0.0316844	0.033679	0.0301982	0.0312775	0.029945	0.0246333	0.0158463	0.0307932	0.0273525	0.0306543	0.0498365	0.130344
