 	w	á	á	n	g	á	i	k	i	r	í	e	f	u	n	d	u	y	á	n	g	á	o	f	u	u	n	g	u	l	a	n	g	á	n	d	a	</S>
si	0.0708267	0.0650508	0.0768154	0.0638237	0.0321763	0.0621908	0.0135953	0.0405564	0.0218176	0.0275217	0.0242096	0.0291643	0.0301944	0.0326561	0.0387447	0.0330503	0.0311142	0.0255083	0.0183129	0.0182443	0.0172267	0.0208249	0.0109416	0.0110191	0.0102782	0.0113272	0.00740279	0.0095816	0.0136233	0.00785792	0.0114252	0.0157009	0.0209484	0.0216139	0.0123376	0.017081	0.0185143	0.00672139
je	0.157778	0.0688408	0.0469915	0.051498	0.0345457	0.055743	0.109676	0.0824655	0.0287185	0.0433092	0.0144577	0.0262774	0.0302428	0.0413278	0.013889	0.0218172	0.0124539	0.00593535	0.00850312	0.00581617	0.00459962	0.00859848	0.00526663	0.00473826	0.00531355	0.00545115	0.00446964	0.00466815	0.00505284	0.0033553	0.00529276	0.00910238	0.00364017	0.0128033	0.00978692	0.0143498	0.0182285	0.0149954
vends	0.0120116	0.0104387	0.00966124	0.0176003	0.011878	0.0122165	0.0251486	0.0282408	0.0361069	0.0296952	0.0390433	0.0438617	0.0315735	0.0495362	0.0569317	0.0555527	0.0874228	0.0862896	0.049266	0.0320474	0.0208246	0.0147077	0.0120988	0.0114925	0.0105164	0.00906522	0.00700646	0.0106058	0.0122218	0.00876428	0.0149413	0.0154403	0.0189009	0.014094	0.0175281	0.0314642	0.0292693	0.0165356
ma	0.0317122	0.0209966	0.0151237	0.0223991	0.00814991	0.009349	0.0166701	0.0264206	0.0462207	0.0333444	0.0361853	0.0379443	0.054054	0.0761592	0.0653073	0.0438905	0.056035	0.0188236	0.0169679	0.0404305	0.0338995	0.0158476	0.0229389	0.01939	0.0147291	0.0108331	0.0108044	0.0101386	0.00644503	0.00956019	0.0124669	0.0136275	0.0123673	0.0124871	0.015973	0.0253567	0.0352913	0.0416595
parcelle	0.00699715	0.00532479	0.00464984	0.00616165	0.00587197	0.0149283	0.0179852	0.0266656	0.0260794	0.0223092	0.0228288	0.0229801	0.013373	0.0176108	0.0133691	0.0120029	0.0212346	0.0510864	0.0418854	0.0457113	0.0382693	0.033262	0.0580922	0.0748902	0.0603939	0.0647227	0.0610877	0.0618452	0.0428404	0.0219191	0.0124703	0.0129975	0.00854421	0.00813612	0.00722133	0.00521584	0.0076815	0.021355
qui	0.0117534	0.0116657	0.0105235	0.00974927	0.0186529	0.0165641	0.0242163	0.0380146	0.0231803	0.0149351	0.0117702	0.0106502	0.0088756	0.011267	0.0146775	0.0135819	0.021441	0.0253489	0.0276985	0.0450707	0.0427986	0.0232319	0.0244956	0.0604611	0.0592872	0.0518349	0.0443376	0.0368243	0.0429321	0.0260344	0.0191578	0.0278161	0.0137602	0.0217976	0.02646	0.0220939	0.0229417	0.0640989
boudera	0.00781803	0.00657711	0.00493075	0.00616908	0.00527806	0.0116503	0.0120193	0.0219853	0.0114267	0.00840969	0.00900403	0.0123529	0.00776818	0.0104163	0.0107447	0.0108619	0.0201705	0.0428011	0.0229629	0.0562756	0.0696321	0.0498072	0.0456752	0.0404795	0.0414657	0.0440418	0.0447335	0.0460839	0.0318185	0.0256866	0.0246869	0.0271641	0.0252146	0.0194402	0.0347793	0.0318109	0.0306649	0.0671927
contre	0.00581923	0.00565867	0.00547547	0.00550645	0.00599673	0.00876116	0.00831216	0.0157517	0.010774	0.00802582	0.00734092	0.00740139	0.00741201	0.00920811	0.0105628	0.0125288	0.0219314	0.0341707	0.030063	0.0532303	0.0546525	0.0457862	0.0464697	0.0564961	0.0558423	0.0551392	0.0538835	0.0477562	0.0374294	0.034303	0.0306023	0.0323946	0.0229517	0.0229229	0.0357168	0.0256616	0.0247672	0.0432939
moi	0.0100009	0.00808213	0.00787846	0.0090753	0.00836932	0.00991563	0.00972222	0.01	0.00770212	0.00637883	0.0081754	0.0107882	0.00993674	0.0118344	0.00981238	0.0123996	0.0177087	0.0202236	0.0104245	0.0422062	0.0472965	0.0467185	0.0478707	0.0368659	0.0300737	0.0346718	0.0387808	0.0268312	0.0349931	0.0306814	0.0364615	0.0384416	0.0368576	0.0450125	0.0438625	0.056319	0.0560486	0.0715785
</S>	0.0130709	0.00969091	0.00919663	0.0106623	0.00896975	0.00931615	0.00598934	0.00577245	0.00629242	0.00626913	0.00738041	0.00808207	0.00992213	0.0100877	0.00890838	0.00873827	0.0123613	0.0138457	0.0153922	0.0242518	0.0291275	0.0339011	0.0357362	0.0356799	0.0288231	0.029673	0.0424506	0.0374835	0.0399652	0.037687	0.0441903	0.0476293	0.0451798	0.0568469	0.0522815	0.0645919	0.0626795	0.0718739
