 	p	έ	w	a	m	á	p	a	a	p	ω	ώ	s	á	a	m	á	p	a	m	á	á	y	ε	í	l	a	n	g	á	</S>
donne-lui	0.0293931	0.0157711	0.0349203	0.0335718	0.02794	0.0345518	0.0459704	0.0538559	0.0460401	0.0402563	0.0610417	0.0584747	0.0366495	0.0293666	0.0268116	0.0230337	0.0199596	0.018633	0.0218501	0.0239752	0.0303622	0.0347064	0.0364366	0.036636	0.034231	0.0209816	0.0188563	0.0321989	0.0263413	0.0334618	0.0137215
un	0.0539314	0.0465236	0.063393	0.0846193	0.0686121	0.0755444	0.0481476	0.0419598	0.0499021	0.0773892	0.114547	0.0892769	0.0741253	0.0229125	0.0111325	0.00843183	0.00770374	0.00414134	0.00168062	0.00120279	0.00170645	0.00121921	0.000913745	0.00504491	0.0018684	0.0054134	0.00510426	0.00641696	0.004078	0.0138958	0.00916162
pain	0.0391545	0.021044	0.0239494	0.0177239	0.0189059	0.0296818	0.0328701	0.0434436	0.0410486	0.0458183	0.0290323	0.022677	0.02487	0.0167227	0.0126426	0.0116735	0.0131562	0.0254286	0.0689372	0.0903372	0.0928271	0.068253	0.0361111	0.0550666	0.039304	0.0122592	0.00771304	0.0202199	0.00793155	0.0224245	0.0087727
parmi	0.0297437	0.0245964	0.0198116	0.0191101	0.0255809	0.0244709	0.0213677	0.0399574	0.0471073	0.0516594	0.0396571	0.0292689	0.0392105	0.0351495	0.0346683	0.0300494	0.0286944	0.0340672	0.0356809	0.0578265	0.036162	0.0138176	0.00861505	0.0266632	0.0237074	0.0294589	0.0275726	0.0332661	0.0303873	0.0513229	0.0513489
les	0.0153607	0.0163276	0.0146145	0.0155052	0.0179187	0.0203869	0.0292156	0.0291791	0.0267272	0.0292722	0.0448445	0.0343392	0.0486609	0.0502707	0.0477947	0.0457914	0.0308046	0.0463927	0.0309598	0.0253988	0.0247762	0.00687244	0.00403387	0.0203261	0.0074683	0.0263351	0.0167327	0.0410936	0.0304519	0.0635067	0.138638
pains	0.0430496	0.0376904	0.0285683	0.0288406	0.0350544	0.0270442	0.0189676	0.0170419	0.0126316	0.0136988	0.0125483	0.0145953	0.0228813	0.0243951	0.026582	0.0342409	0.0315611	0.044473	0.0410902	0.0358614	0.0356688	0.0189393	0.012861	0.0340964	0.0238071	0.0398849	0.0264588	0.0505628	0.0449832	0.0800334	0.0818883
que	0.0203908	0.0129761	0.0158039	0.0106517	0.0104829	0.00928734	0.0148839	0.0172153	0.0175979	0.0173508	0.0244261	0.027416	0.0637618	0.0648903	0.0718271	0.0817341	0.046178	0.0721573	0.0183773	0.0124194	0.0130807	0.017415	0.0169467	0.0111832	0.013198	0.0159976	0.0260983	0.0378527	0.057239	0.0512652	0.109896
j'	0.01772	0.0153236	0.0168936	0.0150762	0.0152557	0.0147633	0.0170676	0.0169554	0.0141006	0.0118169	0.0141404	0.012657	0.0284794	0.0302913	0.0390892	0.0463158	0.0290361	0.0428021	0.0211327	0.0245931	0.0225011	0.0283197	0.0233122	0.0210923	0.0332574	0.0315778	0.0520683	0.0536529	0.081712	0.0746625	0.134334
ai	0.0730894	0.0475059	0.0369905	0.0293806	0.0305259	0.0290904	0.0179412	0.0135872	0.0131314	0.0141409	0.013722	0.0119418	0.0166802	0.017121	0.0180463	0.0133278	0.00745274	0.0168228	0.0130485	0.017523	0.0222863	0.0388008	0.0156414	0.018625	0.0249172	0.0234368	0.0352535	0.0441355	0.0965861	0.0621389	0.167109
ramenés	0.110925	0.0499367	0.0267661	0.0213241	0.0187311	0.0163216	0.0138265	0.00791638	0.00942841	0.0115467	0.0113529	0.0120582	0.0138208	0.0143787	0.0122443	0.011481	0.0110324	0.0163686	0.0153163	0.0144846	0.0329058	0.0295354	0.0188924	0.0233499	0.0292742	0.0439456	0.0651879	0.0541547	0.085904	0.0732792	0.124311
</S>	0.0636014	0.0365741	0.026561	0.0223515	0.0188078	0.01725	0.00837384	0.00577017	0.00583984	0.00662742	0.00922574	0.0100915	0.0134018	0.0137445	0.0115601	0.0133177	0.014038	0.0207758	0.0278056	0.0270334	0.0453247	0.0224711	0.020601	0.0317818	0.032989	0.0603148	0.0726346	0.0685607	0.0868788	0.0853073	0.100385
