 	p	o	o	é	d	í	m	ω	r	ω	r	ω	p	á	b	h	a	t	s	í	n	a	a	y	ú	r	u	á	m	i	d	z	w	á	i	t	ó	a	l	a	b	á	n	a	</S>
le	0.0269102	0.0245488	0.0202856	0.0251424	0.0336959	0.0403975	0.0172603	0.0342893	0.027751	0.0364439	0.0311888	0.044807	0.0457448	0.0467164	0.0402972	0.0494368	0.0359208	0.016544	0.0171891	0.0166183	0.0226073	0.0151894	0.0139651	0.0171692	0.0128246	0.00725718	0.0141978	0.00788513	0.0137383	0.00640366	0.0102648	0.00799513	0.00748836	0.00816595	0.013475	0.0139809	0.0162083	0.0176983	0.015007	0.0175046	0.0183451	0.0239293	0.025348	0.0241225	0.018041
village	0.0311489	0.0663812	0.130931	0.171697	0.175743	0.0591923	0.034432	0.0196316	0.0299187	0.0210344	0.0152313	0.0173365	0.0200285	0.0207231	0.0198153	0.0160574	0.0162895	0.0108371	0.0091905	0.00766759	0.00717184	0.00606187	0.003189	0.00384031	0.00350797	0.00209379	0.00730072	0.0157099	0.00616762	0.00578733	0.00509318	0.00505706	0.00597499	0.00347747	0.00414551	0.00361836	0.00256993	0.00328546	0.00264923	0.00289781	0.00251797	0.00111979	0.0015908	0.000812739	0.00107224
est	0.136248	0.105352	0.0777657	0.0630876	0.0429145	0.0248683	0.0365452	0.0176113	0.0188597	0.016345	0.0123122	0.00990264	0.0101177	0.0064839	0.00572243	0.00584629	0.00507107	0.00443944	0.00780945	0.00812418	0.00892443	0.00746297	0.00758987	0.0094833	0.00729535	0.00718874	0.0044919	0.00991963	0.00277566	0.00478229	0.0140148	0.0078778	0.00922659	0.0466033	0.0346305	0.0335187	0.0276973	0.0368604	0.0239193	0.0210527	0.017205	0.0100809	0.0189336	0.00989768	0.00314052
dans	0.0220063	0.0314652	0.0462299	0.0374199	0.0453489	0.0618754	0.0733159	0.0612892	0.0616538	0.0578858	0.051641	0.0352578	0.0224889	0.00937723	0.00805452	0.00873197	0.00604091	0.00712498	0.0102074	0.0133561	0.0172766	0.0209491	0.0186191	0.0250387	0.0215916	0.0150948	0.0121697	0.0195349	0.0137674	0.0096592	0.0252403	0.021795	0.00677011	0.00697662	0.00890217	0.00866625	0.00677342	0.00505181	0.00593056	0.00465706	0.00705141	0.00386514	0.010543	0.00791693	0.025388
un	0.00825216	0.0123681	0.0203423	0.0200568	0.0255154	0.0296566	0.0294517	0.0299064	0.0300658	0.0262977	0.027724	0.0220299	0.0182327	0.0161487	0.0138784	0.0111993	0.0110523	0.0119367	0.0166041	0.0161979	0.0154229	0.0248571	0.0250503	0.0293517	0.0384446	0.0476581	0.0867376	0.101537	0.0709828	0.0425298	0.0141323	0.015715	0.0105275	0.00940562	0.00720341	0.00633956	0.00537727	0.00401046	0.00573608	0.00492845	0.00580526	0.00366317	0.00537354	0.005598	0.0166955
silence	0.0130468	0.0105751	0.0151213	0.0183029	0.0324351	0.0505195	0.057823	0.0708794	0.0673823	0.0560131	0.0548594	0.0375555	0.0321415	0.0217054	0.0149	0.0143115	0.0115985	0.00684525	0.00608756	0.00541592	0.0120819	0.0156959	0.00978857	0.0170956	0.018279	0.026828	0.0135335	0.0547165	0.0531492	0.0396022	0.0257488	0.034254	0.00526079	0.00350628	0.00962189	0.00786487	0.00602342	0.00350687	0.00428287	0.00400893	0.00763792	0.00224376	0.00644506	0.00519928	0.0161061
tendu	0.0208947	0.0201123	0.0218917	0.0215592	0.0283182	0.031802	0.0296206	0.0393629	0.0584643	0.0443106	0.0616641	0.0402693	0.0344092	0.0159008	0.0135255	0.00969548	0.0119746	0.0125011	0.0159302	0.0165999	0.0160624	0.0254466	0.0252824	0.0283094	0.0300789	0.0361681	0.0445737	0.0565205	0.0325272	0.0107651	0.0155368	0.0194497	0.00742657	0.00785236	0.00623145	0.00606914	0.00672286	0.00370554	0.00701384	0.00746686	0.00846694	0.00619877	0.00791573	0.0088796	0.0265227
aujourd'	0.0267824	0.0237171	0.0227976	0.0217022	0.0278636	0.0266044	0.0250828	0.0221513	0.0401682	0.0272519	0.0349359	0.0266478	0.0372399	0.0321727	0.0301327	0.0197899	0.0183751	0.0108888	0.00961526	0.00951611	0.00858128	0.0119096	0.0134275	0.0208167	0.0200085	0.0159411	0.0243151	0.0190683	0.0322885	0.00691531	0.015727	0.0305508	0.00858495	0.0073365	0.0109209	0.0133681	0.0155235	0.00922058	0.0127403	0.015543	0.026062	0.0194308	0.0283624	0.0289533	0.0909681
hui	0.0362652	0.0317004	0.025199	0.0241571	0.0153162	0.00516368	0.00500841	0.00644929	0.0133614	0.00966287	0.0153067	0.0108928	0.0116886	0.0120267	0.0123349	0.0111056	0.015498	0.0161133	0.0206123	0.0257235	0.0307034	0.0300077	0.0465478	0.0556365	0.0477247	0.0597808	0.0549165	0.0503427	0.0353915	0.00750364	0.017758	0.0312692	0.00270909	0.00190344	0.00704241	0.00718045	0.00799691	0.00265507	0.0044131	0.00682942	0.0116399	0.0134612	0.0250229	0.0228349	0.095143
parce	0.0746234	0.0670118	0.0469346	0.0315035	0.0235698	0.00864849	0.00600075	0.00680185	0.0124622	0.0102632	0.0113	0.00877064	0.0083097	0.00757064	0.00807333	0.00752532	0.00820183	0.0129326	0.0165325	0.0154842	0.016092	0.0207662	0.0254305	0.0278118	0.0290551	0.0262002	0.0312243	0.024116	0.0229047	0.00419625	0.0145467	0.0210339	0.00837027	0.0122585	0.0114073	0.0115614	0.0124227	0.00887512	0.0141186	0.0159945	0.0263246	0.0290699	0.0308378	0.0322559	0.130605
